============================================================================================================
GSE9160 - laser-microdissected human distal femoral growth plate, MAS5 linear, trimmed mean 100
n = 2 normal children (F 11y10m, M 13y3m) x 5 compartments. EVERY PROBE SET SHOWN SEPARATELY.
============================================================================================================

gene     probe set       donor             Reserv   Prolif   Prehyp   Hypert   Perich
FGFR4    1554961_at      d2_M_13y3m            25       16       36       17       19
FGFR4    1554962_a_at    d1_F_11y10m          113       77      255      147      206
FGFR4    1554962_a_at    d2_M_13y3m           102       52      124      152       28
FGFR4    204579_at       d1_F_11y10m         1410     2235     2872      752      316
FGFR4    204579_at       d2_M_13y3m          5484     4685      771      534      172
FGFR4    211237_s_at     d1_F_11y10m           83       48       42       34       28
FGFR4    211237_s_at     d2_M_13y3m           188      240       20       14       17

FGF18    206986_at       d1_F_11y10m           95      392       75      189      196
FGF18    206986_at       d2_M_13y3m            98      207       38      100      155
FGF18    206987_x_at     d1_F_11y10m          690      189      265       78      442
FGF18    206987_x_at     d2_M_13y3m            18       11       10       10      422
FGF18    211029_x_at     d1_F_11y10m          507       34       56      274      274
FGF18    211029_x_at     d2_M_13y3m            42       11       26       17      264
FGF18    211485_s_at     d1_F_11y10m          262      247      112       55       49
FGF18    211485_s_at     d2_M_13y3m            60       27       54       22       81
FGF18    214284_s_at     d1_F_11y10m          281      281       50      134      219
FGF18    214284_s_at     d2_M_13y3m            79       35       99       24      101
FGF18    231382_at       d1_F_11y10m         1200      138      242      618      426
FGF18    231382_at       d2_M_13y3m           204       17       70       51      445

PTHLH    206300_s_at     d1_F_11y10m          225       17       88      133       25
PTHLH    206300_s_at     d2_M_13y3m            47       84       71       72      105
PTHLH    210355_at       d1_F_11y10m           33        7       53      151       90
PTHLH    210355_at       d2_M_13y3m           309       34       92       47      120
PTHLH    211756_at       d1_F_11y10m           91       27      194      118      166
PTHLH    211756_at       d2_M_13y3m            54       16       13       15       71

GDF5     206614_at       d1_F_11y10m          164       87       94       73      604
GDF5     206614_at       d2_M_13y3m            32       96       75       46       31

COL2A1   213492_at       d1_F_11y10m       104438    92848    71355    89442    77356
COL2A1   213492_at       d2_M_13y3m         51072    44607    53194    36143    46065
COL2A1   217404_s_at     d1_F_11y10m        20046    63236    70187    75011    25737
COL2A1   217404_s_at     d2_M_13y3m         48116    51021    48486    43178     6354

COL10A1  205941_s_at     d1_F_11y10m          433      426    17076    72039      202
COL10A1  205941_s_at     d2_M_13y3m         16539     8790    35469    46204     2416
COL10A1  217428_s_at     d1_F_11y10m          117      511     3829    18349      137
COL10A1  217428_s_at     d2_M_13y3m          4388     5095    10766    29074      868

ACAN     1554950_at      d1_F_11y10m          474      154      326      554      571
ACAN     1554950_at      d2_M_13y3m            50       35      113       35      386
ACAN     205679_x_at     d1_F_11y10m        14475    58953    57822    58629     9671
ACAN     205679_x_at     d2_M_13y3m         32527    33609    23706    27815     1818
ACAN     207692_s_at     d1_F_11y10m         8019    36720    41307    36325     5765
ACAN     207692_s_at     d2_M_13y3m         19405    23496    12614    17268      806
ACAN     217161_x_at     d1_F_11y10m        14519    54586    53432    54656     8152
