Entry,Smile,"BAF3 FGFR3, IC50, nM","BAF3 FGFR1 IC50, nM","BAF3 FGFR2 IC50, nM","BAF3 FGFR4 IC50, nM","BAF3 VEGFR2 IC50, nM","RT112/84 IC50, nM","RT112/84-V555M IC50, nM","UMUC14 IC50, nM","UMUC14-V555M IC50, nM","RT4 IC50, nM","KG1 IC50, nM","DMS114 IC50, nM","FGFR3 WT IC50, nM","FGFR3 (K650E) IC50, nM","FGFR3 (K650M)  IC50, nM","FGFR3 (V555L) IC50, nM","FGFR3 (V555M) IC50, nM","FLT4   IC50, nM","JAK2    IC50, nM","LTK      IC50, nM","FLT1   IC50, nM","JAK3    IC50, nM","VEGFR2 IC50, nM"
37,C[C@@H](Oc1ccc2[nH]nc(c3ccc(nn3)N4CC5(C4)CN(C5)S(=O)(=O)C)c2c1)c6c(Cl)cncc6Cl,16,189,97,21,,,,,,,,,,,,,,,,,,,
38,C[C@@H](Oc1cc2c(n[nH]c2cc1F)c3ccc(nc3)N4CC5(C4)CN(C5)S(=O)(=O)C)c6c(Cl)cncc6Cl,6.3,84,56,40,,,,,,,,,,,,,,,,,,,
39,C[C@@H](Oc1cc2c(n[nH]c2cc1Cl)c3ccc(nc3)N4CC5(C4)CN(C5)S(=O)(=O)C)c6c(Cl)cncc6Cl,6.2,60,35,37,,,,,,,,,,,,,,,,,,,
40,COc1cc2[nH]nc(c3ccc(nc3)N4CC5(C4)CN(C5)S(=O)(=O)C)c2cc1O[C@H](C)c6c(Cl)cncc6Cl,0.8,14,6.9,4.5,,,,,,,,,,,,,,,,,,,
41,C[C@H](Oc1ccc2[nH]nc(c3ccc(nc3)N4CC5(C4)CN(C5)S(=O)(=O)C)c2c1)c6c(Cl)cncc6Cl,133,2198,,,,,,,,,,,,,,,,,,,,,
42,C[C@@H](Oc1ccc2[nH]nc(c3ccc(nc3)N4CC5(C4)CN(C5)S(=O)(=O)C)c2c1)c6c(Cl)cnc(C)c6Cl,10,176,47,,,,,,,,,,,,,,,,,,,,
43,C[C@@H](Oc1ccc2[nH]nc(c3ccc(nc3)N4CC5(C4)CN(C5)S(=O)(=O)C)c2c1)c6c(Cl)cnc(F)c6Cl,16,258,,,,,,,,,,,,,,,,,,,,,
44,C[C@@H](Oc1ccc2[nH]nc(c3ccc(nc3)N4CC5(C4)CN(C5)S(=O)(=O)C)c2c1)c6c(C)cncc6C,8.1,135,86,52,,,,,,,,,,,,,,,,,,,
45,C[C@@H](Oc1ccc2[nH]nc(c3ccc(nc3)N4CC5(C4)CN(C5)S(=O)(=O)C)c2c1)c6c(Cl)cnnc6Cl,8.6,179,67,,,38,89,1578,,144,193,3000,,,,,,,,,,,
46,C[C@H](Oc1ccc2[nH]nc(c3ccc(nc3)N4CC5(C4)CN(C5)S(=O)(=O)C)c2c1)c6c(Cl)cnnc6Cl,179,2003,,,,,,,,,,,,,,,,,,,,,
47,C[C@@H](Oc1ccc2[nH]nc(c3ccc(nc3)N4CC5(C4)CN(C5)S(=O)(=O)C)c2c1)c6c(Cl)cccc6Cl,30,405,,,,,,,,,,,,,,,,,,,,,
