nct,outcome_title,unit,param_type,dispersion,arm,class,category,value,spread,ci_lo,ci_hi
NCT00000575,"Change in Height From Baseline to End of Treatment, 4-6 Years Later",cm,MEAN,Standard Deviation,1 Budesonide,,,22.7,5.4,,
NCT00000575,"Change in Height From Baseline to End of Treatment, 4-6 Years Later",cm,MEAN,Standard Deviation,2 Nedocromil,,,23.7,5.4,,
NCT00000575,"Change in Height From Baseline to End of Treatment, 4-6 Years Later",cm,MEAN,Standard Deviation,3 Placebo,,,23.8,5.4,,
NCT00001305,Proportion of Subjects Who Met Criteria of Increase in Growth Rate Since Baseline.,Participants,COUNT_OF_PARTICIPANTS,,Growth Hormone,,,25,,,
NCT00001521,Adult Height Relative to General Population,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,,,-0.34,0.93,,
NCT00001521,Adult Height Relative to General Population,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,,,-0.6,0.89,,
NCT00001521,Adult Height Relative to Mid-parental Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Overall Participants,,-0.45,0.85,,
NCT00001521,Adult Height Relative to Mid-parental Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Overall Participants,,-0.83,0.78,,
NCT00001521,Adult Height Relative to Mid-parental Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Males,,-0.89,0.75,,
NCT00001521,Adult Height Relative to Mid-parental Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Males,,-0.93,0.78,,
NCT00001521,Adult Height Relative to Mid-parental Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Females,,-0.02,0.72,,
NCT00001521,Adult Height Relative to Mid-parental Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Females,,-0.67,0.79,,
NCT00001521,Predicted Adult Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Baseline,,-2.0,1.5,,
NCT00001521,Predicted Adult Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Baseline,,-2.1,1.5,,
NCT00001521,Predicted Adult Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Pubertal onset,,-0.46,0.97,,
NCT00001521,Predicted Adult Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Pubertal onset,,-0.98,1.01,,
NCT00001521,Predicted Adult Height Change,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Baseline to pubertal onset visit,,1.93,1.29,,
NCT00001521,Predicted Adult Height Change,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Baseline to pubertal onset visit,,1.10,1.32,,
NCT00001521,Predicted Adult Height Change,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Pubertal onset to final visit,,-0.10,0.66,,
NCT00001521,Predicted Adult Height Change,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Pubertal onset to final visit,,0.14,0.54,,
NCT00001521,Predicted Adult Height Change,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Baseline to final visit,,1.64,1.23,,
NCT00001521,Predicted Adult Height Change,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Baseline to final visit,,1.20,1.27,,
NCT00001521,Number of Years Bone Age Remained Unchanged,Years,MEAN,Standard Deviation,Investigational Therapy,Baseline to pubertal onset visit,,3.86,2.13,,
NCT00001521,Number of Years Bone Age Remained Unchanged,Years,MEAN,Standard Deviation,Standard Therapy,Baseline to pubertal onset visit,,2.78,2.43,,
NCT00001521,Number of Years Bone Age Remained Unchanged,Years,MEAN,Standard Deviation,Investigational Therapy,Pubertal onset to final visit,,0.39,0.68,,
NCT00001521,Number of Years Bone Age Remained Unchanged,Years,MEAN,Standard Deviation,Standard Therapy,Pubertal onset to final visit,,0.70,0.73,,
NCT00001521,Average Annual Growth Velocity,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Baseline to pubertal onset,,-1.01,1.84,,
NCT00001521,Average Annual Growth Velocity,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Baseline to pubertal onset,,-0.34,2.18,,
NCT00001521,Average Annual Growth Velocity,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Pubertal onset to adult height,,0.65,1.42,,
NCT00001521,Average Annual Growth Velocity,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Pubertal onset to adult height,,-0.29,1.34,,
NCT00007020,Height and Weight,Percentile,MEAN,Standard Error,Cholic Acid,"Height percentile, baseline",,30.1,5.5,,
NCT00007020,Height and Weight,Percentile,MEAN,Standard Error,Cholic Acid,"Height percentile, on treatment",,44.0,6.1,,
NCT00007020,Height and Weight,Percentile,MEAN,Standard Error,Cholic Acid,"Weight percentile, baseline",,21.3,3.7,,
NCT00007020,Height and Weight,Percentile,MEAN,Standard Error,Cholic Acid,"Weight percentile, on treatment",,42.3,4.8,,
NCT00069576,"Number of Children at 5-10 Year Follow up With Hypertension ≥ 95th Percentile for Age, Sex and Height",Participants,COUNT_OF_PARTICIPANTS,,Nutritional Counseling & Self Blood Glucose Monitoring,,,30,,,
NCT00069576,"Number of Children at 5-10 Year Follow up With Hypertension ≥ 95th Percentile for Age, Sex and Height",Participants,COUNT_OF_PARTICIPANTS,,No Treatment,,,23,,,
NCT00094328,Change in Growth Rate (cm/Year),cm/year,MEAN,Standard Deviation,Open Label Bicalutamide With Anastrozole,,,-1.62,5.13,,
NCT00094328,Change in Growth Rate (SD Units),SD units,MEAN,Standard Deviation,Open Label Bicalutamide With Anastrozole,,,-0.07,1.78,,
NCT00094328,Change in Growth Rate (cm/Year),cm/year,MEAN,Standard Deviation,Open Label Bicalutamide With Anastrozole,,,-0.70,5.77,,
NCT00094328,Change in Growth Rate (SD Units),SD units,MEAN,Standard Deviation,Open Label Bicalutamide With Anastrozole,,,-0.14,1.67,,
NCT00094328,Change in Bone Age Maturation Rate (cm/Year),cm/year,MEAN,Standard Deviation,Open Label Bicalutamide With Anastrozole,After 6 months treatment,,-2.03,0.38,,
NCT00094328,Change in Bone Age Maturation Rate (cm/Year),cm/year,MEAN,Standard Deviation,Open Label Bicalutamide With Anastrozole,After 12 months treatment,,-2.29,0.51,,
NCT00094328,Change in Bone Age to Chronological Age Ratio,Ratio,MEAN,Standard Deviation,Open Label Bicalutamide With Anastrozole,After 6 months treatment,,-0.09,0.14,,
NCT00094328,Change in Bone Age to Chronological Age Ratio,Ratio,MEAN,Standard Deviation,Open Label Bicalutamide With Anastrozole,After 12 months treatment,,-0.24,0.18,,
NCT00094328,Number of Patients With Height Between 5th and 95th Percentile,Participants,NUMBER,,Open Label Bicalutamide With Anastrozole,After 3 months treatment,,3,,,
NCT00094328,Number of Patients With Height Between 5th and 95th Percentile,Participants,NUMBER,,Open Label Bicalutamide With Anastrozole,After 6 months treatment,,3,,,
NCT00094328,Number of Patients With Height Between 5th and 95th Percentile,Participants,NUMBER,,Open Label Bicalutamide With Anastrozole,After 9 months treatment,,3,,,
NCT00094328,Number of Patients With Height Between 5th and 95th Percentile,Participants,NUMBER,,Open Label Bicalutamide With Anastrozole,After 12 months treatment,,3,,,
NCT00094328,Change in Predicted Adult Height (PAH),cm,MEAN,Standard Deviation,Open Label Bicalutamide With Anastrozole,,,6.21,3.93,,
NCT00097539,First Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Idiopathic Growth Hormone Deficiency (IGHD),Male,,9.5,2.7,,
NCT00097539,First Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Organic GHD,Male,,10.3,4.1,,
NCT00097539,First Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Idiopathic Short Stature (ISS),Male,,8.6,2.2,,
NCT00097539,First Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Renal Disease,Male,,8.9,3.6,,
NCT00097539,First Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Other Etiology,Male,,9.5,3.5,,
NCT00097539,First Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Undefined Etiology,Male,,9.8,4.3,,
NCT00097539,First Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Idiopathic Growth Hormone Deficiency (IGHD),Female,,9.8,3.2,,
NCT00097539,First Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Organic GHD,Female,,11.0,4.8,,
NCT00097539,First Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Idiopathic Short Stature (ISS),Female,,8.7,2.5,,
NCT00097539,First Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Turner Syndrome,Female,,8.0,2.2,,
NCT00097539,First Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Renal Disease,Female,,8.4,3.4,,
NCT00097539,First Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Other Etiology,Female,,9.4,3.8,,
NCT00097539,First Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Undefined Etiology,Female,,9.1,2.5,,
NCT00097539,Second Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Idiopathic Growth Hormone Deficiency (IGHD),Male,,7.7,1.8,,
NCT00097539,Second Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Organic GHD,Male,,8.0,2.5,,
NCT00097539,Second Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Idiopathic Short Stature (ISS),Male,,7.3,1.6,,
NCT00097539,Second Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Renal Disease,Male,,7.2,2.4,,
NCT00097539,Second Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Other Etiology,Male,,7.5,2.2,,
NCT00097539,Second Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Undefined Etiology,Male,,7.7,2.4,,
NCT00097539,Second Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Idiopathic Growth Hormone Deficiency (IGHD),Female,,8.0,2.2,,
NCT00097539,Second Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Organic GHD,Female,,8.2,2.8,,
NCT00097539,Second Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Idiopathic Short Stature (ISS),Female,,7.3,1.7,,
NCT00097539,Second Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Turner Syndrome,Female,,6.6,1.5,,
NCT00097539,Second Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Renal Disease,Female,,7.2,2.1,,
NCT00097539,Second Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Other Etiology,Female,,7.6,2.4,,
NCT00097539,Second Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Undefined Etiology,Female,,8.0,2.3,,
NCT00097539,Third Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Idiopathic Growth Hormone Deficiency (IGHD),Male,,7.0,1.7,,
NCT00097539,Third Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Organic GHD,Male,,7.1,2.2,,
NCT00097539,Third Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Idiopathic Short Stature (ISS),Male,,6.6,1.6,,
NCT00097539,Third Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Renal Disease,Male,,6.2,2.4,,
NCT00097539,Third Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Other Etiology,Male,,6.8,1.9,,
NCT00097539,Third Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Undefined Etiology,Male,,6.5,1.7,,
NCT00097539,Third Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Idiopathic Growth Hormone Deficiency (IGHD),Female,,7.1,1.7,,
NCT00097539,Third Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Organic GHD,Female,,7.2,2.3,,
NCT00097539,Third Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Idiopathic Short Stature (ISS),Female,,6.7,1.7,,
NCT00097539,Third Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Turner Syndrome,Female,,5.9,1.5,,
NCT00097539,Third Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Renal Disease,Female,,6.1,2.2,,
NCT00097539,Third Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Other Etiology,Female,,6.8,1.9,,
NCT00097539,Third Year Annualized Growth Rate,cm/yr,MEAN,Standard Deviation,Undefined Etiology,Female,,6.3,2.6,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Idiopathic Growth Hormone Deficiency (IGHD),NAH,,-0.9,1.1,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Organic GHD,NAH,,-1.1,1.4,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Idiopathic Short Stature (ISS),NAH,,-1.2,1.0,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Turner Syndrome,NAH,,-2.0,1.0,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Renal Disease,NAH,,-2.0,1.5,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Other Etiology,NAH,,-1.5,1.3,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Undefined Etiology,NAH,,-1.3,1.2,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Idiopathic Growth Hormone Deficiency (IGHD),EH,,-2.5,1.0,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Organic GHD,EH,,-2.4,1.4,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Idiopathic Short Stature (ISS),EH,,-2.7,0.8,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Turner Syndrome,EH,,-3.1,0.9,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Renal Disease,EH,,-3.1,1.3,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Other Etiology,EH,,-2.9,1.4,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Undefined Etiology,EH,,-3.0,1.7,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Idiopathic Growth Hormone Deficiency (IGHD),NAH GHT ≥3y,,-0.8,1.0,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Organic GHD,NAH GHT ≥3y,,-1.0,1.4,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Idiopathic Short Stature (ISS),NAH GHT ≥3y,,-1.1,1.0,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Turner Syndrome,NAH GHT ≥3y,,-1.9,1.0,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Renal Disease,NAH GHT ≥3y,,-1.7,1.4,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Other Etiology,NAH GHT ≥3y,,-1.5,1.3,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Undefined Etiology,NAH GHT ≥3y,,-1.2,1.2,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Idiopathic Growth Hormone Deficiency (IGHD),EH GHT ≥3y,,-2.6,1.0,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Organic GHD,EH GHT ≥3y,,-2.5,1.4,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Idiopathic Short Stature (ISS),EH GHT ≥3y,,-2.7,0.8,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Turner Syndrome,EH GHT ≥3y,,-3.2,1.0,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Renal Disease,EH GHT ≥3y,,-3.1,1.2,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Other Etiology,EH GHT ≥3y,,-3.0,1.4,,
NCT00097539,Near Adult Height (NAH),SDS,MEAN,Standard Deviation,Undefined Etiology,EH GHT ≥3y,,-3.2,1.8,,
NCT00106028,"Bone Age (Years), Change From Baseline to Month 12, ITT Population",Years,LEAST_SQUARES_MEAN,95% Confidence Interval,Placebo Daily,,,0.956,,0.756,1.155
NCT00106028,"Bone Age (Years), Change From Baseline to Month 12, ITT Population",Years,LEAST_SQUARES_MEAN,95% Confidence Interval,Risedronate Daily,,,1.083,,0.935,1.231
NCT00106028,"Bone Age (Years), Change From Baseline to Month 24, ITT Population",Years,LEAST_SQUARES_MEAN,95% Confidence Interval,Placebo Daily,,,2.147,,1.888,2.407
NCT00106028,"Bone Age (Years), Change From Baseline to Month 24, ITT Population",Years,LEAST_SQUARES_MEAN,95% Confidence Interval,Risedronate Daily,,,2.155,,1.962,2.347
NCT00106028,"Bone Age (Years), Change From Baseline to Month 36, ITT Population",Years,LEAST_SQUARES_MEAN,95% Confidence Interval,Placebo Daily,,,3.087,,2.800,3.374
NCT00106028,"Bone Age (Years), Change From Baseline to Month 36, ITT Population",Years,LEAST_SQUARES_MEAN,95% Confidence Interval,Risedronate Daily,,,3.096,,2.879,3.312
NCT00106028,"Annualized Growth Velocity - Change From Baseline to Month 12, ITT Population",Change in Annualized Growth Velocity,LEAST_SQUARES_MEAN,95% Confidence Interval,Placebo Daily,,,0.895,,0.709,1.080
NCT00106028,"Annualized Growth Velocity - Change From Baseline to Month 12, ITT Population",Change in Annualized Growth Velocity,LEAST_SQUARES_MEAN,95% Confidence Interval,Risedronate Daily,,,1.002,,0.865,1.138
NCT00106028,"Annualized Growth Velocity - Change From Baseline to Month 36, ITT Population",Change in Annualized Growth Velocity,LEAST_SQUARES_MEAN,95% Confidence Interval,Placebo Daily,,,0.982,,0.886,1.077
NCT00106028,"Annualized Growth Velocity - Change From Baseline to Month 36, ITT Population",Change in Annualized Growth Velocity,LEAST_SQUARES_MEAN,95% Confidence Interval,Risedronate Daily,,,1.011,,0.941,1.081
NCT00108082,Model-adjusted Mean Change From Baseline in Left Ventricular Mass Indexed by Height (LVMIH) as Measured by MRI at Month 12,g/m raised to 2.7 (g/(m^2.7)),MEAN,Standard Error,Carvedilol CR,,,-3.19,0.407,,
NCT00108082,Model-adjusted Mean Change From Baseline in Left Ventricular Mass Indexed by Height (LVMIH) as Measured by MRI at Month 12,g/m raised to 2.7 (g/(m^2.7)),MEAN,Standard Error,Atenolol,,,-3.37,0.361,,
NCT00108082,Model-adjusted Mean Change From Baseline in Left Ventricular Mass Indexed by Height (LVMIH) as Measured by MRI at Month 12,g/m raised to 2.7 (g/(m^2.7)),MEAN,Standard Error,Lisinopril,,,-3.98,0.407,,
NCT00108082,Model-adjusted Mean Change From Baseline in Left Ventricular Mass Indexed by Height (LVMIH) as Measured by Echocardiography at Month 12,g/m raised to 2.7 (g/(m^2.7)),MEAN,Standard Error,Carvedilol CR,,,-11.78,2.292,,
NCT00108082,Model-adjusted Mean Change From Baseline in Left Ventricular Mass Indexed by Height (LVMIH) as Measured by Echocardiography at Month 12,g/m raised to 2.7 (g/(m^2.7)),MEAN,Standard Error,Atenolol,,,-12.51,2.100,,
NCT00108082,Model-adjusted Mean Change From Baseline in Left Ventricular Mass Indexed by Height (LVMIH) as Measured by Echocardiography at Month 12,g/m raised to 2.7 (g/(m^2.7)),MEAN,Standard Error,Lisinopril,,,-11.61,2.280,,
NCT00109473,Height Velocity,cm/year,MEAN,Standard Error,Growth Hormone Plus Corticosteroid (CTX),Baseline,,5,1,,
NCT00109473,Height Velocity,cm/year,MEAN,Standard Error,Corticosteroid (CTX),Baseline,,3,1,,
NCT00109473,Height Velocity,cm/year,MEAN,Standard Error,Growth Hormone Plus Corticosteroid (CTX),Week 12,,8,1,,
NCT00109473,Height Velocity,cm/year,MEAN,Standard Error,Corticosteroid (CTX),Week 12,,3,1,,
NCT00109473,Height Velocity,cm/year,MEAN,Standard Error,Growth Hormone Plus Corticosteroid (CTX),Week 24,,9,1,,
NCT00109473,Height Velocity,cm/year,MEAN,Standard Error,Corticosteroid (CTX),Week 24,,7,1,,
NCT00113087,Height-for-age Z-score,standard deviation,LEAST_SQUARES_MEAN,Standard Error,Enalapril,,,-1.00,0.13,,
NCT00113087,Height-for-age Z-score,standard deviation,LEAST_SQUARES_MEAN,Standard Error,Placebo,,,-0.86,0.13,,
NCT00120523,Growth Velocity (Height),cm,MEAN,Standard Deviation,Pimecrolimus,"Baseline (n=1204, n=1208)",,68.8,5.26,,
NCT00120523,Growth Velocity (Height),cm,MEAN,Standard Deviation,Topical Corticosteroids,"Baseline (n=1204, n=1208)",,68.8,5.14,,
NCT00120523,Growth Velocity (Height),cm,MEAN,Standard Deviation,Pimecrolimus,"Week 6 (n=1144, n=1141)",,71.3,4.82,,
NCT00120523,Growth Velocity (Height),cm,MEAN,Standard Deviation,Topical Corticosteroids,"Week 6 (n=1144, n=1141)",,71.3,4.76,,
NCT00120523,Growth Velocity (Height),cm,MEAN,Standard Deviation,Pimecrolimus,"Week 26 (n=1092, n=1114)",,77.0,4.37,,
NCT00120523,Growth Velocity (Height),cm,MEAN,Standard Deviation,Topical Corticosteroids,"Week 26 (n=1092, n=1114)",,76.9,4.46,,
NCT00120523,Growth Velocity (Height),cm,MEAN,Standard Deviation,Pimecrolimus,"Week 52 (n=999, n=1052)",,83.1,4.23,,
NCT00120523,Growth Velocity (Height),cm,MEAN,Standard Deviation,Topical Corticosteroids,"Week 52 (n=999, n=1052)",,83.1,4.30,,
NCT00120523,Growth Velocity (Height),cm,MEAN,Standard Deviation,Pimecrolimus,"Week 104 (n=924, n=975)",,93.0,4.31,,
NCT00120523,Growth Velocity (Height),cm,MEAN,Standard Deviation,Topical Corticosteroids,"Week 104 (n=924, n=975)",,92.9,4.30,,
NCT00120523,Growth Velocity (Height),cm,MEAN,Standard Deviation,Pimecrolimus,"Week 156 (n=871, n=919)",,100.5,4.70,,
NCT00120523,Growth Velocity (Height),cm,MEAN,Standard Deviation,Topical Corticosteroids,"Week 156 (n=871, n=919)",,100.6,4.72,,
NCT00120523,Growth Velocity (Height),cm,MEAN,Standard Deviation,Pimecrolimus,"Week 208 (n=843, n=869)",,107.7,5.46,,
NCT00120523,Growth Velocity (Height),cm,MEAN,Standard Deviation,Topical Corticosteroids,"Week 208 (n=843, n=869)",,107.8,5.25,,
NCT00120523,Growth Velocity (Height),cm,MEAN,Standard Deviation,Pimecrolimus,"Week 260 (n=833, n=871)",,114.4,5.26,,
NCT00120523,Growth Velocity (Height),cm,MEAN,Standard Deviation,Topical Corticosteroids,"Week 260 (n=833, n=871)",,114.5,5.90,,
NCT00120523,Growth Velocity (Weight),kg,MEAN,Standard Deviation,Pimecrolimus,"Baseline (n=1203, n=1213)",,8.2,1.51,,
NCT00120523,Growth Velocity (Weight),kg,MEAN,Standard Deviation,Topical Corticosteroids,"Baseline (n=1203, n=1213)",,8.2,1.51,,
NCT00120523,Growth Velocity (Weight),kg,MEAN,Standard Deviation,Pimecrolimus,"Week 6 (n=1144, n=1144)",,8.8,1.45,,
NCT00120523,Growth Velocity (Weight),kg,MEAN,Standard Deviation,Topical Corticosteroids,"Week 6 (n=1144, n=1144)",,8.7,1.41,,
NCT00120523,Growth Velocity (Weight),kg,MEAN,Standard Deviation,Pimecrolimus,"Week 26 (n=1093, n=1114)",,10.2,1.43,,
NCT00120523,Growth Velocity (Weight),kg,MEAN,Standard Deviation,Topical Corticosteroids,"Week 26 (n=1093, n=1114)",,10.1,1.39,,
NCT00120523,Growth Velocity (Weight),kg,MEAN,Standard Deviation,Pimecrolimus,"Week 52 (n=1003, n=1054)",,11.6,1.52,,
NCT00120523,Growth Velocity (Weight),kg,MEAN,Standard Deviation,Topical Corticosteroids,"Week 52 (n=1003, n=1054)",,11.6,1.54,,
NCT00120523,Growth Velocity (Weight),kg,MEAN,Standard Deviation,Pimecrolimus,"Week 104 (n=928, n=978)",,14.1,1.90,,
NCT00120523,Growth Velocity (Weight),kg,MEAN,Standard Deviation,Topical Corticosteroids,"Week 104 (n=928, n=978)",,14.1,1.83,,
NCT00120523,Growth Velocity (Weight),kg,MEAN,Standard Deviation,Pimecrolimus,"Week 156 (n=873, n=924)",,16.3,2.32,,
NCT00120523,Growth Velocity (Weight),kg,MEAN,Standard Deviation,Topical Corticosteroids,"Week 156 (n=873, n=924)",,16.3,2.29,,
NCT00120523,Growth Velocity (Weight),kg,MEAN,Standard Deviation,Pimecrolimus,"Week 208 (n=843, n=870)",,18.6,2.80,,
NCT00120523,Growth Velocity (Weight),kg,MEAN,Standard Deviation,Topical Corticosteroids,"Week 208 (n=843, n=870)",,18.7,2.88,,
NCT00120523,Growth Velocity (Weight),kg,MEAN,Standard Deviation,Pimecrolimus,"Week 260 (n=833, n=871)",,21.1,3.51,,
NCT00120523,Growth Velocity (Weight),kg,MEAN,Standard Deviation,Topical Corticosteroids,"Week 260 (n=833, n=871)",,21.4,3.70,,
NCT00122980,Growth and Development - Height (Change From Baseline to Endpoint),cm,MEAN,Standard Deviation,Hydroxyurea/Phlebotomy,,,4.40,4.32,,
NCT00122980,Growth and Development - Height (Change From Baseline to Endpoint),cm,MEAN,Standard Deviation,Transfusion/Chelation,,,6.61,5.87,,
NCT00125164,Height Velocity During the First Year - Intent to Treat (ITT)Population,cm/yr,MEAN,Standard Deviation,Untreated,,,5.2,1.0,,
NCT00125164,Height Velocity During the First Year - Intent to Treat (ITT)Population,cm/yr,MEAN,Standard Deviation,80 μg/kg BID (Twice Daily Dosing),,,6.9,1.0,,
NCT00125164,Height Velocity During the First Year - Intent to Treat (ITT)Population,cm/yr,MEAN,Standard Deviation,120 μg/kg BID (Twice Daily Dosing),,,7.7,1.5,,
NCT00125164,Change From Baseline in Height Standard Deviation (SD) Score at One Year - ITT Population,SD/year,MEAN,Standard Deviation,Untreated,,,0.02,0.24,,
NCT00125164,Change From Baseline in Height Standard Deviation (SD) Score at One Year - ITT Population,SD/year,MEAN,Standard Deviation,80 μg/kg BID (Twice Daily Dosing),,,0.38,0.17,,
NCT00125164,Change From Baseline in Height Standard Deviation (SD) Score at One Year - ITT Population,SD/year,MEAN,Standard Deviation,120 μg/kg BID (Twice Daily Dosing),,,0.48,0.32,,
NCT00125164,Changes in Bone Age From Baseline to One Year,Year,MEAN,Standard Deviation,Untreated,,,0.8,0.3,,
NCT00125164,Changes in Bone Age From Baseline to One Year,Year,MEAN,Standard Deviation,80 μg/kg BID (Twice Daily Dosing),,,1.1,0.4,,
NCT00125164,Changes in Bone Age From Baseline to One Year,Year,MEAN,Standard Deviation,120 μg/kg BID (Twice Daily Dosing),,,1.2,0.5,,
NCT00125164,Height Velocity During the First Year for Subjects - Completers,cm/year,MEAN,Standard Deviation,Untreated,,,5.2,1.0,,
NCT00125164,Height Velocity During the First Year for Subjects - Completers,cm/year,MEAN,Standard Deviation,80 μg/kg BID (Twice Daily Dosing),,,7.0,1.0,,
NCT00125164,Height Velocity During the First Year for Subjects - Completers,cm/year,MEAN,Standard Deviation,120 μg/kg BID (Twice Daily Dosing),,,7.9,1.4,,
NCT00125164,Change From Baseline in Height Standard Deviation (SD) Score at One Year - Completers,SD/year,MEAN,Standard Deviation,Untreated,,,0.02,0.24,,
NCT00125164,Change From Baseline in Height Standard Deviation (SD) Score at One Year - Completers,SD/year,MEAN,Standard Deviation,80 μg/kg BID (Twice Daily Dosing),,,0.39,0.17,,
