nct,duration_class,velocity_class,both,child,adult_height_endpoint,has_results,n,minage,maxage,status,start,sponsor,intervention,condition,title
NCT01301183,,,False,True,False,True,75,14 Years,22 Years,COMPLETED,2011-02,Massachusetts General Hospital,"RhIGF-1 with transdermal 17-beta estradiol, Placebo and transdermal 17-beta estradiol",Anorexia Nervosa,Effects of Anorexia Nervosa on Peak Bone Mass
NCT01096784,,igf1,False,True,False,True,121,,1 Day,COMPLETED,2010-06-18,Shire,rhIGF-I/rhIGFBP-3,Retinopathy of Prematurity (ROP),IGF-1/IGFBP3 Prevention of Retinopathy of Prematurity
NCT06526637,,,False,False,False,False,30,18 Years,,COMPLETED,2024-09-26,Imperial College London,"Paper Package, V1 + Preparation Sheet, V2 + Video Training","End of Life, Support, Family",User Testing of an End of Life Medication Support Intervention for Lay Carers (Palliate).
NCT00330668,,igf1,False,True,True,True,114,4 Years,15 Years,TERMINATED,2005-11,Ipsen,rh IGF-1 (mecasermin),Growth Disorders,Treatment of Children and Adolescents With Growth Failure Associated With Primary IGF-1 Deficiency
NCT01777542,,igf1,False,True,False,True,30,2 Years,10 Years,COMPLETED,2013-01,Boston Children's Hospital,"Recombinant Human Insulin Growth Factor 1 (rhIGF-1), Placebo",Rett Syndrome,Treatment of Rett Syndrome With Recombinant Human IGF-1
NCT07399327,,,False,True,False,False,45,12 Years,,RECRUITING,2026-06-19,Assistance Publique Hopitaux De Marseill,"Quality of life questionnaires (QOLIE, EFIQUACEE for children), psychiatric questionnaires (NDDIE, GAD-7, PCL-5) at Visi",Drug Resistant Epilepsy,Biomarkers of Response to SEEG Thermocoagulation
NCT00566241,,igf1,False,False,False,False,15,18 Years,,TERMINATED,2008-06,Stony Brook University,"recombinant human IGF-1, Placebo",Cystic Fibrosis,IGF-1 Therapy in Patients With Cystic Fibrosis
NCT00351221,,,False,True,False,False,24,2 Years,16 Years,TERMINATED,,Insmed Incorporated,rhIGF-1/rhIGFBP-3,Noonan Syndrome,Research Study Using Recombinant Human Insulin-Like Growth Factor-1/Recombinant Human Insulin-Like Growth Factor Binding
NCT00004825,,,False,True,False,False,10,1 Month,18 Years,COMPLETED,1998-05,FDA Office of Orphan Products Developmen,recombinant human insulin-like growth factor I,Hyperinsulinism,Short Term Study of Recombinant Human Insulin-like Growth Factor I in Children With Hyperinsulinism
NCT04697264,,,False,True,False,True,100,,,COMPLETED,2021-04-12,University of Surrey,Blood and tissue sample collection from patients,"Endometrial Cancer, Obesity",Adipocytokines in Endometrial Cancer
NCT00427973,,,False,False,False,True,17,18 Years,,TERMINATED,2009-05,National Cancer Institute (NCI),"cediranib maleate, laboratory biomarker analysis, computed tomography, dynamic contrast-enhanced magnetic resonance imag","Adult Primary Hepatocellular Carcinoma, Advanced Adult Primary Liver C",AZD2171 in Treating Patients With Locally Advanced Unresectable or Metastatic Liver Cancer
NCT02973893,,,False,False,False,False,156,18 Years,,UNKNOWN,2016-11,Factor Therapeutics Ltd.,"Placebo, VF001-DP LD, VF001-DP HD","Ulcer, Leg Ulcer, Varicose Ulcer, Pathologic Processes, Skin Ulcer, Sk",Study of VF001-DP in Patients With Chronic Venous Leg Ulcers
NCT07672652,,,False,False,False,False,20,18 Years,,COMPLETED,2025-12-15,Izmir Katip Celebi University,Venous blood sampling and Alb-PRF preparation,"Healthy Participants, Diabetes Mellitus (Type 2)",Effect of Type 2 Diabetes on Biomarker Levels in Albumin Platelet-Rich Fibrin
NCT01029275,,,False,False,False,False,89,18 Years,80 Years,COMPLETED,2005-01,"University Hospital, Rouen",Pre-treatment with octreotide,Acromegaly,Somatostatin Analog Treatment of Acromegaly Before Pituitary Surgery : Comparison With Neurosurgery Alone
NCT05529550,,,False,True,False,False,102,1 Year,18 Years,COMPLETED,2020-10-01,Menoufia University,,Thalassemia,Assessment of Nutritional Status and Role of Insulin-like Growth Factor-1 in Children
NCT07567417,,,False,True,False,False,100,1 Year,12 Years,NOT_YET_RECRUITING,2026-06-01,Sohag University,"Echocardiography assessment., Laboratory investigations and Hormone assessment.",Assessment of Some Hormone Levels in Children With Dilated Cardiomyopa,Endocrinal Dysfunction Among Children With Dilated Cardiomyopathy
NCT01369173,,,False,False,False,False,50,18 Years,45 Years,COMPLETED,2011-10,Fred Hutchinson Cancer Center,Mexican or American foods,Healthy,COMIDAS Comparing Original Mexican Diets and Standard US Diets
NCT06275373,,,False,False,False,False,100,18 Years,,RECRUITING,2021-05-12,Walter Reed National Military Medical Ce,Teprotumumab Injection [Tepezza],"Thyroid Eye Disease, Graves Ophthalmopathy, Graves Disease",The Effect of Teprotumumab on Thyroid Eye Disease and Thyroid Dysfunction
NCT05038306,,,False,False,False,False,33,20 Years,80 Years,COMPLETED,2021-05-31,Changhua Christian Hospital,Chinese medicine WT,"Ataxia, Spinocerebellar, Insulin-Like Growth Factor I, Medicine, Chine",Chinese Medicine WT for Spinocerebellar Ataxia Type 3
NCT01834989,,,False,False,False,False,40,18 Years,50 Years,UNKNOWN,2013-04,Bispebjerg Hospital,"Insulin-like growth factor I, Placebo",Tendinopathy,Patellar Tendinopathy - Effect of Training and Enhancement of the Collagen Synthesis by Insulin-like Growth Factor-I
NCT03830775,,,False,True,False,False,0,,,WITHDRAWN,2020-10-02,Edna Rath,Platelet-rich plasma (PRP),"Wrist Injuries, PRP",A Prospective Randomized Double Blinded Controlled Trial of Non-Operative Management of TFCC Injuries
NCT03150901,,,False,False,False,False,70,18 Years,80 Years,COMPLETED,2015-02-20,Wolfson Medical Center,no drug,Diabetic Foot,Role of Adiponectine in Pathophysiology Ogf Diabetic Foot
NCT03610412,,igf1,False,False,False,False,28,40 Years,59 Years,COMPLETED,2019-08-01,"Coordinación de Investigación en Salud, ","Cinnamomum Cassia, Placebo (calcined magnesia)","Diabetes Mellitus, Type 2",Cinnamomum Cassia Effect on IGF1 and Metabolic Control in Patients With DM2 Without Glycemic Control Metformin Treated
NCT00233519,,,False,False,False,True,17,21 Years,60 Years,COMPLETED,2005-11,University of Rochester,SomatoKine/IPLEX,Myotonic Dystrophy,Effects of SomatoKine (Iplex)Recombinant Human Insulin-like Growth Factor-1/Recombinant Human Insulin-like Growth Factor
NCT01823822,,,False,False,False,False,62,18 Years,40 Years,COMPLETED,2008-06,"University Hospital, Geneva","Oral protein supplement (Tested product), Iso-caloric supplement (Control product)",Anorexia Nervosa,Influence of Protein Supplements on Serum Insulin-like Growth Factor-I Levels in Women With Anorexia Nervosa
NCT00845039,,,False,False,False,True,4,18 Years,,TERMINATED,2009-05,Eli Lilly and Company,"Cetuximab, Irinotecan, IMC-A12 (cixutumumab)","Colon Cancer, Rectal Cancer",A Study of Irinotecan and Cetuximab With or Without IMC-A12 for Treatment of Participants With Colon or Rectum Cancer Wh
NCT01561456,,,False,False,False,False,100,18 Years,,COMPLETED,2011-12,Axelar AB,"AXL1717, Docetaxel","Non-small-cell Lung Cancer, Squamous Cell Carcinoma, Adenocarcinoma of",Study of AXL1717 Compared to Docetaxel to Treat Squamous Cell Carcinoma or Adenocarcinoma of the Lung
NCT01595698,,,False,False,False,False,11,18 Years,50 Years,COMPLETED,2010-02,Federal University of São Paulo,"Physical Exercise, Control",Schizophrenia,Schizophrenia and Physical Exercise
NCT02092584,,,False,False,False,False,31,45 Years,65 Years,COMPLETED,2011-12,Tehran University of Medical Sciences,"Omega-3, Placebo",Cardiovascular Disease,Effect of Omega-3 Supplementation on Serum Level and Gene Expression of IGF-1and IGFBP-3 in Men With CVD.
NCT00048984,,,False,True,False,False,637,,50 Years,COMPLETED,2003-01,Children's Oncology Group,laboratory biomarker analysis,"Localized Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor, Me",Diagnostic Study of Tumor Characteristics in Patients With Ewing's Sarcoma
NCT07271199,,,False,False,False,False,30,18 Years,60 Years,COMPLETED,2025-11-01,Hungkuang University,"Placebo control, Experimental formula","Skin Condition, Eyelash Growth, Eyelashes, Skin Health, Hair Health",Eyelash Effect Evaluation for Premium Rejuvenation Eyelash Serum
NCT03746431,,,False,False,False,False,78,18 Years,,TERMINATED,2019-01-17,Fusion Pharmaceuticals Inc.,"[111In]-FPI-1547 Injection, [225Ac]-FPI-1434 Injection multi-dose, FPI-1175 Infusion, [225Ac]-FPI-1434 Injection single-","Advanced Solid Tumours, Endometrial Cancer, Cervical Cancer, Ovarian C",A Phase 1 Study of [225Ac]-FPI-1434 Injection
