nct,duration_class,velocity_class,both,child,adult_height_endpoint,has_results,n,minage,maxage,status,start,sponsor,intervention,condition,title
NCT03811509,,,False,False,False,False,1000,40 Years,80 Years,UNKNOWN,2016-01-01,Parc de Salut Mar,bisphosphonate,"Osteoporosis, Osteoporosis Fracture, Arthralgia Generalized",Breast Cancer Women on Aromatase Inhibitors Treatment
NCT02684032,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,141,18 Years,,COMPLETED,2016-06-14,Celcuity Inc,"Gedatolisib, Palbociclib, Letrozole, Fulvestrant",Breast Cancer,A Study To Assess The Tolerability And Clinical Activity Of Gedatolisib In Combination With Palbociclib/Letrozole Or Pal
NCT00247663,aromatase_inhibitor,,False,False,False,False,17,20 Years,74 Years,COMPLETED,1999-12,Novartis Pharmaceuticals,Letrozole,Postmenopausal Women With Advanced Breast Cancer,Extension Study of 1.0mg Dose Letrozole Therapy in Postmenopausal Patients With Breast Cancer
NCT01589367,aromatase_inhibitor,,False,False,False,False,208,18 Years,80 Years,COMPLETED,2012-05,Seoul National University Hospital,"Metformin, Placebo",Hormone Receptor Positive Malignant Neoplasm of Breast,Neoadjuvant Letrozole Plus Metformin vs Letrozole Plus Placebo for ER-positive Postmenopausal Breast Cancer
NCT00790816,,,False,False,False,False,500,18 Years,,COMPLETED,2008-10,Novartis Pharmaceuticals,"Lapatinib in combination with an anti-cancer agent, Lapatinib, Lapatinib in combination with an anti-cancer agent as spe","Neoplasms, Breast",Continuation Study of Lapatinib Monotherapy or Lapatinib in Combination With Other Anti-cancer Agents
NCT00611715,aromatase_inhibitor,,False,False,False,True,48,18 Years,,TERMINATED,2003-11,Vanderbilt-Ingram Cancer Center,"erlotinib hydrochloride, letrozole, fluorescence in situ hybridization, immunohistochemistry staining method, laboratory",Breast Cancer,"Ph II Letrozole + OSI-774 (Tarceva) in Post-menopausal, w/ ER and/or PR-positive Met Breast Cancer."
NCT06793904,aromatase_inhibitor,,False,False,False,False,122,18 Years,35 Years,RECRUITING,2025-02-01,Cairo University,Aromatase inhibitor Letrozole,Polycystic Ovarian Syndrome (PCOS),Comparative Study Between HOMA1-IR and HOMA2-IR in Prediction of Ovulation Outcome in Women With PCOS
NCT04931342,aromatase_inhibitor|gnrh_analogue,,False,False,False,False,176,18 Years,,ACTIVE_NOT_RECRUITING,2021-10-07,Hoffmann-La Roche,"Ipatasertib, Cobimetinib, Trastuzumab Emtansine, Atezolizumab, Bevacizumab, Paclitaxel, Giredestrant, Abemaciclib, Inavo",Ovarian Cancer,A Study Evaluating the Efficacy and Safety of Biomarker-Driven Therapies in Patients With Persistent or Recurrent Rare E
NCT06656624,,,False,False,False,False,190,18 Years,99 Years,RECRUITING,2024-08-13,The First Affiliated Hospital with Nanji,"Ribociclib combined with AI±OFS, physician's choice of chemotherapy sequential Ribociclib combined with AI±OFS",Advanced Breast Cancer,Efficacy and Safety of Ribociclib Combined With AI Versus Physician&Amp;#39;s Choice of Chemotherapy Sequential Endocrin
NCT03439046,aromatase_inhibitor|estrogen_blockade,,False,False,False,True,287,18 Years,,TERMINATED,2018-02-02,Novartis Pharmaceuticals,"Ribociclib, Letrozole, Alpelisib, Fulvestrant",Breast Cancer,Study of the Molecular Features of Postmenopausal Women With HR+ HER2-negative aBC on First-line Treatment With Ribocicl
NCT05645536,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,250,18 Years,51 Years,ENROLLING_BY_INVITATION,2022-12-28,Tolmar Inc.,"TOL2506, Tamoxifen, Letrozole tablets, Anastrozole Tablets, Exemestane Tablets",Breast Cancer,"Safety Extension Study for Subjects With HR+, HER2- Breast Cancer for Subjects Who Have Completed the OVELIA Study"
NCT04569747,,,False,False,False,False,393,18 Years,,ACTIVE_NOT_RECRUITING,2021-01-11,Dana-Farber Cancer Institute,"Pertuzumab+TRASTUZUMAB, ADJUVANT ENDOCRINE THERAPY","HER2-positive Breast Cancer, Invasive Carcinoma of the Breast, Breast ","A Single Arm Phase II Study of ADjuvant Endocrine Therapy, Pertuzumab, and Trastuzumab for Patients With Anatomic Stage "
NCT00949598,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,177,65 Years,120 Years,COMPLETED,2008-12,Institut du Cancer de Montpellier - Val ,"letrozole, tamoxifen citrate",Breast Cancer,Letrozole or Tamoxifen Citrate in Treating Older Postmenopausal Women Undergoing Surgery for Breast Cancer
NCT07340658,aromatase_inhibitor,,False,False,False,False,300,18 Years,,NOT_YET_RECRUITING,2026-08,Rovi Pharmaceuticals Laboratories,"Letrozole SIE + Ribociclib + Oral placebo, Oral Femara® + Ribociclib + Injectable placebo","Advanced, Metastatic Breast Cancer",A Study to Investigate the Efficacy and Safety of Letrozole SIE Compared With Femara® (Both Combined With the CDK4/6 Inh
NCT03058939,aromatase_inhibitor|estrogen_blockade|gnrh_analogue,,False,False,False,False,0,18 Years,70 Years,WITHDRAWN,2018-11,University of Chicago,"Paclitaxel, Perjeta, Herceptin SC, Tamoxifen, Letrozole, LHRH agonist, FEC, Carboplatin","Breast Cancer, Breast Cancer Stage II, Breast Cancer Stage III",Assessing the Response Rate of Neo-adjuvant Paclitaxel (Taxol) in Nigerian Women With Breast Cancer
NCT00897065,aromatase_inhibitor|estrogen_blockade,,False,True,False,False,957,,,UNKNOWN,2006-06,Massachusetts General Hospital,"microarray analysis, polymerase chain reaction, protein expression analysis, diagnostic laboratory biomarker analysis, f",Breast Cancer,Biomarkers in Predicting Response to Tamoxifen and Letrozole in Postmenopausal Women With Primary Breast Cancer Treated 
NCT03204734,,,False,False,False,False,132,18 Years,70 Years,UNKNOWN,2016-01-01,Zhejiang Cancer Hospital,"Capecitabine, endocrine therapy",Breast Cancer,Capecitabine or Endocrinotherapy as a Maintenance Therapy Regimen at Least 2nd Line in Hormone Receptor Positive and HER
NCT01361945,aromatase_inhibitor,,False,False,False,False,0,18 Years,,WITHDRAWN,2011-07,Texas Tech University Health Sciences Ce,AUY922,"Breast Cancer, Metastatic Breast Cancer, HER-2 Positive Breast Cancer,",AUY922 With Lapatinib and Letrozole for ER+ HER2+ Advanced Breast Cancer
NCT00545077,aromatase_inhibitor|estrogen_blockade,,False,False,False,True,380,18 Years,,COMPLETED,2007-11-06,Spanish Breast Cancer Research Group,"Letrozole, Bevacizumab, Fulvestrant",Breast Cancer,Bevacizumab + Endocrine Treatment vs Endocrine Treatment as First Line in Postmenopausal Women
NCT01679574,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,200,18 Years,35 Years,COMPLETED,2009-01,Assiut University,"Letrozole, Clomiphene, Metformin",Polycystic Ovary Syndrome,Letrozole or Combined Clomiphene Citrate Metformin as a First Line Treatment in Women With Polycystic Ovarian Syndrome
NCT06403488,aromatase_inhibitor,,False,False,False,False,102,18 Years,40 Years,COMPLETED,2023-10-01,Beni-Suef University,Letrozole 2.5mg,Polycystic Ovary Syndrome,Letrozole Dose Increments in PCOS Patients Resistant to Letrozole
NCT02732808,,,False,False,False,False,50,40 Years,50 Years,COMPLETED,2014-09,Royan Institute,Ovulation stimulation,Infertility,Dual Ovarian Stimulation in the Same IVF/ICSI Cycles for Treatment of Poor Ovarian Responders
NCT00960960,aromatase_inhibitor,,False,False,False,False,71,18 Years,,COMPLETED,2009-08,"Genentech, Inc.","Bevacizumab, Pictilisib, Letrozole, Paclitaxel, Trastuzumab",Breast Cancer,"A Study of PI3-Kinase Inhibitor GDC-0941 in Combination With Paclitaxel, With and Without Bevacizumab or Trastuzumab, an"
NCT05203562,aromatase_inhibitor,,False,False,False,False,200,20 Years,40 Years,UNKNOWN,2020-06-01,Zagazig University,"Suction evacuation, Letrozole tablets",Gestational Trophoblastic Disease,Letrozole as a Prophylaxis From GTN for Complete Mole Patients
NCT02109913,aromatase_inhibitor,,False,False,False,False,175,18 Years,,UNKNOWN,2014-03,"Amsterdam UMC, location VUmc",Everolimus plus Exemestane,"Hormone Receptor Positive Malignant Neoplasm of Breast, Metastatic Bre",Analysis of Tumor Tissue and Circulating Genetic Material in the Blood to Obtain Further Insight in the Effectiveness of
NCT06985186,aromatase_inhibitor|gnrh_analogue,,False,False,False,False,162,18 Years,50 Years,NOT_YET_RECRUITING,2025-06,University of Palermo,"Ultra-Long GnRH Agonists + Letrozole, Ultra-Long GnRH Agonists","Adenomyosis of Uterus, Infertility Assisted Reproductive Technology",Does The Addition Of Letrozole To Ultra-Long GnRH Agonists Help Adenomyosis Patients in ART? The AURA Trial
NCT02592083,aromatase_inhibitor|estrogen_blockade|gnrh_analogue,,False,False,False,False,10,41 Years,,ACTIVE_NOT_RECRUITING,2015-10,Thomas Hatschek,"Tamoxifen or Aromatase Inhibitor or Aromatase Inhibitor + goserelin, Palbociclib","Early-Stage Breast Carcinoma, Hormone Receptor Positive Tumor",Neoadjuvant Response-guided Treatment of Slowly Proliferating Hormone Receptor Positive Tumors
NCT04158362,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,180,18 Years,,ACTIVE_NOT_RECRUITING,2020-06-11,UNICANCER,"Paclitaxel injection, Capecitabine tablets, Letrozole 2.5mg, Anastrozole 1mg, Fulvestrant Prefilled Syringe, Abemaciclib",Cancer Metastatic,Endocrine Therapy With Abemaciclib or Chemotherapy as Initial Metastatic Treatment in ER+/HER2- Breast Cancer
NCT04571437,aromatase_inhibitor,,False,False,False,False,204,18 Years,70 Years,UNKNOWN,2020-03-01,Cairo University,"Capecitabine, Letrozole 2.5mg","Breast Cancer, Estrogen Receptor-positive Breast Cancer, Metastatic Br",Letrozole and Metronomic Capecitabine in ER-positive HER2 Negative Advanced Breast Cancer (B-001 Study)
NCT02476786,aromatase_inhibitor|estrogen_blockade|gnrh_analogue,,False,False,False,False,50,70 Years,,RECRUITING,2017-01-17,Washington University School of Medicine,"FACT-B, Goserelin, Anastrozole, Exemestane, Fulvestrant, Tamoxifen, Archived tissue collection","Breast Cancer, Cancer of Breast, Breast Neoplasms, Cancer of the Breas",Endocrine Treatment Alone for Elderly Patients With Estrogen Receptor Positive Operable Breast Cancer and Low Recurrence
NCT05085002,aromatase_inhibitor|estrogen_blockade,,False,False,False,True,100,18 Years,,TERMINATED,2021-12-21,"EQRx, Inc.",Lerociclib + Letrozole or Fulvestrant,Advanced Breast Cancer,A Study of Lerociclib in Participants With Advanced Breast Cancer
NCT02095184,aromatase_inhibitor,,False,False,False,True,42,18 Years,,TERMINATED,2015-05-25,"University of Maryland, Baltimore","Anastrozole, Letrozole",Breast Cancer,GCC 1366: Anti-Proliferative Response to NeoAdjuvant AIs in Overweight and Obese Patients
NCT06418347,aromatase_inhibitor,,False,False,False,False,150,18 Years,35 Years,UNKNOWN,2024-04-01,Ain Shams University,"Alpha lipoic acid, Letrozole","Polycystic Ovary Syndrome, Infertility, Female",Effect of ALA Combined With Letrozole on Polycystic Ovary Syndrome Clinical Outcome in Infertile Females
NCT00956267,aromatase_inhibitor,,False,False,False,False,260,20 Years,36 Years,COMPLETED,2006-08,Mansoura University,"Letrozole, Laparoscopic ovarian diathermy (LOD)",Polycystic Ovary Syndrome,Letrozole or Laparoscopic Ovarian Diathermy for Women With CC Resistant Polycystic Ovary Syndrome.
NCT02010021,aromatase_inhibitor,,False,False,False,True,17,18 Years,,COMPLETED,2014-01,Dartmouth-Hitchcock Medical Center,Letrozole,Breast Cancer,Presurgical Treatment With Letrozole in Patients With Early-stage Breast Cancer.
NCT05487092,aromatase_inhibitor,,False,False,False,False,194,18 Years,45 Years,RECRUITING,2022-12-01,The University of Hong Kong,"Letrozole, Placebo",Endometriotic Cyst of Ovary,Letrozole in Preventing Recurrence of Endometrioma Following Laparoscopic Ovarian Cystectomy
NCT04577001,aromatase_inhibitor,,False,False,False,True,1,18 Years,99 Years,TERMINATED,2021-02-18,Mayo Clinic,"Letrozole, Placebo",Hepatopulmonary Syndrome,Letrozole in Patients With Hepatopulmonary Syndrome
NCT04619914,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,160,18 Years,35 Years,COMPLETED,2019-03-01,Laylay Mohammed Khalleefah Alhibshi,"Clomid; Aventis pharma S.AE, Global Napi pharmaceuticals, Cairo, Egypt, letrozole (Femara; Novartis pharma AG, Basle, Sw","Endometrial Thickness, Pregnancy Rate",the Effect of Clomiphene Citrate Plus Estradiol Valerate Versus Letrozole on Endometrial Thickness and Pregnancy Rate in
NCT03910712,aromatase_inhibitor,,False,False,False,False,250,18 Years,,UNKNOWN,2019-06-01,Peking Union Medical College Hospital,"Pyrotinib, Trastuzumab, Aromatase inhibitor","Breast Cancer Female, HER2-positive Breast Cancer, Hormone Receptor Po",Pyrotinib Combined With Trastuzumab and AI in the First-line Treatment of HER2 Positive/ HR Positive MBC
NCT05952557,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,5500,18 Years,130 Years,RECRUITING,2023-10-05,AstraZeneca,"Camizestrant, Tamoxifen, Anastrozole, Letrozole, Exemestane, Abemaciclib","Breast Cancer, Early Breast Cancer",An Adjuvant Endocrine-based Therapy Study of Camizestrant (AZD9833) in ER+/HER2- Early Breast Cancer (CAMBRIA-2)
NCT07255911,aromatase_inhibitor,,False,False,False,False,72,18 Years,35 Years,RECRUITING,2025-02-07,Mst.Sumyara Khatun,"Letrozole 0.5mg, Cabergoline 0.5 mg",PCOS,Cabergoline & Letrozole Versus Letrozole in Ovulation Induction in PCOS
NCT03054363,aromatase_inhibitor,,False,False,False,True,42,18 Years,100 Years,COMPLETED,2017-11-27,"University of Colorado, Denver","Tucatinib in Combination with Palbociclib and Letrozole, Tucatinib in Combination with Palbociclib and Letrozole",Breast Cancer,"Tucatinib, Palbociclib and Letrozole in Metastatic Hormone Receptor Positive and HER2-positive Breast Cancer"
NCT00351416,aromatase_inhibitor|gnrh_analogue,,False,False,False,True,15,18 Years,40 Years,UNKNOWN,2004-01-21,Massachusetts General Hospital,"Letrozole, NAL-GLU GnRH antagonist",Healthy Volunteers,Letrozole Treatment in Normal and GnRH Deficient Women
NCT05439499,aromatase_inhibitor|gnrh_analogue,,False,False,False,False,434,18 Years,,UNKNOWN,2022-03-02,"Ahon Pharmaceutical Co., Ltd.","FCN-437c, Letrozole or anastrozole, Goserelin acetate, Placebo, Letrozole or anastrozole, Goserelin acetate","Advanced Breast Cancer, Female Breast Cancer","This is a Multicenter, Randomized, Double-blind, Placebo-controlled Phase III Clinical Study Evaluating the Efficacy and"
NCT05004142,aromatase_inhibitor|estrogen_blockade|gnrh_analogue,,False,False,False,False,70,18 Years,,UNKNOWN,2020-06-30,"Ahon Pharmaceutical Co., Ltd.","FCN-437c+Fulvestrant, FCN-437c+Letrozole+Goserelin",Breast Neoplasms,"Study of Efficacy, Safety, and Pharmacokinetics of FCN-437c in Combination With Fulvestrant or Letrozole+Goserelin"
NCT07669402,aromatase_inhibitor,,False,False,False,False,90,20 Years,45 Years,COMPLETED,2023-12-01,Tehran University of Medical Sciences,"Letrozole 2.5mg, L-carnitine","Idiopathic Oligoasthenoteratozoospermia, Male Infertility","Comparative Evaluation of the Efficacy of Letrozole, L-Carnitine, and Their Combination on Sperm Quality, Oxidative Stre"
NCT01686828,aromatase_inhibitor,,False,False,False,True,53,25 Years,55 Years,COMPLETED,2013-06,University of Washington,"Acyline, Testosterone 1.62% gel, Letrozole, Placebo gel (for Testosterone 1.62% gel), Placebo pill (for Letrozole)","Insulin Resistance, Type 2 Diabetes Mellitus, Obesity, Androgen Defici",T-IR- Study to Understand the Effects of Testosterone and Estrogen on the Body's Response to the Hormone Insulin
NCT07540611,,,False,True,False,False,860,,,NOT_YET_RECRUITING,2026-07-17,Indira IVF Hospital Pvt Ltd,"No intervention, hCG + FSH therapy",APHRODITE Group,Gonadotropin Therapy in Idiopathic Hypogonadal Non-Obstructive
NCT00138710,aromatase_inhibitor,,False,False,False,False,50,20 Years,50 Years,COMPLETED,2005-08,Rijnstate Hospital,Letrozole (Femara),"Hypogonadotrophic Hypogonadism, Obesity",Short-term Effects of Aromatase Inhibition in Obese Men
NCT00728949,aromatase_inhibitor|estrogen_blockade,,False,False,False,True,93,18 Years,,COMPLETED,2008-08,Eli Lilly and Company,"IMC-A12 (cixutumumab), tamoxifen, Anastrozole, Letrozole, Exemestane, Fulvestrant",Metastatic Breast Cancer,A Study for Safety and Effectiveness of IMC-A12 by Itself or Combined With Antiestrogens to Treat Breast Cancer
NCT04047758,aromatase_inhibitor,,False,False,False,False,420,18 Years,70 Years,UNKNOWN,2019-09-01,Shengjing Hospital,"Palbociclib + Letrozole, Letrozole",Breast Cancer,Palbociclib Combined With an Aromatase Inhibitor in Breast Cancer
NCT03378297,aromatase_inhibitor,,False,False,False,False,26,18 Years,,COMPLETED,2018-05-04,Haukeland University Hospital,"Metformin, Acetylsalicylic acid, Olaparib, Letrozole",Ovarian Cancer,IMPACT: A Randomized WOO Study of Novel Therapeutic Agents in Women Triaged to Primary Surgery for EOC
NCT04308343,aromatase_inhibitor|gnrh_analogue,,False,False,False,False,120,18 Years,40 Years,UNKNOWN,2020-03-30,Assiut University,"Methotrexate, Letrozole, cetrotide",Ectopic Pregnancy,The Aromatase Inhibitor and Gnrh Antagonist Versus Methotrexate for Management of Undisturbed Ectopic Pregnancy
NCT00911313,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,250,20 Years,36 Years,COMPLETED,2006-06,Mansoura University,"Letrozole tablets (Femara; Novartis Pharma, Switzerland), metformin HCl (Cidophage®; CID,Cairo, Egypt), CC (Clomid®; Glo",Polycystic Ovary Syndrome,Letrozole or Combined Metformin Clomiphene Citrate (CC) for Women With CC Resistant Polycystic Ovary Syndrome
NCT03747042,aromatase_inhibitor,,False,False,False,True,61,18 Years,,COMPLETED,2018-11-27,University of Texas Southwestern Medical,Letrozole,Breast Cancer Female,Letrozole in Post-Menopausal Patients With Operable Hormone-Sensitive Breast Cancer
NCT03458221,aromatase_inhibitor,,False,False,False,False,148,18 Years,,RECRUITING,2023-01-31,Gynaecologisch Oncologisch Centrum Zuid,"Letrozole Oral Product, Bicalutamide Oral Product, Everolimus Oral Product, Itraconazole Oral Product","Recurrent Ovarian Cancer, Signal Transduction Pathway Deregulation, Th",Signal TrAnsduction Pathway Activity Analysis in OVarian cancER
NCT00291135,aromatase_inhibitor,,False,False,False,True,42,18 Years,,COMPLETED,2003-01,"Carol Fabian, MD",letrozole,Breast Cancer,Protocol for Women at Increased Risk of Developing Breast Cancer
NCT02958852,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,126,18 Years,,COMPLETED,2025-01-02,Lund University Hospital,"Letrozole, Letrozole and atorvastatin, Fulvestrant",Breast Cancer,A Clinical Trial to Compare Efficacy and Tolerability of Atorvastatin in Addition to Endocrine Treatment With Focus on M
NCT00171704,aromatase_inhibitor|estrogen_blockade,,False,False,False,True,263,50 Years,,COMPLETED,2005-04,Novartis Pharmaceuticals,"Letrozole, Tamoxifen",Hormone Sensitive Resected Primary Breast Cancer in Postmenopausal Wom,A Study to Evaluate the Effect of Letrozole and Tamoxifen on Bone and Lipids in Postmenopausal Women With Breast Cancer
NCT01948804,aromatase_inhibitor|estrogen_blockade|gnrh_analogue,,False,False,False,False,100,18 Years,44 Years,UNKNOWN,2014-01,Pınar Özcan Cenksoy,"GnrH Antagonist/letrozole protocol (Cetrotide; serono + Femara; Novartis Pharma AG), microdose flare-up protocol (Lucrin",Poor Responders Undergoing IVF,The Comparison of Effect of Four Different Treatment Protocols on IVF Outcomes in Poor Responders Undergoing in Vitro Fe
NCT04310293,aromatase_inhibitor,,False,False,False,False,100,22 Years,45 Years,UNKNOWN,2020-03-10,Al Baraka Fertility Hospital,"Femara,Grotwth hormone,HMG",Poor Ovarian Response,Novel Therapy for Poor Responders Management
NCT04217265,aromatase_inhibitor,,False,False,False,False,200,18 Years,,UNKNOWN,2020-01-05,Cairo University,"Letrozole then misoprostol, placebo then misoprostol",Missed Abortion,Letrozole Pretreatment With Misoprostol Versus Misoprostol Alone in Missed Abortion
NCT07581834,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,2000,18 Years,,RECRUITING,2026-01-21,Fujian Cancer Hospital,"Dalpiciclib 125mg, Dalpiciclib 100mg, Endocrine Therapy (ET): letrozole, anastrozole, exemestane, tamoxifen","Breast Diseases, Breast Neoplasms, Dalpiciclib, Endocrine Breast Disea",Efficacy and Safety of Dalpiciclib Combined With Endocrine Adjuvant Therapy for Early HR +/HER2- Breast Cancer: a Multic
NCT02549430,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,115,18 Years,,COMPLETED,2012-10,Fondazione Sandro Pitigliani,"Palbociclib, Anastrozole, Letrozole, Exemestane, Fulvestrant",Breast Cancer,To Reverse ENDocrine Resistance Trial - PD 0332991 Monotherapy vs PD 0332991 in Combination With the Endocrine Therapy
NCT02764541,aromatase_inhibitor|estrogen_blockade,,False,False,False,True,195,18 Years,,ACTIVE_NOT_RECRUITING,2016-05-24,Dana-Farber Cancer Institute,"Letrozole, Tamoxifen, Palbociclib, Endocrine Therapy",Breast Cancer,Palbociclib and Endocrine Therapy for LObular Breast Cancer Preoperative Study (PELOPS)
NCT00908531,aromatase_inhibitor,,False,False,False,False,123,60 Years,,TERMINATED,2009-05,Danish Breast Cancer Cooperative Group,letrozole (Femara),Operable Breast Neoplasms,Trial of Endocrine Against Locoregional Therapy First in Postmenopausal Women With Early Breast Cancer
NCT01272570,,,False,False,False,False,58,50 Years,,COMPLETED,2010-09,University of Michigan,,"Breast Cancer, Xerostomia",Oral Health and Oral Health-Related Quality of Life in Early Stage Breast Cancer Survivors
NCT07492394,aromatase_inhibitor,,False,False,False,False,60,18 Years,75 Years,RECRUITING,2025-09-12,Hebei Medical University Fourth Hospital,"entinostat, Dalpiciclib, Letrozole",Breast Cancer,Dalpiciclib With or Without Entinostat and Letrozole in HR+/HER2- Early Breast Cancer
NCT02154776,aromatase_inhibitor,,False,False,False,False,13,18 Years,,COMPLETED,2014-06-27,Novartis Pharmaceuticals,"LEE011, Buparlisib, Letrozole",Advanced or Metastatic Breast Cancer,"Dose Escalation Study of LEE011 in Combination With Buparlisib and Letrozole in HR+, HER2-negative Post-menopausal Women"
NCT05247268,aromatase_inhibitor,,False,False,False,False,104,18 Years,45 Years,RECRUITING,2022-03-11,Fudan University,"Megestrol Acetate 160 MG Oral Tablet, Medroxyprogesterone Acetate 500 MG, Triprorelin Acetate, Letrozole 2.5mg",Endometrial Neoplasm Malignant Stage I,Gonadotropin-releasing Hormone Agonist (GnRHa) Plus Letrozole In Young Women With Early Endometrial Cancer
NCT02730091,aromatase_inhibitor,,False,False,False,False,98,18 Years,,TERMINATED,2016-02-24,Centre Hospitalier Universitaire de Besa,"Letrozole, Anastrozole, Vinorelbine",Breast Cancer,A Open Study of Metronomic Oral Vinorelbine in Combination With Aromatase Inhibitors for the Treatment of Postmenopausal
NCT00305825,aromatase_inhibitor,,False,False,False,False,43,18 Years,120 Years,COMPLETED,2004-08,"University of California, San Francisco","bevacizumab, letrozole",Breast Cancer,Bevacizumab and Letrozole in Treating Postmenopausal Women With Locally Advanced or Metastatic Breast Cancer That Cannot
NCT04364581,aromatase_inhibitor,,False,False,False,False,30,18 Years,45 Years,UNKNOWN,2020-05-01,Mansoura University,"Letrozole, Placebo",Myoma;Uterus,Endometrial Preparation by Short Course of Letrozole Before Hysteroscopic Removal of Endocavitary Lesions
NCT03272477,aromatase_inhibitor|estrogen_blockade|gnrh_analogue,,False,False,False,False,257,18 Years,,COMPLETED,2017-10-05,Palleos Healthcare GmbH,"Perjeta Injectable Product, Herceptin, Tamoxifen, Paclitaxel, Epirubicin, Cyclophosphamide, Anastrozole, Letrozole, Exem",Breast Neoplasms,Study to Compare Neoadjuvant Combination of Trastuzumab and Pertuzumab With Concurrent Taxane Chemotherapy or Endocrine 
NCT01466972,,,False,False,False,True,30,18 Years,,COMPLETED,2012-04-27,"Hope Rugo, MD",Pazopanib,"Breast Cancer, Breast Neoplasm",Reversing Hormone Resistance in Advanced Breast Cancer With Pazopanib
NCT03161353,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,377,18 Years,,ACTIVE_NOT_RECRUITING,2017-06-26,MedSIR,"Perjeta, Herceptin, Docetaxel, Carboplatin, Letrozole, Tamoxifen",Breast Cancer,Chemotherapy-free Trastuzumab and Pertuzumab in HER2-positive Breast Cancer: FDG-PET Response-adapted Strategy.
NCT07708194,,,False,False,False,False,94,18 Years,75 Years,RECRUITING,2025-06-23,Tianjin Medical University Cancer Instit,"entinostat, Pyrotinib, endocrine therapy","Breast Cancer, HER2-positive Breast Cancer, Hormone Receptor-Positive ",Entinostat Plus Pyrotinib and Endocrine Therapy in Advanced Triple-Positive Breast Cancer After Trastuzumab Failure
NCT04102618,aromatase_inhibitor,,False,False,False,False,26,18 Years,,TERMINATED,2019-03-29,Oncolytics Biotech,"Pelareorep, Letrozole, Atezolizumab, Trastuzumab",Breast Cancer,A Window-of-opportunity Study of Pelareorep in Early Breast Cancer
NCT06813118,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,42,20 Years,40 Years,COMPLETED,2024-06-07,HITEC-Institute of Medical Sciences,Clomiphene Citrate and letrozole,Polycystic Ovarian Syndrome,Comparison of Clomid and Lezra With Lezra for Ovulation Induction in Clomid Resistant PCOS Case
NCT04169451,aromatase_inhibitor,,False,False,False,False,982,20 Years,,UNKNOWN,2022-09-29,Peking University Third Hospital,Letrozole,"Intrauterine Insemination, Unexplained Infertility",IUI With Letrozole Versus in Natural Cycle
NCT00999804,aromatase_inhibitor,,False,False,False,True,128,18 Years,,ACTIVE_NOT_RECRUITING,2011-10,Baylor Breast Care Center,"Lapatinib, Letrozole, Trastuzumab",Breast Cancer,Extension Study of Lapatinib Plus Herceptin With or Without Endocrine Therapy
NCT00823004,aromatase_inhibitor|gnrh_analogue,,False,True,False,False,120,,,COMPLETED,2008-06,Yazd Research & Clinical Center for Infe,"letrozole, oral contraceptive (Marvelone), GnRH agonist (buserelin), recombinant FSH or hMG, ganirelix acetate",Ovarian Stimulation,Antagonist/Letrozole in Poor Responders
NCT01232075,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,214,18 Years,37 Years,COMPLETED,2008-09,Cairo University,"Extended letrozole regimen, Clomiphene citrate regimen",Infertility,Extended Letrozole Regimen Versus Clomiphene Citrate for Superovulation in Patients With Unexplained Infertility Undergo
NCT05106712,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,700,20 Years,42 Years,UNKNOWN,2021-11-01,Umm Al-Qura University,"Vitamin D3, Clomiphene Citrate, Letrozole, placebo","Female Infertility, Polycystic Ovary Syndrome, Pathologic Processes, V",Vitamin D Supplementation and Improvement of PCOS Therapy and IVF Outcomes in Infertile Saudi Women
NCT06366347,aromatase_inhibitor,,False,False,False,False,32,18 Years,,RECRUITING,2024-09-25,Dana-Farber Cancer Institute,"Abemaciclib, Letrozole, Pembrolizumab","Endometrial Cancer, Recurrent Endometrial Cancer, TP53",ALPINE: Maintenance Letrozole/Abemaciclib
NCT01771458,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,742,18 Years,,COMPLETED,2012-10,Institut Curie,"Targeted therapy based on molecular profiling : Imatinib, Tumor biopsy, Standard Chemotherapy, Targeted therapy based on",Reccurent/Metastatic Solid Tumor Disease,A Randomized Phase II Trial Comparing Therapy Based on Tumor Molecular Profiling Versus Conventional Therapy in Patients
NCT01058252,aromatase_inhibitor,,False,False,False,False,30,20 Years,37 Years,UNKNOWN,2021-05,Galaxy Pharma (Pvt) Limited,"INVOCell, Letrozole 2.5 mg, recFSH 75 IU, STEP-3: LH Suppression & Monitoring, STEP-4: HCG Timing, STEP-5: OPU, ET, Canc","Primary Infertility, Secondary Infertility, Low Responders, Mild to Mo",Minimal Stimulation Protocol Using Aromek(Letrozole) and Follitrope(recFSH) Combined With INVOCell-Low Cost IVF
