Symbol	Diffrna-MFS_perichondrium_starMin33_PC-mut_vs_PC-WT	RowSum	RowMean	RowSampleSD	RowSampleCV	Description	ReadWrite_SCPs	ReadWrite_human_symbols
ALDOART1	-1.3767557144165	0	0	0	0	aldolase 1 A, retrogene 1		ALDOART1
ALG12	-1.27594780921936	0	0	0	0	asparagine-linked glycosylation 12 (alpha-1,6-mannosyltransferase)		ALG12
ALG3	-1.34002900123596	0	0	0	0	asparagine-linked glycosylation 3 (alpha-1,3-mannosyltransferase)		ALG3
ALKBH8	0.588175177574158	0	0	0	0	alkB homolog 8, tRNA methyltransferase		ALKBH8
AMN1	0.643108308315277	0	0	0	0	antagonist of mitotic exit network 1		AMN1
ANAPC13	-0.729941070079803	0	0	0	0	anaphase promoting complex subunit 13		ANAPC13
ANAPC5	-0.554501533508301	0	0	0	0	anaphase-promoting complex subunit 5		ANAPC5
ANGPT1	0.628641486167908	0	0	0	0	angiopoietin 1		ANGPT1
ANK2	0.621077418327332	0	0	0	0	ankyrin 2, brain		ANK2
ANXA2	-0.769489049911499	0	0	0	0	annexin A2		ANXA2
ANXA5	-0.646706759929657	0	0	0	0	annexin A5		ANXA5
ANXA6	-0.612652242183685	0	0	0	0	annexin A6		ANXA6
ANXA8	-0.878027260303497	0	0	0	0	annexin A8		ANXA8;ANXA8L1
AP1B1	-0.749548137187958	0	0	0	0	adaptor protein complex AP-1, beta 1 subunit		AP1B1
AP1M1	-0.824367105960846	0	0	0	0	adaptor-related protein complex AP-1, mu subunit 1		AP1M1
AP2A1	-0.69772469997406	0	0	0	0	adaptor-related protein complex 2, alpha 1 subunit		AP2A1
AP2M1	-0.461685061454773	0	0	0	0	adaptor-related protein complex 2, mu 1 subunit		AP2M1
AP2S1	-0.675274848937988	0	0	0	0	adaptor-related protein complex 2, sigma 1 subunit		AP2S1
APBB1	-0.70814311504364	0	0	0	0	amyloid beta (A4) precursor protein-binding, family B, member 1		APBB1
APOL9A	-4.56352996826172	0	0	0	0	apolipoprotein L 9a		APOL9A
APRT	-0.626276314258575	0	0	0	0	adenine phosphoribosyl transferase		APRT
AQP1	-0.486649304628372	0	0	0	0	aquaporin 1		AQP1
ARFGEF1	0.578771829605103	0	0	0	0	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)		ARFGEF1
ARGLU1	0.686560273170471	0	0	0	0	arginine and glutamate rich 1		ARGLU1
ARHGAP20	0.770138919353485	0	0	0	0	Rho GTPase activating protein 20		ARHGAP20
ARHGAP5	0.525980114936829	0	0	0	0	Rho GTPase activating protein 5		ARHGAP5
ARHGDIA	-0.988409996032715	0	0	0	0	Rho GDP dissociation inhibitor (GDI) alpha		ARHGDIA
ARHGDIB	-0.676087915897369	0	0	0	0	Rho, GDP dissociation inhibitor (GDI) beta		ARHGDIB
ARHGDIG	-1.21970331668854	0	0	0	0	Rho GDP dissociation inhibitor (GDI) gamma		ARHGDIG
ARHGEF1	-0.627419710159302	0	0	0	0	Rho guanine nucleotide exchange factor (GEF) 1		ARHGEF1
ARHGEF19	-0.639652013778687	0	0	0	0	Rho guanine nucleotide exchange factor (GEF) 19		ARHGEF19
ARID2	0.731729626655579	0	0	0	0	AT rich interactive domain 2 (ARID, RFX-like)		ARID2
ARL2	-1.00012314319611	0	0	0	0	ADP-ribosylation factor-like 2		ARL2
ARL5A	0.531038820743561	0	0	0	0	ADP-ribosylation factor-like 5A		ARL5A
ARL5B	0.623833477497101	0	0	0	0	ADP-ribosylation factor-like 5B		ARL5B
ARPC1B	-0.664063632488251	0	0	0	0	actin related protein 2/3 complex, subunit 1B		ARPC1B
ARPC3	-0.539361536502838	0	0	0	0	actin related protein 2/3 complex, subunit 3		ARPC3
ARPC4	-0.763937294483185	0	0	0	0	actin related protein 2/3 complex, subunit 4		ARPC4
ARRDC1	-1.03649640083313	0	0	0	0	arrestin domain containing 1		ARRDC1
ASB7	0.686688184738159	0	0	0	0	ankyrin repeat and SOCS box-containing 7		ASB7
ASCL4	-1.38263499736786	0	0	0	0	achaete-scute family bHLH transcription factor 4		ASCL4
ASNS	-0.585391879081726	0	0	0	0	asparagine synthetase		ASNS
ATAD5	0.822864055633545	0	0	0	0	ATPase family, AAA domain containing 5		ATAD5
ATF3	-1.71899235248566	0	0	0	0	activating transcription factor 3		ATF3
ATOX1	-0.866848111152649	0	0	0	0	antioxidant 1 copper chaperone		ATOX1
ATP13A3	0.492026060819626	0	0	0	0	ATPase type 13A3		ATP13A3
ATP1B2	-1.06819272041321	0	0	0	0	ATPase, Na+/K+ transporting, beta 2 polypeptide		ATP1B2
ATP5D	-0.595484018325806	0	0	0	0	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit		ATP5F1D
ATP6V0C	-0.450992494821548	0	0	0	0	ATPase, H+ transporting, lysosomal V0 subunit C		ATP6V0C
ATP6V0D1	-0.677893042564392	0	0	0	0	ATPase, H+ transporting, lysosomal V0 subunit D1		ATP6V0D1
ATP6V1A	0.648971378803253	0	0	0	0	ATPase, H+ transporting, lysosomal V1 subunit A		ATP6V1A
ATP8A1	0.851517021656036	0	0	0	0	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1		ATP8A1
ATP9A	-0.524898707866669	0	0	0	0	ATPase, class II, type 9A		ATP9A
ATRAID	-0.689166247844696	0	0	0	0	all-trans retinoic acid induced differentiation factor		ATRAID
AU041133	0.862976670265198	0	0	0	0	expressed sequence AU041133		AU041133
AURKA	-0.895936191082001	0	0	0	0	aurora kinase A		AURKA
B230216N24RIK	1.04519701004028	0	0	0	0	RIKEN cDNA B230216N24 gene		B230216N24RIK
BABAM1	-0.779746770858765	0	0	0	0	BRISC and BRCA1 A complex member 1		BABAM1
BAG6	-0.865582704544067	0	0	0	0	BCL2-associated athanogene 6		BAG6
BAIAP2	-0.825192451477051	0	0	0	0	brain-specific angiogenesis inhibitor 1-associated protein 2		BAIAP2
BANF1	-0.643109381198883	0	0	0	0	BAF nuclear assembly factor 1		BANF1
BATF	-0.936501502990723	0	0	0	0	basic leucine zipper transcription factor, ATF-like		BATF
BC065403	0.899419903755188	0	0	0	0	cDNA sequence BC065403		BC065403
BCAM	-0.884089231491089	0	0	0	0	basal cell adhesion molecule		BCAM
BCAP31	-0.754341125488281	0	0	0	0	B cell receptor associated protein 31		BCAP31
BCL2L12	-0.891076683998108	0	0	0	0	BCL2-like 12 (proline rich)		BCL2L12
BCL9L	-0.715461671352386	0	0	0	0	B cell CLL/lymphoma 9-like		BCL9L
BGN	-0.831806540489197	0	0	0	0	biglycan		BGN
BICDL1	-1.51116979122162	0	0	0	0	BICD family like cargo adaptor 1		BICDL1
BIN1	-0.792203485965729	0	0	0	0	bridging integrator 1		BIN1
BIRC2	0.716492295265198	0	0	0	0	baculoviral IAP repeat-containing 2		BIRC2
BMP1	-0.712441563606262	0	0	0	0	bone morphogenetic protein 1		BMP1
BMP5	0.616770029067993	0	0	0	0	bone morphogenetic protein 5		BMP5
BMYC	-0.994631767272949	0	0	0	0	brain expressed myelocytomatosis oncogene		BMYC
BORCS5	-1.05639481544495	0	0	0	0	BLOC-1 related complex subunit 5		BORCS5
BRIP1	0.815841734409332	0	0	0	0	BRCA1 interacting protein C-terminal helicase 1		BRIP1
BRWD3	0.685953676700592	0	0	0	0	bromodomain and WD repeat domain containing 3		BRWD3
BSCL2	-0.76793760061264	0	0	0	0	Berardinelli-Seip congenital lipodystrophy 2 (seipin)		BSCL2
BSG	-0.572539329528809	0	0	0	0	basigin		BSG
BTBD2	-0.957428216934204	0	0	0	0	BTB (POZ) domain containing 2		BTBD2
BTBD6	-1.07437372207642	0	0	0	0	BTB (POZ) domain containing 6		BTBD6
C1QB	-0.804103136062622	0	0	0	0	complement component 1, q subcomponent, beta polypeptide		C1QB
C1QC	-0.703386664390564	0	0	0	0	complement component 1, q subcomponent, C chain		C1QC
C1QTNF2	-0.921137392520905	0	0	0	0	C1q and tumor necrosis factor related protein 2		C1QTNF2
C2	1.64343774318695	0	0	0	0	complement component 2 (within H-2S)		C2
C2CD4A	-2.24916124343872	0	0	0	0	C2 calcium-dependent domain containing 4A		C2CD4A
CABIN1	-0.720136344432831	0	0	0	0	calcineurin binding protein 1		CABIN1
CACNA2D1	0.496748358011246	0	0	0	0	calcium channel, voltage-dependent, alpha2/delta subunit 1		CACNA2D1
CACNB1	-1.03514289855957	0	0	0	0	calcium channel, voltage-dependent, beta 1 subunit		CACNB1
CALCOCO1	-0.969538271427155	0	0	0	0	calcium binding and coiled coil domain 1		CALCOCO1
CAMK2D	0.595607221126556	0	0	0	0	calcium/calmodulin-dependent protein kinase II, delta		CAMK2D
CAPG	-1.15157437324524	0	0	0	0	capping protein (actin filament), gelsolin-like		CAPG
CAPN7	0.567260146141052	0	0	0	0	calpain 7		CAPN7
CAPNS1	-0.745865166187286	0	0	0	0	calpain, small subunit 1		CAPNS1
CAPZB	-0.867540299892426	0	0	0	0	capping protein (actin filament) muscle Z-line, beta		CAPZB
CARD19	-1.02908778190613	0	0	0	0	caspase recruitment domain family, member 19		CARD19
CARM1	-0.664533793926239	0	0	0	0	coactivator-associated arginine methyltransferase 1		CARM1
CAVIN2	0.553119003772736	0	0	0	0	caveolae associated 2		CAVIN2
CAVIN3	-0.667069137096405	0	0	0	0	caveolae associated 3		CAVIN3
CCAR1	0.576564729213715	0	0	0	0	cell division cycle and apoptosis regulator 1		CCAR1
CCDC124	-1.06082880496979	0	0	0	0	coiled-coil domain containing 124		CCDC124
CCDC136	-1.23528814315796	0	0	0	0	coiled-coil domain containing 136		CCDC136
CCDC24	-1.87347018718719	0	0	0	0	coiled-coil domain containing 24		CCDC24
CCDC71	-0.690933227539063	0	0	0	0	coiled-coil domain containing 71		CCDC71
CCDC82	0.744455635547638	0	0	0	0	coiled-coil domain containing 82		CCDC82
CCDC85B	-0.795147240161896	0	0	0	0	coiled-coil domain containing 85B		CCDC85B
CCDC97	-0.896341502666473	0	0	0	0	coiled-coil domain containing 97		CCDC97
CCL21A	-1.11505627632141	0	0	0	0	chemokine (C-C motif) ligand 21A (serine)		CCL21
CCL21D	-1.11965501308441	0	0	0	0	chemokine (C-C motif) ligand 21D		CCL21
CCNG1	0.545441627502441	0	0	0	0	cyclin G1		CCNG1
CD200R3	1.43203902244568	0	0	0	0	CD200 receptor 3		CD200R3
CD2AP	0.573639333248138	0	0	0	0	CD2-associated protein		CD2AP
CD300LD	1.67591619491577	0	0	0	0	CD300 molecule like family member d		CD300LD
CD36	0.602246463298798	0	0	0	0	CD36 molecule		CD36
CD55	0.616715610027313	0	0	0	0	CD55 molecule, decay accelerating factor for complement		CD55
CD68	-1.35895180702209	0	0	0	0	CD68 antigen		CD68
CDC14B	0.689776360988617	0	0	0	0	CDC14 cell division cycle 14B		CDC14B
CDC27	0.541173696517944	0	0	0	0	cell division cycle 27		CDC27
CDC37	-0.734994947910309	0	0	0	0	cell division cycle 37		CDC37
CDC42EP1	-0.62314110994339	0	0	0	0	CDC42 effector protein (Rho GTPase binding) 1		CDC42EP1
CDC42EP5	-0.958590269088745	0	0	0	0	CDC42 effector protein (Rho GTPase binding) 5		CDC42EP5
CDC7	0.958906233310699	0	0	0	0	cell division cycle 7 (S. cerevisiae)		CDC7
CDK2AP2	-0.958421885967255	0	0	0	0	CDK2-associated protein 2		CDK2AP2
CDR2L	-0.526512086391449	0	0	0	0	cerebellar degeneration-related protein 2-like		CDR2L
CEBPB	-0.803833365440369	0	0	0	0	CCAAT/enhancer binding protein (C/EBP), beta		CEBPB
CELF2	0.648644745349884	0	0	0	0	CUGBP, Elav-like family member 2		CELF2
CENPK	0.615525484085083	0	0	0	0	centromere protein K		CENPK
CENPM	-0.896691739559174	0	0	0	0	centromere protein M		CENPM
