nct,cond,title,ivnames,u,outcome,cat,disp,growthdx,growthdrug,restore,arm,av,an,ref,rv,rn,diff,se,z,p
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Upper body length,Standard Deviation,True,True,False,Cohort 1: Vosoritide,3.54,19,Cohort 1: Placebo,3.04,16,0.5,0.5629,0.888,0.37438
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Upper body length,Standard Deviation,True,True,False,Cohort 2: Vosoritide,5.2,12,Cohort 1: Placebo,3.04,16,2.16,0.5761,3.749,0.00018
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Upper body length,Standard Deviation,True,True,False,Cohort 3: Vosoritide,6.75,11,Cohort 1: Placebo,3.04,16,3.71,0.46,8.065,0.0
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Head Circumference,Standard Deviation,True,True,False,Cohort 1: Vosoritide,0.74,19,Cohort 1: Placebo,0.68,16,0.06,0.1997,0.301,0.76378
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Head Circumference,Standard Deviation,True,True,False,Cohort 2: Vosoritide,3.1,12,Cohort 1: Placebo,0.68,16,2.42,0.4499,5.379,0.0
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Head Circumference,Standard Deviation,True,True,False,Cohort 3: Vosoritide,6.29,11,Cohort 1: Placebo,0.68,16,5.61,0.2947,19.034,0.0
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Arm Span,Standard Deviation,True,True,False,Cohort 1: Vosoritide,5.82,19,Cohort 1: Placebo,4.86,16,0.96,0.974,0.986,0.32432
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Arm Span,Standard Deviation,True,True,False,Cohort 2: Vosoritide,7.22,12,Cohort 1: Placebo,4.86,16,2.36,0.6502,3.63,0.00028
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Arm Span,Standard Deviation,True,True,False,Cohort 3: Vosoritide,8.99,11,Cohort 1: Placebo,4.86,16,4.13,1.5218,2.714,0.00665
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Upper Arm Length,Standard Deviation,True,True,False,Cohort 1: Vosoritide,0.77,19,Cohort 1: Placebo,1.02,16,-0.25,0.3582,-0.698,0.48523
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Upper Arm Length,Standard Deviation,True,True,False,Cohort 2: Vosoritide,1.44,12,Cohort 1: Placebo,1.02,16,0.42,0.4605,0.912,0.36179
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Upper Arm Length,Standard Deviation,True,True,False,Cohort 3: Vosoritide,1.44,11,Cohort 1: Placebo,1.02,16,0.42,0.4905,0.856,0.39187
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Lower Arm (Forearm) Length,Standard Deviation,True,True,False,Cohort 1: Vosoritide,0.79,19,Cohort 1: Placebo,0.49,16,0.3,0.3166,0.948,0.34334
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Lower Arm (Forearm) Length,Standard Deviation,True,True,False,Cohort 2: Vosoritide,1.57,12,Cohort 1: Placebo,0.49,16,1.08,0.371,2.911,0.0036
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Lower Arm (Forearm) Length,Standard Deviation,True,True,False,Cohort 3: Vosoritide,1.49,11,Cohort 1: Placebo,0.49,16,1.0,0.3381,2.957,0.0031
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Lower Body Length,Standard Deviation,True,True,False,Cohort 1: Vosoritide,2.89,19,Cohort 1: Placebo,2.41,16,0.48,0.5619,0.854,0.39293
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Lower Body Length,Standard Deviation,True,True,False,Cohort 2: Vosoritide,3.79,12,Cohort 1: Placebo,2.41,16,1.38,0.5568,2.478,0.0132
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Lower Body Length,Standard Deviation,True,True,False,Cohort 3: Vosoritide,4.41,11,Cohort 1: Placebo,2.41,16,2.0,0.5657,3.535,0.00041
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Upper Leg Length (Thigh),Standard Deviation,True,True,False,Cohort 1: Vosoritide,1.55,19,Cohort 1: Placebo,0.82,16,0.73,0.551,1.325,0.18521
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Upper Leg Length (Thigh),Standard Deviation,True,True,False,Cohort 2: Vosoritide,1.1,12,Cohort 1: Placebo,0.82,16,0.28,0.5995,0.467,0.64048
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Upper Leg Length (Thigh),Standard Deviation,True,True,False,Cohort 3: Vosoritide,1.93,11,Cohort 1: Placebo,0.82,16,1.11,0.6625,1.675,0.09384
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Knee to Heel Length,Standard Deviation,True,True,False,Cohort 1: Vosoritide,2.21,19,Cohort 1: Placebo,1.52,16,0.69,0.2444,2.823,0.00475
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Knee to Heel Length,Standard Deviation,True,True,False,Cohort 2: Vosoritide,2.29,12,Cohort 1: Placebo,1.52,16,0.77,0.5832,1.32,0.18673
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Knee to Heel Length,Standard Deviation,True,True,False,Cohort 3: Vosoritide,3.12,11,Cohort 1: Placebo,1.52,16,1.6,0.319,5.015,0.0
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Tibial Length,Standard Deviation,True,True,False,Cohort 1: Vosoritide,1.16,19,Cohort 1: Placebo,0.85,16,0.31,0.3545,0.874,0.38188
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Tibial Length,Standard Deviation,True,True,False,Cohort 2: Vosoritide,1.99,12,Cohort 1: Placebo,0.85,16,1.14,0.2883,3.955,8e-05
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Y,BMN 111 ; Placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span,",Tibial Length,Standard Deviation,True,True,False,Cohort 3: Vosoritide,1.39,11,Cohort 1: Placebo,0.85,16,0.54,0.2892,1.867,0.0619
NCT01786902,Idiopathic Short Stature,Efficacy and Safety of DA-3002 in Children With Idiopathic Short Stature,DA-3002,cm/yr,Annualized Height Velocity(cm/Year) After 26 Weeks,,Standard Deviation,True,False,False,DA-3002 Treatment Group,10.68,36,Non-treatment Control Group,5.72,32,4.96,0.4451,11.145,0.0
NCT02915705,X-Linked Hypophosphatemia,Efficacy and Safety of Burosumab Versus Oral Phosphate and Active Vitamin D Trea,burosumab ; Oral Phosphate Supplement ; active vitamin D,Z,Change From Baseline in Height-For-Age Z-Scores to Week 40,,Standard Error,False,False,True,Burosumab,0.16,28,Active Control,0.03,32,0.13,0.0605,2.147,0.03176
NCT02915705,X-Linked Hypophosphatemia,Efficacy and Safety of Burosumab Versus Oral Phosphate and Active Vitamin D Trea,burosumab ; Oral Phosphate Supplement ; active vitamin D,Z,Change From Baseline in Height-For-Age Z-Scores to Week 64,,Standard Error,False,False,True,Burosumab,0.17,28,Active Control,0.02,32,0.15,0.0747,2.008,0.04466
NCT02915705,X-Linked Hypophosphatemia,Efficacy and Safety of Burosumab Versus Oral Phosphate and Active Vitamin D Trea,burosumab ; Oral Phosphate Supplement ; active vitamin D,Z,Change in Growth Velocity Z Score From Baseline to Week 40,,Standard Error,False,False,True,Burosumab,1.76,22,Active Control,0.73,22,1.03,0.478,2.155,0.03118
NCT02915705,X-Linked Hypophosphatemia,Efficacy and Safety of Burosumab Versus Oral Phosphate and Active Vitamin D Trea,burosumab ; Oral Phosphate Supplement ; active vitamin D,Z,Change in Growth Velocity Z Score From Baseline to Week 64,,Standard Error,False,False,True,Burosumab,1.53,22,Active Control,0.41,22,1.12,0.3741,2.994,0.00275
NCT00625872,"Growth Hormone Therapy ; Infant, Small for Gestational Age",Neuromuscular Changes In Small For Gestational Age Children During Somatropin Th,Somatropin ; Somatropin,cm/yr,Mean Growth Velocity at Month 6,,Standard Deviation,True,True,False,Somatropin,8.2,11,Control Arm,4.6,11,3.6,0.726,4.958,0.0
NCT00625872,"Growth Hormone Therapy ; Infant, Small for Gestational Age",Neuromuscular Changes In Small For Gestational Age Children During Somatropin Th,Somatropin ; Somatropin,cm/yr,Mean Growth Velocity-Standard Deviation Score (SDS) at Month 6,,Standard Deviation,True,True,False,Somatropin,3.4,11,Control Arm,-1.1,11,4.5,0.9,5.0,0.0
NCT00625872,"Growth Hormone Therapy ; Infant, Small for Gestational Age",Neuromuscular Changes In Small For Gestational Age Children During Somatropin Th,Somatropin ; Somatropin,cm,Change From Baseline in Height-Standard Deviation Score (SDS) at Month 6,,Standard Error,True,True,False,Somatropin,0.33,11,Control Arm,-0.22,11,0.55,0.3265,1.685,0.09208
NCT02509936,Malnutrition ; Developmental Disabilities,Promoting Physical Growth and Positive Development in Severely Stunted Guatemala,Home-based nutrition education ; Standard-of-care nutrition support,Z,Change in Height/Length for Age Z Score,,Standard Deviation,False,False,True,Home-based Education,0.05,145,Standard of Care Arm,-0.02,151,0.07,0.0541,1.293,0.19595
NCT04085523,Achondroplasia,"A Dose Escalation Trial Evaluating Safety, Efficacy, and Pharmacokinetics of Tra",TransCon CNP ; Placebo for TransCon CNP,cm/yr,Annualized Height Velocity (cm/Year) After 52 Weeks of Double-blind Treatment,,95% Confidence Interval,True,False,False,TransCon CNP 6 mcg,4.09,10,Placebo,4.35,15,-0.26,,,
NCT04085523,Achondroplasia,"A Dose Escalation Trial Evaluating Safety, Efficacy, and Pharmacokinetics of Tra",TransCon CNP ; Placebo for TransCon CNP,cm/yr,Annualized Height Velocity (cm/Year) After 52 Weeks of Double-blind Treatment,,95% Confidence Interval,True,False,False,TransCon CNP 20 mcg,4.52,11,Placebo,4.35,15,0.17,,,
NCT04085523,Achondroplasia,"A Dose Escalation Trial Evaluating Safety, Efficacy, and Pharmacokinetics of Tra",TransCon CNP ; Placebo for TransCon CNP,cm/yr,Annualized Height Velocity (cm/Year) After 52 Weeks of Double-blind Treatment,,95% Confidence Interval,True,False,False,TransCon CNP 50 mcg,5.16,10,Placebo,4.35,15,0.81,,,
NCT04085523,Achondroplasia,"A Dose Escalation Trial Evaluating Safety, Efficacy, and Pharmacokinetics of Tra",TransCon CNP ; Placebo for TransCon CNP,cm/yr,Annualized Height Velocity (cm/Year) After 52 Weeks of Double-blind Treatment,,95% Confidence Interval,True,False,False,TransCon CNP 100 mcg,5.42,11,Placebo,4.35,15,1.07,,,
NCT05598320,Achondroplasia,A Clinical Trial to Evaluate Efficacy and Safety of TransCon CNP Compared With P,Navepegritide (TransCon CNP) ; Placebo for Navepegritide (TransCon CNP),Z,Change From Baseline in Height Z-score (ACH-specific) at Week 52,,95% Confidence Interval,True,True,False,Navepegritide,0.3,57,Placebo for Navepegritide,0.01,27,0.29,,,
NCT05598320,Achondroplasia,A Clinical Trial to Evaluate Efficacy and Safety of TransCon CNP Compared With P,Navepegritide (TransCon CNP) ; Placebo for Navepegritide (TransCon CNP),Z,Change From Baseline in Height Z-score (CDC-Based) at Week 52,,95% Confidence Interval,True,True,False,Navepegritide,0.15,57,Placebo for Navepegritide,-0.15,27,0.3,,,
NCT01470469,"Generalized Anxiety Disorder (GAD) ; Anxiety, Separation ; P","SPD503 in Subjects Aged 6-17 Years With Generalized Anxiety Disorder (GAD), Sepa",SPD503 (extended-release Guanfacine hydrochloride) ; Placebo,cm,Change From Baseline in Height at up to 12 Weeks,,Standard Deviation,False,False,False,SPD503,1.0,59,PLACEBO,0.5,19,0.5,0.3129,1.598,0.11003
NCT00174460,"Growth Hormone Therapy ; Infant, Very Low Birth Weight",Somatropin Therapy In Children Born Preterm But Appropriate For Gestational Age,Somatropin ; Control Arm,cm,Change in Height Standard Deviation Score (SDS) After 1 Year,,Standard Error,False,True,True,Somatropin,1.099,18,Control Arm,0.108,15,0.991,0.106,9.352,0.0
NCT00174460,"Growth Hormone Therapy ; Infant, Very Low Birth Weight",Somatropin Therapy In Children Born Preterm But Appropriate For Gestational Age,Somatropin ; Control Arm,cm,Change From Baseline in Height After 1 Year and After 2 Years,Month 12,Standard Error,False,True,True,Somatropin,10.467,18,Control Arm,5.927,15,4.54,0.3621,12.536,0.0
NCT00174460,"Growth Hormone Therapy ; Infant, Very Low Birth Weight",Somatropin Therapy In Children Born Preterm But Appropriate For Gestational Age,Somatropin ; Control Arm,cm,Change From Baseline in Height After 1 Year and After 2 Years,Month 24,Standard Error,False,True,True,Somatropin,18.908,18,Control Arm,14.844,15,4.064,0.9667,4.204,3e-05
NCT00174460,"Growth Hormone Therapy ; Infant, Very Low Birth Weight",Somatropin Therapy In Children Born Preterm But Appropriate For Gestational Age,Somatropin ; Control Arm,cm,Change From Baseline in Height SDS After 2 Years,,Standard Error,False,True,True,Somatropin,1.71,18,Control Arm,0.991,15,0.719,0.1596,4.506,1e-05
NCT00627523,"Infant, Small for Gestational Age",Genotropin Treatment In Very Young Children Born Small For Gestational Age,"Genotropin (PN-180,307) Somatropin ; Control-no treatment",Z,Change From Baseline in Height Standard Deviation Score (SDS) at Month 24.,,Standard Error,True,True,False,Genotropin®,1.63,21,Control,0.43,21,1.2,0.1838,6.527,0.0
NCT00627523,"Infant, Small for Gestational Age",Genotropin Treatment In Very Young Children Born Small For Gestational Age,"Genotropin (PN-180,307) Somatropin ; Control-no treatment",Z,Change From Baseline in Growth Velocity SDS at Month 24.,,Standard Error,True,True,False,Genotropin®,0.74,21,Control,-0.03,21,0.77,0.8061,0.955,0.33947
NCT00627523,"Infant, Small for Gestational Age",Genotropin Treatment In Very Young Children Born Small For Gestational Age,"Genotropin (PN-180,307) Somatropin ; Control-no treatment",Z,Change From Baseline in Height SDS at Month 12.,,Standard Error,True,True,False,Genotropin®,1.03,21,Control,0.14,21,0.89,0.1697,5.244,0.0
NCT00627523,"Infant, Small for Gestational Age",Genotropin Treatment In Very Young Children Born Small For Gestational Age,"Genotropin (PN-180,307) Somatropin ; Control-no treatment",Z,Change From Baseline in Growth Velocity SDS at Month 12.,,Standard Error,True,True,False,Genotropin®,1.65,21,Control,-1.59,21,3.24,0.792,4.091,4e-05
NCT04175600,"Hypertension, Pulmonary",A Study of Selexipag as Add-On Treatment to Standard of Care in Children With Pu,Selexipag ; Placebo ; Standard of Care (SOC): Endothelin receptor antagonist ; S,cm,Double-blind Period: Change From Baseline in Growth Parameter: Height,Week 24,Standard Error,False,False,False,DB Period: Selexipag,1.1,59,DB Period: Placebo,1.9,64,-0.8,0.7284,-1.098,0.27204
NCT04175600,"Hypertension, Pulmonary",A Study of Selexipag as Add-On Treatment to Standard of Care in Children With Pu,Selexipag ; Placebo ; Standard of Care (SOC): Endothelin receptor antagonist ; S,cm,Double-blind Period: Change From Baseline in Growth Parameter: Height,Week 48,Standard Error,False,False,False,DB Period: Selexipag,2.8,59,DB Period: Placebo,3.8,64,-1.0,0.7355,-1.36,0.17397
NCT04175600,"Hypertension, Pulmonary",A Study of Selexipag as Add-On Treatment to Standard of Care in Children With Pu,Selexipag ; Placebo ; Standard of Care (SOC): Endothelin receptor antagonist ; S,cm,Double-blind Period: Change From Baseline in Growth Parameter: Height,Week 72,Standard Error,False,False,False,DB Period: Selexipag,4.4,59,DB Period: Placebo,5.8,64,-1.4,0.7497,-1.867,0.06183
NCT04175600,"Hypertension, Pulmonary",A Study of Selexipag as Add-On Treatment to Standard of Care in Children With Pu,Selexipag ; Placebo ; Standard of Care (SOC): Endothelin receptor antagonist ; S,cm,Double-blind Period: Change From Baseline in Growth Parameter: Height,Week 96,Standard Error,False,False,False,DB Period: Selexipag,5.6,59,DB Period: Placebo,7.3,64,-1.7,0.7852,-2.165,0.03038
NCT03260205,Attention Deficit Hyperactivity Disorder (ADHD),Safety and Efficacy Study in Preschool Children Aged 4-5 Years With Attention-de,Placebo ; SPD489 (Lisdexamfetamine dimesylate) ; SPD489,cm,Change From Baseline in Height at Week 6,,Standard Deviation,False,False,False,SPD489 5 mg,0.7,34,Placebo,0.7,41,0.0,0.3192,0.0,1.0
NCT03260205,Attention Deficit Hyperactivity Disorder (ADHD),Safety and Efficacy Study in Preschool Children Aged 4-5 Years With Attention-de,Placebo ; SPD489 (Lisdexamfetamine dimesylate) ; SPD489,cm,Change From Baseline in Height at Week 6,,Standard Deviation,False,False,False,SPD489 10 mg,0.7,32,Placebo,0.7,41,0.0,0.2686,0.0,1.0
NCT03260205,Attention Deficit Hyperactivity Disorder (ADHD),Safety and Efficacy Study in Preschool Children Aged 4-5 Years With Attention-de,Placebo ; SPD489 (Lisdexamfetamine dimesylate) ; SPD489,cm,Change From Baseline in Height at Week 6,,Standard Deviation,False,False,False,SPD489 20 mg,1.0,33,Placebo,0.7,41,0.3,0.2935,1.022,0.3067
NCT03260205,Attention Deficit Hyperactivity Disorder (ADHD),Safety and Efficacy Study in Preschool Children Aged 4-5 Years With Attention-de,Placebo ; SPD489 (Lisdexamfetamine dimesylate) ; SPD489,cm,Change From Baseline in Height at Week 6,,Standard Deviation,False,False,False,SPD489 30 mg,0.5,32,Placebo,0.7,41,-0.2,0.2841,-0.704,0.48144
NCT02514473,Cystic Fibrosis,A Study to Evaluate the Efficacy and Safety of Lumacaftor in Combination With Iv,VX-809 ; Placebo ; VX-770,cm,Absolute Change From Baseline in Height at Week 24,,Standard Error,False,False,True,LUM/IVA,2.9,98,Placebo,2.6,97,0.3,0.1414,2.121,0.03389
NCT02514473,Cystic Fibrosis,A Study to Evaluate the Efficacy and Safety of Lumacaftor in Combination With Iv,VX-809 ; Placebo ; VX-770,Z,Absolute Change From Baseline in Height-for-age Z-score at Week 24,,Standard Error,False,False,True,LUM/IVA,0.03,98,Placebo,0.0,97,0.03,0.0283,1.061,0.28884
NCT02527200,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Paediatric Subjects With Prader-W,liraglutide ; placebo,cm/yr,Height Velocity at Week 16,,Standard Deviation,True,False,True,Part A: Liraglutide,2.113,18,Part A+B: Placebo,4.258,19,-2.145,1.2206,-1.757,0.07886
NCT02527200,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Paediatric Subjects With Prader-W,liraglutide ; placebo,cm/yr,Height Velocity at Week 16,,Standard Deviation,True,False,True,Part B: Liraglutide,4.19,16,Part A+B: Placebo,4.258,19,-0.068,1.177,-0.058,0.95393
NCT02527200,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Paediatric Subjects With Prader-W,liraglutide ; placebo,cm/yr,Height Velocity at Week 16,,Standard Deviation,True,False,True,Part A+B: Liraglutide,3.09,34,Part A+B: Placebo,4.258,19,-1.168,1.1084,-1.054,0.292
NCT02527200,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Paediatric Subjects With Prader-W,liraglutide ; placebo,cm/yr,Height Velocity at Week 52,,Standard Deviation,True,False,True,Part A: Liraglutide,1.564,17,Part A+B: Placebo,3.173,17,-1.609,0.6744,-2.386,0.01704
NCT02527200,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Paediatric Subjects With Prader-W,liraglutide ; placebo,cm/yr,Height Velocity at Week 52,,Standard Deviation,True,False,True,Part B: Liraglutide,4.752,14,Part A+B: Placebo,3.173,17,1.579,0.8481,1.862,0.06264
NCT02527200,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Paediatric Subjects With Prader-W,liraglutide ; placebo,cm/yr,Height Velocity at Week 52,,Standard Deviation,True,False,True,Part A+B: Liraglutide,3.004,31,Part A+B: Placebo,3.173,17,-0.169,0.7355,-0.23,0.81826
NCT01624194,Autism,Intranasal Oxytocin Treatment for Social Deficits in Children With Autism,Oxytocin nasal spray ; Placebo,cm,Change From Baseline in Height.,Week 4,95% Confidence Interval,False,False,False,Oxytocin Nasal Spray,134.0,14,Placebo Nasal Spray,129.0,17,5.0,,,
NCT02075047,Bipolar Disorder,Efficacy and Safety Trial of Flexible Doses of Oral Ziprasidone in Children and ,placebo oral capsules ; ziprasidone oral capsules,cm,Change From Baseline in Height and Waist Circumference at Week 4 and Early Termination Visit,"Height, Change at Week 4",Standard Deviation,False,False,False,Ziprasidone,0.4,86,Placebo,0.7,85,-0.3,0.2026,-1.481,0.13866
NCT02075047,Bipolar Disorder,Efficacy and Safety Trial of Flexible Doses of Oral Ziprasidone in Children and ,placebo oral capsules ; ziprasidone oral capsules,cm,Change From Baseline in Height and Waist Circumference at Week 4 and Early Termination Visit,"Height, Change at Early Termination",Standard Deviation,False,False,False,Ziprasidone,0.2,86,Placebo,0.5,85,-0.3,0.0983,-3.052,0.00227
NCT02075047,Bipolar Disorder,Efficacy and Safety Trial of Flexible Doses of Oral Ziprasidone in Children and ,placebo oral capsules ; ziprasidone oral capsules,cm,Change From Baseline in Height and Waist Circumference at Week 4 and Early Termination Visit,"Waist Circumference, Change at Week 4",Standard Deviation,False,False,False,Ziprasidone,-0.1,86,Placebo,0.3,85,-0.4,0.4643,-0.862,0.38892
NCT02075047,Bipolar Disorder,Efficacy and Safety Trial of Flexible Doses of Oral Ziprasidone in Children and ,placebo oral capsules ; ziprasidone oral capsules,cm,Change From Baseline in Height and Waist Circumference at Week 4 and Early Termination Visit,"Waist Circumference, Change at Early Ter",Standard Deviation,False,False,False,Ziprasidone,0.4,86,Placebo,1.0,85,-0.6,0.4482,-1.339,0.18067
NCT00570492,"Rhinitis, Allergic, Perennial",Phase 4 Fluticasone Furoate Nasal Spray (VERAMYST) Long Term Pediatric Growth St,Fluticasone furoate nasal spray ; Placebo nasal spray,cm/yr,Change From Baseline in the Growth Velocity of Pre-pubescent Pediatric Participants to the End ,,Standard Error,False,False,True,FFNS 110 mcg,5.19,217,Placebo,5.46,218,-0.27,0.1414,-1.909,0.05624
NCT01485614,Diabetes Mellitus ; Type 2 Diabetes,Study to Assess Safety & Efficacy of Sitagliptin as Initial Oral Therapy for Tre,Sitagliptin ; Metformin ; Placebo to sitagliptin ; Placebo to metformin ; Glycem,cm/yr,Growth Velocity at Week 20 - Females,,Standard Deviation,False,False,False,Sitagliptin,3.2,46,Placebo/Metformin,1.9,53,1.3,1.2646,1.028,0.30396
NCT01485614,Diabetes Mellitus ; Type 2 Diabetes,Study to Assess Safety & Efficacy of Sitagliptin as Initial Oral Therapy for Tre,Sitagliptin ; Metformin ; Placebo to sitagliptin ; Placebo to metformin ; Glycem,cm/yr,Growth Velocity at Week 54 - Females,,Standard Deviation,False,False,False,Sitagliptin,2.1,37,Placebo/Metformin,1.2,48,0.9,0.6614,1.361,0.17362
NCT01485614,Diabetes Mellitus ; Type 2 Diabetes,Study to Assess Safety & Efficacy of Sitagliptin as Initial Oral Therapy for Tre,Sitagliptin ; Metformin ; Placebo to sitagliptin ; Placebo to metformin ; Glycem,cm/yr,Growth Velocity at Week 20 - Males,,Standard Deviation,False,False,False,Sitagliptin,2.6,38,Placebo/Metformin,3.6,29,-1.0,0.7382,-1.355,0.17553
NCT01485614,Diabetes Mellitus ; Type 2 Diabetes,Study to Assess Safety & Efficacy of Sitagliptin as Initial Oral Therapy for Tre,Sitagliptin ; Metformin ; Placebo to sitagliptin ; Placebo to metformin ; Glycem,cm/yr,Growth Velocity at Week 54 - Males,,Standard Deviation,False,False,False,Sitagliptin,2.5,35,Placebo/Metformin,2.8,25,-0.3,0.5958,-0.504,0.61459
