nct,cond,title,ivnames,u,outcome,cat,disp,growthdx,growthdrug,restore,arm,av,an,ref,rv,rn,diff,se,z,p
NCT05260021,"Type2 Diabetes ; Diabetes Mellitus ; Diabetes Mellitus, Type",A Study to Evaluate Tirzepatide (LY3298176) in Pediatric and Adolescent Particip,Tirzepatide Dose 1 ; Tirzepatide Dose 2 ; Placebo,Z,Change From Baseline in Height Standard Deviation Score (SDS),,Standard Error,False,False,False,10 mg Tirzepatide,-0.11,29,Placebo,-0.11,34,0.0,0.0377,0.0,1.0
NCT05260021,"Type2 Diabetes ; Diabetes Mellitus ; Diabetes Mellitus, Type",A Study to Evaluate Tirzepatide (LY3298176) in Pediatric and Adolescent Particip,Tirzepatide Dose 1 ; Tirzepatide Dose 2 ; Placebo,Z,Change From Baseline in Height Standard Deviation Score (SDS),,Standard Error,False,False,False,"Pooled Doses of Tirzepatide (5mg,10mg)",-0.1,58,Placebo,-0.11,34,0.01,0.0324,0.309,0.7573
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Dig,Kazu Gain Gold,cm,Change in Height (cm),Before intervention (T0),Standard Deviation,False,False,True,Specific Intervention Group,98.62,298,Control Group,98.34,299,0.28,0.6434,0.435,0.66341
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Dig,Kazu Gain Gold,cm,Change in Height (cm),After 1 month (T1),Standard Deviation,False,False,True,Specific Intervention Group,99.14,298,Control Group,98.88,299,0.26,0.6454,0.403,0.68707
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Dig,Kazu Gain Gold,cm,Change in Height (cm),After 2 months (T2),Standard Deviation,False,False,True,Specific Intervention Group,99.96,298,Control Group,99.68,299,0.28,0.6402,0.437,0.66183
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Dig,Kazu Gain Gold,cm,Change in Height (cm),After 3 months (T3),Standard Deviation,False,False,True,Specific Intervention Group,100.35,298,Control Group,99.95,299,0.4,0.6405,0.624,0.53231
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Dig,Kazu Gain Gold,cm,Change in Height (cm),Difference between T1 - T0,Standard Deviation,False,False,True,Specific Intervention Group,0.52,298,Control Group,0.54,299,-0.02,0.0577,-0.347,0.72896
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Dig,Kazu Gain Gold,cm,Change in Height (cm),Difference between T2 - T0,Standard Deviation,False,False,True,Specific Intervention Group,1.34,298,Control Group,1.32,299,0.02,0.0643,0.311,0.75582
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Dig,Kazu Gain Gold,cm,Change in Height (cm),Difference between T3 - T0,Standard Deviation,False,False,True,Specific Intervention Group,1.73,298,Control Group,1.61,299,0.12,0.0692,1.735,0.08276
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Dig,Kazu Gain Gold,Z,Change of Height for Age Z-score,Before intervention (T0),Standard Deviation,False,False,True,Specific Intervention Group,-1.24,298,Control Group,-1.31,299,0.07,0.0737,0.949,0.34253
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Dig,Kazu Gain Gold,Z,Change of Height for Age Z-score,After 1 month (T1),Standard Deviation,False,False,True,Specific Intervention Group,-1.32,298,Control Group,-1.38,299,0.06,0.0729,0.823,0.41067
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Dig,Kazu Gain Gold,Z,Change of Height for Age Z-score,After 2 months (T2),Standard Deviation,False,False,True,Specific Intervention Group,-1.24,298,Control Group,-1.3,299,0.06,0.0725,0.827,0.40817
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Dig,Kazu Gain Gold,Z,Change of Height for Age Z-score,After 3 months (T3),Standard Deviation,False,False,True,Specific Intervention Group,-1.27,298,Control Group,-1.36,299,0.09,0.0734,1.227,0.21988
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Dig,Kazu Gain Gold,Z,Change of Height for Age Z-score,Difference between T1 - T0,Standard Deviation,False,False,True,Specific Intervention Group,-0.07,298,Control Group,-0.07,299,0.0,0.0143,0.0,1.0
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Dig,Kazu Gain Gold,Z,Change of Height for Age Z-score,Difference between T2 - T0,Standard Deviation,False,False,True,Specific Intervention Group,0.0,298,Control Group,0.01,299,-0.01,0.0156,-0.643,0.52023
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Dig,Kazu Gain Gold,Z,Change of Height for Age Z-score,Difference between T3 - T0,Standard Deviation,False,False,True,Specific Intervention Group,-0.03,298,Control Group,-0.05,299,0.02,0.0168,1.191,0.23347
NCT01746862,Idiopathic Short Stature,A Phase 3 Study to Evaluate the Safety and Efficacy of Saizen® in Children With ,Saizen® ; Saizen®,cm/yr,Change From Baseline in Height Velocity at Month 6 Using Last Observation Carried Forward (LOCF,"Change at Month 6 (n=59,29)",Standard Deviation,True,False,False,Saizen Test Group,4.45,60,Saizen Control Group,1.01,30,3.44,0.6725,5.115,0.0
NCT01746862,Idiopathic Short Stature,A Phase 3 Study to Evaluate the Safety and Efficacy of Saizen® in Children With ,Saizen® ; Saizen®,cm/yr,Change From Baseline in Height Velocity at Month 12,,Standard Deviation,True,False,False,Saizen Test Group,3.77,52,Saizen Control Group,2.86,27,0.91,0.4845,1.878,0.06036
NCT01746862,Idiopathic Short Stature,A Phase 3 Study to Evaluate the Safety and Efficacy of Saizen® in Children With ,Saizen® ; Saizen®,cm,Change From Baseline in Height at Month 6 and 12,"Change at Month 6 (n=55, 27)",Standard Deviation,True,False,False,Saizen Test Group,5.41,60,Saizen Control Group,3.1,30,2.31,0.2038,11.333,0.0
NCT01746862,Idiopathic Short Stature,A Phase 3 Study to Evaluate the Safety and Efficacy of Saizen® in Children With ,Saizen® ; Saizen®,cm,Change From Baseline in Height at Month 6 and 12,"Change at Month 12 (n=52, 27)",Standard Deviation,True,False,False,Saizen Test Group,9.78,60,Saizen Control Group,8.24,30,1.54,0.32,4.812,0.0
NCT01911260,Short Stature,Weekly Zinc Chelate Supplementation on Children's Growth,Zinc amino acid chelate ; Placebo,Z,Change in Height-for-Age Z-score (HAZ) From End of Supplementation to End of Follow-up Period.,,Standard Deviation,True,False,False,Growth Deficit+Zinc Amino Acid Chelate,0.04,27,Normal Height + Placebo,0.02,30,0.02,0.0528,0.379,0.70479
NCT01911260,Short Stature,Weekly Zinc Chelate Supplementation on Children's Growth,Zinc amino acid chelate ; Placebo,Z,Change in Height-for-Age Z-score (HAZ) From End of Supplementation to End of Follow-up Period.,,Standard Deviation,True,False,False,Normal Height+Zinc Amino Acid Chelate,0.1,24,Normal Height + Placebo,0.02,30,0.08,0.0565,1.416,0.1567
NCT04085172,Attention Deficit Hyperactivity Disorder,A Study of TAK-503 in Children and Teenagers With Attention Deficit Hyperactivit,Guanfacine hydrochloride (TAK-503) ; Atomoxetine hydrochloride ; Placebo,cm,Parts A and B: Change From Baseline in Height,Change at Week 18,Standard Deviation,False,False,False,Double-Blinded Period (Part A): TAK-503,1.42,96,Double-Blinded Period (Part A): Pla,1.54,96,-0.12,0.236,-0.508,0.61118
NCT04085172,Attention Deficit Hyperactivity Disorder,A Study of TAK-503 in Children and Teenagers With Attention Deficit Hyperactivit,Guanfacine hydrochloride (TAK-503) ; Atomoxetine hydrochloride ; Placebo,cm,Parts A and B: Change From Baseline in Height,Change at Week 18,Standard Deviation,False,False,False,Double-Blinded Period (Part A): Atomoxetine,1.25,95,Double-Blinded Period (Part A): Pla,1.54,96,-0.29,0.2319,-1.251,0.21105
NCT04085172,Attention Deficit Hyperactivity Disorder,A Study of TAK-503 in Children and Teenagers With Attention Deficit Hyperactivit,Guanfacine hydrochloride (TAK-503) ; Atomoxetine hydrochloride ; Placebo,cm,Parts A and B: Change From Baseline in Height,Change at Week 49,Standard Deviation,False,False,False,Double-Blinded Period (Part A): TAK-503,2.63,96,Open-Label Period (Part B): Part A ,2.74,63,-0.11,0.425,-0.259,0.79579
NCT04085172,Attention Deficit Hyperactivity Disorder,A Study of TAK-503 in Children and Teenagers With Attention Deficit Hyperactivit,Guanfacine hydrochloride (TAK-503) ; Atomoxetine hydrochloride ; Placebo,cm,Parts A and B: Change From Baseline in Height,Change at Week 49,Standard Deviation,False,False,False,Double-Blinded Period (Part A): Atomoxetine,2.71,95,Open-Label Period (Part B): Part A ,2.74,63,-0.03,0.3855,-0.078,0.93797
NCT04085172,Attention Deficit Hyperactivity Disorder,A Study of TAK-503 in Children and Teenagers With Attention Deficit Hyperactivit,Guanfacine hydrochloride (TAK-503) ; Atomoxetine hydrochloride ; Placebo,cm,Parts A and B: Change From Baseline in Height,Change at Week 49,Standard Deviation,False,False,False,Open-Label Period (Part B): Part A (TAK-503) - Part B (,3.07,28,Open-Label Period (Part B): Part A ,2.74,63,0.33,0.6631,0.498,0.61874
NCT04085172,Attention Deficit Hyperactivity Disorder,A Study of TAK-503 in Children and Teenagers With Attention Deficit Hyperactivit,Guanfacine hydrochloride (TAK-503) ; Atomoxetine hydrochloride ; Placebo,cm,Parts A and B: Change From Baseline in Height,Change at Week 49,Standard Deviation,False,False,False,Open-Label Period (Part B): Part A (Atomoxetine) - Part,3.52,30,Open-Label Period (Part B): Part A ,2.74,63,0.78,0.6688,1.166,0.24353
NCT02918279,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Pubertal Adolescent Subjects With,Liraglutide ; Placebo,Z,Change in Height SDS,Change from week 0 to week 30,Standard Deviation,False,False,True,Liraglutide 3.0 mg,0.11,125,Placebo,0.13,126,-0.02,0.0221,-0.905,0.36544
