gene,probe_set,d1_RZ,d1_HZ,d1_RZ_as_pct_of_HZ,d2_RZ,d2_HZ,d2_RZ_as_pct_of_HZ
COL10A1,205941_s_at,433.1,72038.9,0.6,16539.1,46204.5,35.8
COL10A1,217428_s_at,116.5,18349.0,0.6,4387.9,29073.6,15.1
IBSP,207370_at,170.3,4143.8,4.1,11011.9,12921.2,85.2
IBSP,236028_at,13.7,70753.7,0.0,41147.7,36079.0,114.0
SPP1,209875_s_at,775.6,1840.3,42.1,34445.8,32889.8,104.7
MMP13,205959_at,150.0,254.2,59.0,12283.5,13700.4,89.7
ALPL,215783_s_at,210.5,5999.0,3.5,3435.6,6831.3,50.3
