gene	youth_z
CACNA1D	0.6343
MYOM1	0.6321
ERF	0.6320
UTRN	0.6298
CDC37	0.6293
ABCF3	0.6289
PRDM4	0.6286
MEA1	0.6255
SIAH2	0.6251
ADAMTSL4	0.6250
MBD1	0.6245
SREK1	0.6243
PGM3	0.6241
MED25	0.6226
ODF2L	0.6222
VPS52	0.6213
MED21	0.6206
MAP1A	0.6193
CLCN3	0.6182
MAP7D1	0.6175
SMAD1	0.6174
CCNT2	0.6173
APEX2	0.6170
ACTA2	0.6166
AGK	0.6156
SATB1	0.6153
STIM1	0.6152
SULF2	0.6141
MSMO1	0.6130
TRMT13	0.6124
PDZRN3	0.6106
SLC25A38	0.6101
PTPN21	0.6092
POLR3C	0.6090
ARHGEF19	0.6084
CDON	0.6065
UVRAG	0.6061
STK11IP	0.6057
PIGL	0.6056
SCLY	0.6050
TLCD1	0.6020
RNF34	0.6015
PDCD11	0.6000
INPP1	0.5994
SFMBT2	0.5967
PTPN23	0.5960
FOXP2	0.5955
PHACTR2	0.5951
ARHGEF1	0.5937
ORC2	0.5923
DDX39B	0.5894
DAZAP1	0.5884
DNAJB2	0.5882
CLCN6	0.5874
LONP1	0.5868
CDK5RAP2	0.5867
CAPN15	0.5857
EGLN2	0.5853
GPSM2	0.5846
SLC35D1	0.5842
IMPACT	0.5832
ROGDI	0.5832
GNAS	0.5820
SNX29	0.5815
PCGF2	0.5800
PDE8A	0.5795
TRABD	0.5776
STRBP	0.5762
TMEM242	0.5759
ANKZF1	0.5758
HGS	0.5752
SLC8A3	0.5744
TRIOBP	0.5742
ZFAT	0.5726
DNM2	0.5724
AHDC1	0.5714
EFNB2	0.5710
TUBGCP6	0.5704
PPP1R12B	0.5690
REXO1	0.5678
SUN1	0.5676
ATP2A2	0.5672
MICAL3	0.5666
MDGA1	0.5652
DENND6B	0.5648
TRIM44	0.5636
PINX1	0.5629
PHLPP2	0.5614
PRICKLE3	0.5609
SENP2	0.5595
ATG2A	0.5595
WIZ	0.5576
LTV1	0.5573
RPL18A	0.5571
KIF16B	0.5569
PKM	0.5569
PLCB4	0.5561
SAP30BP	0.5561
EFNA1	0.5556
WNK4	0.5551
GPATCH1	0.5551
ARSI	0.5544
PTPRF	0.5541
PER2	0.5525
TBRG4	0.5522
FAM162A	0.5487
CAPN6	0.5474
ZSWIM4	0.5471
USP49	0.5469
EHMT1	0.5447
KANK3	0.5436
ARFGEF2	0.5436
E4F1	0.5426
ZCCHC7	0.5422
HMGCR	0.5421
ALKBH3	0.5417
EIF5A2	0.5408
UBR2	0.5401
KDM4C	0.5383
TBC1D10A	0.5374
WDR47	0.5365
ATAD3A	0.5354
AFG3L2	0.5352
TMEM222	0.5351
APPL2	0.5343
MALL	0.5341
SPATA2	0.5334
CIT	0.5333
ZDHHC8	0.5330
NDN	0.5325
URB2	0.5323
RNF25	0.5321
AP5Z1	0.5320
DLGAP4	0.5317
ITGA1	0.5317
LIMK2	0.5314
TLK2	0.5312
TJAP1	0.5311
RSRC1	0.5309
RNF40	0.5290
USP19	0.5284
EFHD2	0.5281
SUGP1	0.5273
MTF2	0.5258
SNRNP70	0.5258
HSF1	0.5257
ARHGAP21	0.5251
ITGA6	0.5244
PPFIBP1	0.5243
ADK	0.5240
SREBF2	0.5238
DNAAF5	0.5238
PIM3	0.5222
RSPRY1	0.5215
UBE2E2	0.5214
PDE4B	0.5211
RHBDF1	0.5194
RTEL1	0.5192
BMP7	0.5182
USP20	0.5176
PRCC	0.5171
MIER2	0.5168
PUF60	0.5157
CAB39	0.5156
ABCC5	0.5149
STARD4	0.5146
PDE4DIP	0.5143
KDM3A	0.5138
IGHMBP2	0.5132
SDK2	0.5129
CSNK1G1	0.5127
KCTD18	0.5115
SAFB2	0.5114
PGK1	0.5096
KLHDC3	0.5094
MTMR3	0.5088
CDK17	0.5083
AMBRA1	0.5074
OSBPL5	0.5067
DGAT1	0.5063
FAM216A	0.5062
PLD2	0.5061
TUBB2A	0.5051
SNX30	0.5046
TENM4	0.5043
CDS1	0.5042
ITGA10	0.5039
VPS53	0.5039
TPCN1	0.5032
BCAR1	0.5030
INSIG1	0.5026
COL9A2	0.5025
DDX55	0.5021
ADRM1	0.5013
ERN1	0.5012
DOT1L	0.5010
PRPF19	0.5001
CTNNAL1	0.4997
ACVR1B	0.4995
ZFP40	0.4994
INTS7	0.4991
SCYL1	0.4989
GATAD2A	0.4988
DDI2	0.4986
CLCC1	0.4981
FOXP4	0.4974
KAT2A	0.4964
VAV2	0.4948
SDE2	0.4947
PDSS2	0.4942
TAB1	0.4940
DZIP1L	0.4924
IP6K2	0.4924
RGMA	0.4921
PTBP2	0.4921
TIAM1	0.4906
IWS1	0.4898
NPEPL1	0.4890
TNPO2	0.4889
MARK2	0.4889
TSPAN17	0.4889
STAT2	0.4884
DCLRE1C	0.4881
ZFP362	0.4880
TCERG1	0.4874
ARAF	0.4874
WDR70	0.4867
TMED1	0.4861
SRRM1	0.4856
PELO	0.4856
PNN	0.4835
