gene	youth_z
SDC4	0.2780
RBM33	0.2780
CACNA1E	0.2778
MPHOSPH8	0.2775
GFPT1	0.2774
LRP12	0.2773
HSP90AB1	0.2773
USP30	0.2772
RBM6	0.2772
TCOF1	0.2771
SAMM50	0.2769
SIAE	0.2768
PIP5K1A	0.2768
UNC5B	0.2767
MTMR12	0.2766
UBE2M	0.2766
MKRN2	0.2764
MYADM	0.2763
TUBGCP2	0.2761
CHMP7	0.2759
TLE3	0.2758
LTBP3	0.2754
KIF26B	0.2754
STOM	0.2749
XPO6	0.2749
HELZ	0.2746
CHUK	0.2746
UBAP2	0.2743
AKAP10	0.2738
CNOT2	0.2736
ANAPC5	0.2736
EIF4B	0.2733
THUMPD1	0.2730
LRRTM2	0.2727
USP24	0.2727
TERF1	0.2726
SOAT1	0.2725
WDR91	0.2724
NSFL1C	0.2723
GHR	0.2722
AAAS	0.2720
CCDC137	0.2719
UBE4B	0.2717
GRB10	0.2716
PHKB	0.2715
GSTZ1	0.2713
CCM2	0.2711
UBXN4	0.2709
ABHD5	0.2709
MON2	0.2705
PPP2R3A	0.2705
PRPS1L3	0.2705
CTR9	0.2705
VRK1	0.2704
ZFP282	0.2703
CLIP2	0.2700
GLYR1	0.2697
CSNK1D	0.2696
STX18	0.2693
STX16	0.2693
ETNK1	0.2684
POFUT2	0.2682
TRIM41	0.2679
BRD4	0.2674
ZFP532	0.2673
PSMD2	0.2673
EIF5A	0.2671
MAU2	0.2670
RNF14	0.2669
SLC38A2	0.2669
GOT1	0.2668
SPTLC1	0.2667
HDAC4	0.2666
DCAF5	0.2662
SNAI1	0.2660
CALM3	0.2655
UBQLN4	0.2655
SLC26A2	0.2654
SPSB3	0.2654
ARHGAP29	0.2653
HIVEP3	0.2651
MYO9A	0.2647
BTAF1	0.2647
ZFP395	0.2644
SPATS2L	0.2640
ACAA1A	0.2637
NAT10	0.2635
PXDN	0.2635
TEP1	0.2630
LRRC41	0.2621
ANKRD50	0.2621
MLLT11	0.2620
AKT2	0.2618
COQ9	0.2617
PSMD7	0.2607
MGRN1	0.2606
CDK9	0.2605
LAPTM4B	0.2604
SIGMAR1	0.2602
VPS13B	0.2601
SMAD5	0.2601
SLMAP	0.2599
QRICH1	0.2596
ARL6IP4	0.2596
DHX35	0.2594
PAK4	0.2593
PSPC1	0.2593
PPP1R12A	0.2591
MTCH2	0.2589
SMG7	0.2585
VEZT	0.2582
BCLAF1	0.2581
LAP3	0.2579
CDIP1	0.2577
MAGI1	0.2574
GON4L	0.2573
SRA1	0.2571
GDI1	0.2566
LPGAT1	0.2565
PPP5C	0.2564
VPS4A	0.2564
GOLGA5	0.2560
MUC1	0.2559
TMEM259	0.2553
PIBF1	0.2552
PTMS	0.2552
FERMT2	0.2551
SPTBN1	0.2551
SRP68	0.2551
LZTFL1	0.2550
TBK1	0.2548
NOC2L	0.2546
TNRC6A	0.2546
WTAP	0.2545
FAF1	0.2543
SOX5	0.2542
CPSF1	0.2542
SCAF8	0.2541
SLC43A2	0.2541
CLK3	0.2540
CDC123	0.2537
SAMD4B	0.2536
SF3B3	0.2536
SF3B4	0.2534
IDH3A	0.2534
PHF3	0.2534
NSF	0.2533
LDB1	0.2533
AREL1	0.2529
NEDD1	0.2528
UBE2G2	0.2528
INPP5K	0.2528
DNM1	0.2528
KLHL5	0.2525
CWF19L2	0.2525
PNISR	0.2524
UBE4A	0.2521
SLC25A25	0.2521
IPO4	0.2521
FLNB	0.2518
PI4KB	0.2516
CLASP2	0.2515
EMG1	0.2513
RALBP1	0.2509
MTMR4	0.2508
DDX23	0.2507
RRP1	0.2505
CPSF7	0.2502
PTH1R	0.2498
MDK	0.2491
DVL1	0.2490
FADS2	0.2490
ZBTB11	0.2488
QSOX2	0.2487
TEF	0.2479
LRRC17	0.2479
ZC3H11A	0.2478
CRIM1	0.2477
RPS15	0.2477
PAK1IP1	0.2475
HTRA2	0.2472
MIDN	0.2464
MAGI3	0.2463
TECPR1	0.2462
MBNL2	0.2459
PRRC2C	0.2456
SCUBE1	0.2456
RNF4	0.2456
POLR3F	0.2456
FBXW11	0.2455
USP21	0.2444
PIAS2	0.2442
TRIP12	0.2440
GPR153	0.2440
ACTR1B	0.2439
BCOR	0.2431
BAZ2B	0.2431
FBXO22	0.2429
EHD4	0.2426
RAE1	0.2420
TBC1D19	0.2418
HEATR6	0.2418
ASCC3	0.2416
TBC1D24	0.2415
ST3GAL4	0.2414
EHD3	0.2413
DHCR7	0.2412
MTOR	0.2412
SPG11	0.2410
KIF15	0.2409
RPL36	0.2409
CPNE8	0.2408
GGNBP2	0.2397
NDOR1	0.2396
DTX3	0.2395
ZFP410	0.2394
NRF1	0.2394
PHC1	0.2392
ARNT	0.2390
PDZD11	0.2388
SWAP70	0.2388
AKAP8	0.2385
GOLGA3	0.2384
ANKRD52	0.2383
AP3B1	0.2378
BCCIP	0.2376
PSME4	0.2375
IQCB1	0.2373
EDRF1	0.2372
WDR45B	0.2372
GTF3C2	0.2370
MPDZ	0.2368
FTO	0.2368
PKN3	0.2367
RIN3	0.2367
ADSL	0.2366
TTLL12	0.2365
RSRP1	0.2364
TSC2	0.2363
CASC3	0.2362
INO80D	0.2359
CHST11	0.2357
YWHAH	0.2356
MINK1	0.2356
DDX1	0.2351
ACBD5	0.2351
SMARCD3	0.2347
DNAJC14	0.2344
PI4K2B	0.2338
GALNT7	0.2337
VPS11	0.2333
MAPKAP1	0.2332
POLR3D	0.2328
VPS9D1	0.2327
TAF15	0.2323
ATP1B1	0.2323
ANKRD27	0.2322
DDX10	0.2322
THRAP3	0.2321
RBAK	0.2320
MAP1S	0.2317
GPR107	0.2316
USP14	0.2314
RANBP2	0.2313
TSPYL4	0.2311
BMP2	0.2311
FXR1	0.2308
MOSPD3	0.2308
MAST2	0.2304
UBE2F	0.2300
CAPN1	0.2300
MBTPS1	0.2300
TBCD	0.2298
TAOK2	0.2297
AHCTF1	0.2297
BANP	0.2293
EIF3A	0.2291
RABGEF1	0.2291
WDR43	0.2289
COPG2	0.2287
ZFP280D	0.2286
XPNPEP1	0.2285
FRAS1	0.2285
NR2C2	0.2285
MPHOSPH6	0.2285
SPAG5	0.2284
CRELD2	0.2279
CDC42EP3	0.2278
ERCC3	0.2277
TAF2	0.2275
SCMH1	0.2271
FNDC1	0.2268
S100A6	0.2268
RBM17	0.2268
YLPM1	0.2264
HIP1	0.2263
EP400	0.2262
ENC1	0.2261
HERC2	0.2260
SLC41A1	0.2258
TTC3	0.2257
TPT1	0.2253
FKBP11	0.2253
CYB5B	0.2252
DENND1A	0.2252
TARS2	0.2251
RAD52	0.2250
PIAS1	0.2248
RPL21	0.2248
STK25	0.2248
EIF4A3	0.2246
USP47	0.2246
EIF2B1	0.2244
LRRC59	0.2243
B4GALNT3	0.2242
KDM5B	0.2241
TSPAN14	0.2241
SLC4A1AP	0.2241
TADA3	0.2239
PRKAA1	0.2238
NMT2	0.2236
SART1	0.2235
OSBP	0.2234
L3MBTL2	0.2231
GPC4	0.2230
SHMT2	0.2230
DCTN2	0.2226
B4GALT5	0.2226
SEL1L	0.2225
COL9A1	0.2224
TOB1	0.2224
CDC42BPA	0.2223
EIF4ENIF1	0.2222
CGRRF1	0.2220
BAP1	0.2213
PPID	0.2211
GTF3C3	0.2210
GAK	0.2205
GMDS	0.2205
KLF7	0.2204
UBR1	0.2203
DCAF10	0.2203
ATXN2L	0.2201
EHMT2	0.2201
MYBBP1A	0.2197
CDIPT	0.2195
ZC3H15	0.2190
RFX3	0.2187
ELP5	0.2187
CSNK2A2	0.2187
EXOSC2	0.2186
RNGTT	0.2184
SBDS	0.2183
CEP290	0.2183
SFMBT1	0.2181
NAE1	0.2179
ULK2	0.2175
DYM	0.2172
AGO2	0.2172
EIF4E2	0.2169
ATP1A1	0.2169
PSMD4	0.2166
SF3B1	0.2163
MPHOSPH10	0.2160
ZFP317	0.2159
ZFP949	0.2155
SLC39A14	0.2155
KCNA6	0.2153
EIF4H	0.2150
PAF1	0.2148
PCMTD1	0.2143
SPHK2	0.2143
HMG20B	0.2142
MTUS1	0.2142
DAAM1	0.2141
TMEM87B	0.2141
OPA1	0.2138
HCFC2	0.2138
CREB3	0.2138
ING1	0.2138
CLUH	0.2135
SARDH	0.2133
BRCA1	0.2128
ORC3	0.2128
FOXJ3	0.2126
EIF3I	0.2126
DYNC1LI2	0.2125
RNF10	0.2123
POLR3B	0.2120
GLCCI1	0.2119
WDR1	0.2119
TAF5	0.2116
SBF2	0.2116
PPP1R13B	0.2116
HNRNPUL2	0.2114
HNRNPUL1	0.2114
PPP3CC	0.2112
TRAPPC10	0.2112
NCOA1	0.2111
FN3KRP	0.2108
RING1	0.2107
LRRC47	0.2105
G2E3	0.2105
VCL	0.2102
SRSF10	0.2101
NDUFA8	0.2101
TAF1	0.2100
MTRR	0.2099
FBXO11	0.2098
MDM2	0.2096
KMT2E	0.2092
RC3H2	0.2091
PSMD13	0.2089
TXNDC5	0.2088
KPNA1	0.2087
GCNT2	0.2086
PRC1	0.2085
GEMIN5	0.2085
SLC12A6	0.2084
DPF2	0.2084
ATF6B	0.2077
SLC9A5	0.2075
SNX24	0.2074
PSMD12	0.2071
SAMD8	0.2069
SYNRG	0.2069
RRN3	0.2068
LAMB2	0.2065
ITGB5	0.2064
SUPV3L1	0.2061
ABTB1	0.2060
GTF3C6	0.2059
IST1	0.2058
KDM5A	0.2057
UBP1	0.2055
STK40	0.2053
ZFP521	0.2053
SEC23IP	0.2052
RTF1	0.2050
SRRM2	0.2048
GTF2H2	0.2046
FRZB	0.2046
COG3	0.2044
DYRK1A	0.2041
KANSL3	0.2041
DNAH1	0.2038
TOR1AIP1	0.2036
DHX36	0.2035
HMG20A	0.2033
ABCF1	0.2032
RABEP1	0.2029
UAP1	0.2028
ANKRD17	0.2028
HNRNPR	0.2026
SHARPIN	0.2025
GSK3A	0.2022
COL2A1	0.2020
FUS	0.2019
MIEF1	0.2015
CDC25A	0.2012
PPRC1	0.2007
ANXA11	0.2003
SNX19	0.2001
REXO2	0.1998
EIF4G3	0.1998
DPH6	0.1998
ANKRD12	0.1995
ZFP639	0.1994
RNF41	0.1991
BTG2	0.1989
RBM10	0.1986
MLH1	0.1986
SH3RF1	0.1986
UBA6	0.1986
DDX17	0.1984
CNOT1	0.1983
ITCH	0.1983
INTS6	0.1979
DENR	0.1975
PELP1	0.1974
TOLLIP	0.1974
POMT2	0.1973
CRTC2	0.1969
PPP4R1	0.1968
HEATR5B	0.1964
UBAP2L	0.1964
FOXK2	0.1962
EZR	0.1962
SND1	0.1961
PCM1	0.1957
NCOA6	0.1955
TBC1D20	0.1955
UBE2S	0.1954
UBE2I	0.1954
CCDC93	0.1951
SDAD1	0.1950
DHX15	0.1950
PTGFRN	0.1948
DCTN6	0.1947
GCSH	0.1943
RFC1	0.1941
RAPH1	0.1941
CDC7	0.1940
SEC14L1	0.1939
SECISBP2	0.1936
GZF1	0.1935
RAD54L2	0.1934
RECK	0.1932
NFYC	0.1932
SETD7	0.1931
AAK1	0.1930
TCP1	0.1930
MACF1	0.1928
SPEN	0.1926
AHSA1	0.1926
SSU72	0.1925
TTYH3	0.1925
ARHGDIA	0.1925
YES1	0.1922
SLC35B4	0.1921
TMEM97	0.1921
PDXDC1	0.1921
IFT46	0.1918
PCMT1	0.1916
XPO4	0.1912
ACD	0.1910
IRAK1	0.1908
TSHZ3	0.1906
USP16	0.1906
FNBP1L	0.1897
HIRIP3	0.1893
SART3	0.1892
RHBDD1	0.1891
RPS6KC1	0.1890
ASB7	0.1888
CLK1	0.1883
MAP4K4	0.1882
MAP4	0.1881
ZC3H14	0.1880
RTCB	0.1880
GDAP2	0.1879
DCTN3	0.1877
TRPS1	0.1877
PPP6R1	0.1877
PUM1	0.1876
DNPEP	0.1876
SYNPO	0.1876
COG7	0.1875
PPDPF	0.1874
NASP	0.1871
WDR33	0.1871
YY1	0.1869
ELAVL1	0.1869
PSMC6	0.1865
YPEL3	0.1865
KPNB1	0.1864
FLT4	0.1863
PRELID1	0.1863
AGPAT1	0.1861
ZFP592	0.1860
EIF3F	0.1859
EIF4A2	0.1859
ZBTB20	0.1859
ANKFY1	0.1858
TGFB2	0.1857
GRB14	0.1856
NSD1	0.1855
PPIG	0.1855
DNAJC10	0.1854
POLE	0.1854
MTR	0.1853
NUP88	0.1844
LMBRD2	0.1841
ARHGEF11	0.1838
TUBA1A	0.1838
EEA1	0.1836
PDE7A	0.1833
PSMA3	0.1831
ELOVL1	0.1827
CTNNBL1	0.1826
LIG1	0.1826
GALNT18	0.1826
LRRC20	0.1825
ZFP865	0.1825
RXRA	0.1824
RAB22A	0.1824
LMNB2	0.1823
PPP2R1A	0.1820
PRPF31	0.1814
KLF3	0.1814
ERLIN2	0.1812
AP2M1	0.1811
AGTRAP	0.1810
DAXX	0.1810
EIF4A1	0.1809
L2HGDH	0.1807
MNAT1	0.1805
RAB24	0.1805
TAF10	0.1801
TRAF7	0.1799
CCNJL	0.1798
SLAIN2	0.1797
GTPBP1	0.1796
SENP3	0.1794
E2F4	0.1793
PGD	0.1793
ZFP609	0.1793
ASNS	0.1792
PHC3	0.1792
CANX	0.1790
PPP1R37	0.1787
ACAP3	0.1787
TRMT6	0.1784
FGFR1OP2	0.1782
ARHGAP5	0.1782
USP34	0.1780
COL11A1	0.1780
PTOV1	0.1779
GFM2	0.1779
LPCAT3	0.1778
NLRX1	0.1778
LRP6	0.1775
CLK4	0.1773
LANCL1	0.1771
ASH2L	0.1770
ACADVL	0.1768
LRPPRC	0.1767
ZC3H7A	0.1766
FZD1	0.1766
RPL27	0.1765
TXNDC11	0.1765
SEC62	0.1762
PHF10	0.1762
CDCA2	0.1761
RRAS	0.1758
USP32	0.1758
DHRS3	0.1757
SMYD2	0.1756
PABPC4	0.1755
FBL	0.1754
PEX3	0.1753
CSNK2A1	0.1751
SF3B2	0.1749
SNX4	0.1748
SLC35G1	0.1747
BRAP	0.1744
FUBP1	0.1742
SEC23B	0.1739
CLDN12	0.1735
IGSF3	0.1733
ZBTB10	0.1733
EDF1	0.1729
PIK3C2A	0.1726
CREBBP	0.1722
PTK2	0.1722
TMF1	0.1719
IPO9	0.1713
ACBD3	0.1708
DTD1	0.1705
SNRNP200	0.1705
GPKOW	0.1705
SLC35B1	0.1702
MAPK1IP1	0.1701
APC	0.1699
ZFR	0.1699
PCGF3	0.1698
MAP4K2	0.1697
PSMB7	0.1694
TBP	0.1691
SMARCE1	0.1691
ADAM17	0.1691
FUBP3	0.1689
XRN1	0.1689
TCTN1	0.1687
TRIP6	0.1687
RNPS1	0.1686
GMPPA	0.1686
TRPC4AP	0.1684
SDHC	0.1681
PSMD8	0.1680
PEBP1	0.1679
MLLT1	0.1678
MMS22L	0.1672
KLHDC10	0.1671
GLB1L	0.1668
NUMA1	0.1668
MBNL1	0.1666
RHOBTB3	0.1665
TNPO3	0.1664
BET1L	0.1662
GOPC	0.1662
GLE1	0.1662
TBCE	0.1659
ZFYVE1	0.1657
SMC3	0.1656
ELF4	0.1654
DYNC1I1	0.1653
SHPRH	0.1652
TGS1	0.1646
PHB2	0.1642
DEF8	0.1641
SLC2A10	0.1641
DLX3	0.1641
RIOK2	0.1633
GGA2	0.1629
BNIP3L	0.1628
POLE3	0.1624
BTBD7	0.1620
RNF44	0.1619
PACS1	0.1619
YBX1	0.1618
MED23	0.1618
NOP56	0.1612
SLC22A17	0.1612
ABI3	0.1611
SCYL3	0.1609
RPL10A	0.1608
ALAS1	0.1608
KDM1B	0.1606
AKAP9	0.1603
ARFGEF1	0.1602
MYO19	0.1598
RABGAP1	0.1596
BAK1	0.1594
EHD2	0.1594
RANBP1	0.1592
ARID4A	0.1588
DAPK1	0.1587
USE1	0.1584
TSC22D2	0.1584
TMEM161A	0.1583
CCP110	0.1582
ESF1	0.1581
GSTM1	0.1580
LPP	0.1579
ANAPC2	0.1578
SRGAP1	0.1576
ANAPC1	0.1576
CHD1	0.1575
MTX1	0.1574
MORC3	0.1574
ATP2B1	0.1573
RPF1	0.1573
STXBP3	0.1572
CDC27	0.1571
CAD	0.1570
DDX3Y	0.1568
SORBS3	0.1568
AKAP13	0.1567
ASH1L	0.1563
ZFP513	0.1562
FAM133B	0.1561
POLR1C	0.1560
B4GALT7	0.1559
TSC22D1	0.1558
THOC2	0.1555
MORF4L2	0.1554
RAN	0.1554
NOP2	0.1553
PDPK1	0.1552
GTF3C5	0.1551
WDR44	0.1547
ARPC1A	0.1544
FLCN	0.1542
BACE1	0.1542
CNOT3	0.1540
COLGALT1	0.1538
STARD3	0.1536
CWC15	0.1534
FTSJ3	0.1530
RAD23B	0.1526
DEPDC5	0.1525
NUS1	0.1521
DCLK1	0.1520
SNX18	0.1519
TTC7B	0.1514
OFD1	0.1514
TXLNA	0.1512
PPM1A	0.1511
PASK	0.1508
PPFIA1	0.1508
RHOT1	0.1508
KIF1B	0.1507
SPAG7	0.1505
TMED9	0.1503
SRPK1	0.1502
LZIC	0.1501
ST3GAL1	0.1501
TPX2	0.1499
MCM10	0.1499
SLC30A7	0.1498
ARL2BP	0.1497
GRIPAP1	0.1496
GOLGA1	0.1495
SLC35A2	0.1494
RNF111	0.1491
ASAH2	0.1490
UHRF2	0.1489
WDR19	0.1487
COPZ1	0.1486
FAM32A	0.1485
GNL3	0.1479
TRIB1	0.1478
RPL32	0.1474
SEC23A	0.1473
TTC39B	0.1472
CDK6	0.1471
SORBS2	0.1469
PCOLCE2	0.1469
URB1	0.1469
ABHD16A	0.1467
KPNA3	0.1467
CHMP1A	0.1465
NOP58	0.1463
CDC23	0.1463
LEF1	0.1462
RNF38	0.1462
DYNC1LI1	0.1460
RUVBL2	0.1458
ARMC1	0.1457
NAA15	0.1456
RPS12	0.1453
TMX4	0.1452
GMFB	0.1452
PATL1	0.1451
NUCB2	0.1449
ECSIT	0.1448
ZMYM1	0.1445
ZFP710	0.1444
RPL41	0.1443
KRCC1	0.1443
SACM1L	0.1442
KREMEN1	0.1440
PTGS2	0.1440
RCHY1	0.1435
ANKRD13A	0.1431
R3HDM2	0.1431
USP45	0.1430
PDCD6IP	0.1428
TMEM150A	0.1427
EIF3D	0.1427
LAMC1	0.1423
NAA40	0.1420
GOLT1B	0.1417
RPL14	0.1416
PSMB2	0.1414
HNRNPDL	0.1413
KHSRP	0.1413
NELFB	0.1410
GAB1	0.1410
PAFAH1B2	0.1408
MTPAP	0.1408
UIMC1	0.1406
CHM	0.1403
GOSR1	0.1402
SPTAN1	0.1402
WIPF2	0.1399
LIN7C	0.1395
CD2BP2	0.1394
TMEM147	0.1394
UNC119B	0.1394
LMTK2	0.1393
RANGAP1	0.1392
INTS2	0.1391
PTPRM	0.1387
CRK	0.1387
NT5C3B	0.1384
GORAB	0.1383
IFT88	0.1382
ZFP414	0.1382
OSBPL9	0.1381
PHF8	0.1375
THBS2	0.1375
PPP1R12C	0.1373
ADD1	0.1373
ATP6V0A2	0.1373
UACA	0.1372
RPS2	0.1371
KDM2B	0.1371
TAOK1	0.1367
VDAC3	0.1367
KLHL22	0.1365
RPL11	0.1365
GMPS	0.1365
SLC35C1	0.1365
DCTN5	0.1365
PET100	0.1362
HDLBP	0.1361
GPBP1L1	0.1360
SFPQ	0.1359
RFX7	0.1359
SH3GL1	0.1357
ZFP386	0.1355
WDR37	0.1354
LRRFIP2	0.1352
ZW10	0.1351
NME1	0.1349
MAT2B	0.1346
SYNM	0.1344
WDR3	0.1340
VANGL1	0.1339
AP1M1	0.1338
MAN2C1	0.1335
ATP10A	0.1335
SCAF11	0.1333
B4GALT2	0.1332
SRF	0.1327
ZMYM4	0.1327
PDK1	0.1326
STK38	0.1326
ZBTB2	0.1320
FOXK1	0.1320
STX17	0.1313
PES1	0.1313
RB1CC1	0.1312
AKAP11	0.1311
LONP2	0.1305
PPIL4	0.1305
ATIC	0.1303
MCCC1	0.1303
ATF7	0.1301
GAS2L1	0.1297
NDUFA9	0.1296
SEC61A1	0.1295
RPL6	0.1295
LZTR1	0.1294
FKBP9	0.1293
GTF2A1	0.1292
TOPORS	0.1292
LDLRAD4	0.1290
HNRNPU	0.1290
MRPS15	0.1289
NLK	0.1289
TEAD1	0.1288
CFDP1	0.1288
YWHAE	0.1287
MORF4L1	0.1284
HP1BP3	0.1282
TTC19	0.1280
HCFC1	0.1278
NAMPT	0.1278
LDLRAP1	0.1276
RPS24	0.1276
FBXO34	0.1276
PREPL	0.1275
DNAJC8	0.1272
BFAR	0.1270
EFNA5	0.1268
NSUN2	0.1267
PRRC1	0.1267
PSMB1	0.1267
EHBP1	0.1267
PKN2	0.1266
SUCO	0.1265
MAPK1	0.1264
MRPL37	0.1261
KLHL7	0.1257
TAF8	0.1257
WWP1	0.1254
ARHGEF40	0.1254
POGK	0.1253
SWT1	0.1253
RPS18	0.1253
ATXN7L3B	0.1252
VCP	0.1252
SH3BP2	0.1250
CCAR2	0.1249
LGMN	0.1249
ARF2	0.1249
PRPF6	0.1245
FABP5	0.1245
CPSF3	0.1245
PAPOLG	0.1237
RPLP0	0.1232
PGGT1B	0.1230
AP1G1	0.1229
PIK3R4	0.1229
FNTB	0.1227
TRA2A	0.1224
MYCBP2	0.1224
CDCA7L	0.1221
JRK	0.1221
IL6ST	0.1218
PITRM1	0.1216
PRDM2	0.1213
NCOR1	0.1213
ANXA4	0.1211
MAT2A	0.1209
DOCK9	0.1205
RPL31	0.1204
SEC24A	0.1200
CERS5	0.1195
AMIGO3	0.1194
KDM2A	0.1193
CDK14	0.1188
HNRNPA3	0.1182
HNRNPA1	0.1181
CTDSPL2	0.1181
STX12	0.1181
MED14	0.1179
NUCKS1	0.1179
CHAF1B	0.1170
DDX41	0.1169
DNAJC25	0.1169
WIPI1	0.1168
CFP	0.1167
DLGAP5	0.1166
CAND1	0.1166
RBM3	0.1163
HSPA4	0.1162
WDR5	0.1162
PDPR	0.1162
MLH3	0.1161
GNB1	0.1157
NBR1	0.1156
COX5B	0.1156
XRCC5	0.1155
P4HB	0.1154
ARF1	0.1153
DCBLD2	0.1148
NPAS2	0.1148
PLK1	0.1147
STRN3	0.1144
SFT2D2	0.1143
RNF6	0.1142
POLA1	0.1142
GTF2H1	0.1141
DHX40	0.1141
IREB2	0.1140
GABPA	0.1136
PCBP2	0.1135
GPC1	0.1133
LARP4B	0.1132
RPL27A	0.1131
MIA	0.1130
PHF12	0.1130
CDC42EP4	0.1128
VDAC1	0.1127
SSBP3	0.1124
CCT5	0.1122
CNR1	0.1121
CSTF2	0.1119
LIMD1	0.1119
RPS20	0.1118
MYO1C	0.1117
RPS4X	0.1117
BAZ1B	0.1116
CKAP4	0.1112
DCAF7	0.1112
RPS28	0.1109
EYA3	0.1108
PARN	0.1108
DCUN1D5	0.1107
GUF1	0.1105
TMEM39A	0.1100
CASP2	0.1099
VPS25	0.1097
FMR1	0.1097
EIF2S2	0.1095
RNF146	0.1094
P2RX4	0.1094
MCU	0.1091
ANP32E	0.1089
PLEKHG1	0.1088
KAT7	0.1088
ITPR3	0.1087
S100A11	0.1086
USP11	0.1085
RBBP9	0.1084
ORC1	0.1084
UTP20	0.1082
YTHDF2	0.1081
PRPF8	0.1081
FBXO3	0.1080
FARP2	0.1076
ZDHHC5	0.1075
DLST	0.1074
RTCA	0.1074
ERI2	0.1073
AGFG1	0.1072
HSPA5	0.1065
RNMT	0.1063
ACOX1	0.1063
FIBIN	0.1063
SIPA1L1	0.1063
ZFP207	0.1063
COPG1	0.1059
CDC5L	0.1059
SPATA6	0.1058
ELP2	0.1058
EIF5	0.1056
GINS2	0.1056
DDX54	0.1055
GIT1	0.1054
MIOS	0.1054
TXN2	0.1054
LRP1	0.1053
CUL1	0.1053
ANXA2	0.1052
COPZ2	0.1052
SRR	0.1051
PSME3	0.1051
DOCK8	0.1051
USO1	0.1051
ZDHHC3	0.1050
DDHD1	0.1049
TUBGCP5	0.1046
ESPL1	0.1044
IMMT	0.1043
CHTF8	0.1043
ARFGAP3	0.1043
PCDHGA12	0.1042
TUG1	0.1042
RAVER1	0.1040
DYNLL2	0.1037
KLF4	0.1037
INPP5A	0.1035
MRPL35	0.1035
NOB1	0.1033
COPS5	0.1033
CEP120	0.1031
KDELR3	0.1031
INHBA	0.1030
CORO7	0.1030
ANKRD40	0.1026
ZDHHC9	0.1026
CHDH	0.1025
UBE2Q1	0.1025
PPIP5K2	0.1022
FBXW2	0.1021
UTP3	0.1018
SEC22B	0.1018
RIOK3	0.1017
POU2F1	0.1015
RPS23	0.1014
HSP90B1	0.1013
SRPRB	0.1006
RNF168	0.1005
GLG1	0.1003
MTIF2	0.1002
ZFP263	0.1002
PIP4K2B	0.1002
AHNAK	0.1001
GNL3L	0.1001
WWC2	0.0998
YTHDF3	0.0998
ZCRB1	0.0997
CRNKL1	0.0996
RSBN1	0.0996
GPR180	0.0996
NF1	0.0994
PLOD3	0.0993
DAP	0.0991
RPL19	0.0991
GANAB	0.0989
ATRN	0.0988
DNAJC2	0.0988
IFRD1	0.0987
GOT2	0.0984
WDFY3	0.0984
POLDIP2	0.0984
HECTD2	0.0983
HSPB6	0.0983
CRBN	0.0983
PPP6R3	0.0977
WDR75	0.0976
OTUD5	0.0971
R3HDM1	0.0970
UBN1	0.0969
PSMF1	0.0967
CLIC4	0.0965
ETF1	0.0965
GCLC	0.0964
CDC73	0.0964
BZW1	0.0962
GTF2I	0.0957
PFKM	0.0956
DESI1	0.0956
EMC2	0.0954
N4BP2L2	0.0954
ZFP354C	0.0952
ST6GALNAC3	0.0950
CDK2	0.0950
RAB18	0.0949
RPL38	0.0949
TRIM8	0.0948
YIPF3	0.0946
POGZ	0.0945
COG4	0.0944
EEF1D	0.0941
PLP2	0.0940
KCMF1	0.0939
ORC4	0.0939
C1QBP	0.0939
SF3A3	0.0938
CCT2	0.0938
NPC1	0.0937
EEF1G	0.0935
LBH	0.0931
BRF1	0.0924
FAM168B	0.0920
EIF3G	0.0920
SRPK2	0.0919
CPD	0.0919
GOLIM4	0.0918
USP48	0.0917
CTBP2	0.0917
STAT6	0.0914
MAN1B1	0.0906
VIPAS39	0.0905
ABCA2	0.0902
METTL14	0.0901
YWHAB	0.0899
TXNDC9	0.0898
STRN	0.0897
SHOC2	0.0895
PDS5A	0.0894
COPA	0.0894
RNF123	0.0893
DNM1L	0.0886
XRCC1	0.0886
RPS26	0.0885
RYK	0.0884
NUP107	0.0884
USP31	0.0882
TACC3	0.0881
DDAH1	0.0879
GCC2	0.0879
SOS2	0.0879
RBCK1	0.0877
MTA2	0.0877
RRP8	0.0876
NDUFS3	0.0876
PRDX1	0.0873
VPS4B	0.0873
FKBP14	0.0873
CEP83	0.0873
AGL	0.0872
GTF2H5	0.0872
SLC25A24	0.0871
PITPNA	0.0871
NECAP1	0.0871
MARVELD1	0.0870
AGPS	0.0868
SLC1A5	0.0866
ZNHIT6	0.0865
MAPK14	0.0865
ZKSCAN1	0.0864
CSTF1	0.0862
RPL35	0.0861
APAF1	0.0860
CDC16	0.0860
IRF9	0.0859
CAMTA2	0.0859
CIAPIN1	0.0859
TXNL1	0.0857
BCKDK	0.0851
LPIN2	0.0848
AFF4	0.0847
SLC35F5	0.0846
ASAP1	0.0846
MTMR2	0.0845
FKBP8	0.0843
SBNO1	0.0841
CC2D1A	0.0840
MAP4K3	0.0837
DNAJC18	0.0837
SIPA1L2	0.0837
ZKSCAN3	0.0837
PMM2	0.0834
SH3KBP1	0.0831
SLU7	0.0820
COG6	0.0817
FKBP10	0.0817
TRIP11	0.0816
HSPA9	0.0814
KPNA4	0.0813
HIF1A	0.0811
RPS17	0.0811
NUP62	0.0811
ZFP217	0.0810
UBXN2A	0.0810
PCNP	0.0809
DPYSL2	0.0807
ACTG1	0.0805
BCORL1	0.0804
TM9SF4	0.0804
DOCK7	0.0803
