transcript	symbol	MT_baseMean	RU_baseMean	MT_log2FoldChange	RU_log2FoldChange	MT_lfcSE	RU_lfcSE	MT_stat	RU_stat	MT_pvalue	RU_pvalue	MT_padj	RU_padj	interaction_MT_minus_RU
ENSMUST00000000001	Gnai3	2481.593389	2363.54949958129	0.573432577	0.556712528025222	0.096568577	0.115378361596514	5.938086642	4.82510342773008	2.88e-09	1.39930632654855e-06	8.46e-09	3.58544695957252e-06	0.01672004897477808
ENSMUST00000000010	Hoxb9	29.99197865	0.648309800268658	3.666556292	0.683779888377223	0.553542277	1.04703137326899	6.623805347	0.653065329114597	3.5e-11	0.513714162816181	1.18e-10		2.9827764036227773
ENSMUST00000000028	Cdc45	438.3429631	305.166515601779	-0.344116234	-0.51262061571265	0.135719495	0.160803134585561	-2.535495977	-3.18787700895155	0.011228822	0.00143321484109423	0.017409825	0.00258994056880531	0.16850438171265003
ENSMUST00000000049	Apoh	1.800691011	3.43571152586421	-2.401108145	-3.25167639961222	1.121252867	1.03723160492443	-2.141451065	-3.13495692203588	0.032237681	0.00171879349418864	0.046456005	0.00307601216824544	0.8505682546122202
ENSMUST00000000058	Cav2	182.7844416	193.970457092362	-0.179927909	0.396285131538179	0.196855375	0.199743845852677	-0.914010648	1.98396666413674	0.360711251	0.047259556302054	0.416879226	0.0667239309371623	-0.576213040538179
ENSMUST00000000080	Klf6	731.9601013	714.031956604348	0.794100632	0.206098858197005	0.126995893	0.143776520398035	6.252963076	1.4334667275744	4.03e-10	0.151724500896791	1.26e-09	0.191532886500252	0.588001773802995
ENSMUST00000000090	Cox5a	1161.389568	908.775987057321	0.039803487	-0.0336408825799881	0.106316303	0.10554986392457	0.374387426	-0.318720283751659	0.708116096	0.749938631994541	0.74934727	0.785397103793424	0.0734443695799881
ENSMUST00000000095	Tbx2	558.6713663	404.895688643217	2.483690714	1.52730214078051	0.223897322	0.262425875086914	11.0929898	5.81993730715264	1.36e-28	5.88697043714499e-09	1.17e-27	1.88602044136192e-08	0.9563885732194901
ENSMUST00000000122	Ngfr	50.48301194	43.4012077637614	-0.107327107	-0.494286957946323	0.352210801	0.38132810207324	-0.304724066	-1.29622483960384	0.760576319	0.194898034142785	0.796265566	0.239300115542118	0.386959850946323
ENSMUST00000000127	Wnt3	1.677179491	0.757616900555684	2.163575481	0.487722061946464	1.123076301	1.07442992825534	1.926472385	0.45393566310874	0.054045417	0.649875134040558	0.074859139		1.6758534190535361
ENSMUST00000000129	Fer	373.9919012	333.832477405269	-0.278786436	-0.297064695044684	0.148404415	0.159028770480112	-1.878558904	-1.86799340866334	0.060304747	0.0617629896788538	0.082795844	0.085019925901476	0.018278259044683998
ENSMUST00000000137	Actr2	3039.383827	2554.39467737683	1.057084567	1.09335592617055	0.098162642	0.120297110241281	10.7687053	9.08879626432916	4.84e-27	1.00141574044534e-19	3.92e-26	6.88990970670121e-19	-0.03627135917055013
ENSMUST00000000153	Gna12	1455.794149	1429.88912483416	-0.719491673	-0.414636292337207	0.090334271	0.0994267718206269	-7.964769753	-4.17026807513414	1.66e-15	3.04241540700549e-05	7.27e-15	6.78817494269543e-05	-0.30485538066279305
ENSMUST00000000171	Pih1d2	79.50929167	83.2089254978407	1.01988484	1.33694802579282	0.269006974	0.282661395731822	3.791295167	4.7298571576476	0.000149864	2.2467786371381e-06	0.000294578	5.64625575460675e-06	-0.3170631857928199
ENSMUST00000000175	Sdhd	1450.765688	1245.91202260278	-0.934545895	-0.759053854667417	0.119162947	0.142969187858623	-7.842588004	-5.30921288731121	4.41e-15	1.10099673006656e-07	1.89e-14	3.15515621939803e-07	-0.17549204033258292
ENSMUST00000000186	Fgf23	0.923028349	0.0	1.180813099		1.051540981		1.122935882		0.261464727				
ENSMUST00000000187	Fgf6	0.0	0.0											
ENSMUST00000000188	Ccnd2	1262.248243	855.869530201746	0.325321325	-0.16997677967167	0.111896096	0.142999548588059	2.907351879	-1.18865256114427	0.003645029	0.234576415418149	0.006056375	0.282599629567771	0.49529810467167
ENSMUST00000000194	Ccl12	0.608039548	0.863575551570678	-0.548201552	-0.876605099575862	1.05465802	1.07576443567878	-0.519790815	-0.814867149816814	0.603209382	0.415148358661699			0.328403547575862
ENSMUST00000000199	Ncs1	191.1657473	160.593178566254	1.45482059	0.97483611846768	0.216299656	0.189749701585459	6.725949621	5.1374843297376	1.74e-11	2.78440677685238e-07	5.97e-11	7.70196478743543e-07	0.47998447153231993
ENSMUST00000000201	Nalcn	18.43729404	59.4664510729956	-0.954616737	-1.70626515302533	0.517241654	0.348967689611483	-1.845591379	-4.88946456597449	0.064951559	1.01110620422819e-06	0.088563737	2.63081676490224e-06	0.7516484160253301
ENSMUST00000000206	Btbd17	1.213855323	1.94463165051132	-0.549395291	-1.79523114921929	1.120927888	1.05144909341642	-0.490125455	-1.70738760483985	0.624045126	0.0877500326959768	0.673715801	0.116446691085739	1.24583585821929
ENSMUST00000000219	Th	0.550878934	0.58284973211954	-0.894899753	-0.952742688156984	1.033282124	1.04006847825307	-0.86607494	-0.916038422544293	0.386449067	0.359646742827492			0.05784293515698402
ENSMUST00000000221	Scnn1g	0.754272575	1.62808021445018	1.241150206	1.89309483159847	1.105861954	1.0609252382536	1.122337379	1.78438099438063	0.261719019	0.0743617772137631		0.100316113534203	-0.65194462559847
ENSMUST00000000253	Lhx2	26.71722174	87.5820571035896	-1.109396042	0.822186735408878	0.456050031	0.262791139725541	-2.432619154	3.12866992497377	0.014990058	0.00175599444480414	0.022839257	0.0031379854346854	-1.9315827774088778
ENSMUST00000000260	Gmpr	933.3419574	1391.33604725134	-1.191065616	-0.76193133351138	0.139548097	0.17166383973577	-8.535161987	-4.43850804388489	1.4e-17	9.05845996478069e-06	6.93e-17	2.12881079204421e-05	-0.42913428248861996
ENSMUST00000000275	Glra3	0.220587939	0.0	-0.403815356		0.955438407		-0.422649281		0.672551165				
ENSMUST00000000285	Dgke	96.54933393	92.4104883183425	0.499902088	0.629538228929949	0.278569279	0.238050581969544	1.794534165	2.64455656323701	0.07272795	0.00817980341665164	0.098346276	0.013247843122035	-0.12963614092994902
ENSMUST00000000287	Scpep1	2674.61132	3030.30636812216	-0.820067005	-0.830819369942942	0.082787111	0.102228096363589	-9.905732855	-8.1271137729887	3.93e-23	4.39632702585544e-16	2.58e-22	2.41979789419359e-15	0.010752364942942072
ENSMUST00000000291	Mnt	329.2149118	310.787591030871	-0.428827147	-0.345303870738188	0.147077801	0.169841787385575	-2.915648351	-2.03309136139906	0.003549503	0.0420432935995558	0.005911014	0.0599956980108281	-0.083523276261812
ENSMUST00000000299	Itgb2	121.2905098	140.399805986004	0.114015199	1.03979223319709	0.375968352	0.307698345119203	0.303257437	3.37925845130651	0.76169368	0.000726816453378684	0.797321813	0.00136619844574622	-0.9257770341970899
ENSMUST00000000304	Hddc2	288.0407096	226.474536416033	-1.146786406	-0.805717172698975	0.154112614	0.172917194889634	-7.441223509	-4.65955495758089	9.98e-14	3.16893782607898e-06	3.93e-13	7.82137874437328e-06	-0.3410692333010249
ENSMUST00000000305	Tpd52l1	301.6610289	213.307928251593	-2.777958902	-2.75389668203889	0.204917875	0.208192585385662	-13.55644987	-13.2276405374259	7.26e-42	6.07651201934782e-40	1.08e-40	1.03209063196371e-38	-0.02406221996111002
ENSMUST00000000312	Cdh1	13.06450695	20.451313258831	3.731230686	3.82880255179508	0.744769603	0.597431922620463	5.00991269	6.40876793961919	5.45e-07	1.46700284472014e-10	1.35e-06	5.35620664577245e-10	-0.09757186579507993
ENSMUST00000000314	Cdh4	33.90586933	37.8863300152431	1.546967317	1.05098385347206	0.410546879	0.411624308064322	3.768064978	2.55325993358931	0.000164518	0.0106719819025468	0.000322177	0.0169761502645793	0.4959834635279401
ENSMUST00000000317	Ckmt1	10.75191916	8.60965544361023	-1.297004319	-1.10952511466786	0.794763005	0.676703819578147	-1.631938465	-1.63960226404446	0.10269245	0.101087892054527	0.134583037	0.132393579709306	-0.18747920433214005
ENSMUST00000000326	Bcl6b	73.78559336	88.7038751788979	0.534381842	0.388102812865767	0.306923207	0.330253625998478	1.741092985	1.17516594009343	0.081667281	0.23992833382727	0.109258783	0.288406464332106	0.14627902913423307
ENSMUST00000000329	Alox12	465.129505	456.08447260437	-3.885009736	-3.39776177052799	0.162342114	0.23842927920434	-23.93100373	-14.2506062253203	1.46e-126	4.4440654755328e-46	1.33e-124	9.28182063156573e-45	-0.4872479654720103
ENSMUST00000000342	Ccl11	2.345745983	1.74466701866123	-1.694532767	-1.20148825270126	1.075798508	1.03843925588811	-1.57513954	-1.1570135141643	0.115224239	0.247266839040918	0.149316234	0.296279056420172	-0.4930445142987401
ENSMUST00000000348	Rtca	996.5782877	778.31723501725	0.748042011	0.843818590780244	0.109326821	0.123780507555528	6.842255221	6.81705550772368	7.8e-12	9.29253677862564e-12	2.74e-11	3.73256600756812e-11	-0.09577657978024401
ENSMUST00000000349	Dbt	401.528348	372.171200287624	0.222689422	0.330783540338946	0.128975973	0.204643040364055	1.726596182	1.61639281624476	0.084240212	0.106009410556646	0.112434989	0.138238184992373	-0.10809411833894603
ENSMUST00000000356	Dazap2	764.8183124	800.784486648344	0.59091637	0.479902306114249	0.114656047	0.123560652433642	5.153817764	3.88394117918712	2.55e-07	0.000102776781665051	6.48e-07	0.000214719586238301	0.11101406388575097
ENSMUST00000000365	Mcts1	749.8298981	642.201888414089	0.866169961	0.777829930045732	0.131416807	0.183753916539769	6.591013601	4.23299783042933	4.37e-11	2.30596730477912e-05	1.46e-10	5.20531410873745e-05	0.08834003095426801
ENSMUST00000000369	Rem1	106.4107567	143.139083024812	2.005716193	2.22118892201966	0.236122974	0.252545888014925	8.494371214	8.79518941875778	1.99e-17	1.42806866944827e-18	9.75e-17	9.1824125557278e-18	-0.21547272901965986
ENSMUST00000000384	Trappc10	1204.400224	1032.80908851478	-0.204701677	-0.0708555436183275	0.106860407	0.100144146930019	-1.915598886	-0.707535545415764	0.055416171	0.479233731437149	0.076584639	0.532760900681192	-0.1338461333816725
ENSMUST00000000388	Ccm2	1001.933957	924.257062371642	0.108921626	-0.264883071743938	0.107403434	0.115683358475468	1.01413541	-2.2897249460484	0.310518143	0.0220372663621223	0.364573047	0.0332087551794662	0.373804697743938
ENSMUST00000000395	Tmprss2	0.970273354	0.925494427968146	-1.528426145	-0.261297399639908	1.118181716	1.07905251801735	-1.366885295	-0.242154478375173	0.171661262	0.808660466406514			-1.2671287453600921
ENSMUST00000000412	Egfl6	1551.55184	346.261394831811	3.119313131	0.345708144327019	0.176598977	0.274758746137204	17.66325708	1.25822434840486	8.05e-70	0.208310631688519	2.47e-68	0.254092806677632	2.7736049866729813
ENSMUST00000000421	Tssk3	0.52167227	0.480067859928828	0.305729795	0.41298780616521	1.062902626	1.0141617182923	0.287636692	0.407220859076225	0.773624855	0.68384578269803			-0.10725801116521
ENSMUST00000000430	Galnt1	4041.448631	3742.39371205277	-0.779029276	-0.685270782936612	0.090817376	0.0871646091532689	-8.577976004	-7.86180067338618	9.66e-18	3.7865024398058e-15	4.83e-17	1.95963882012007e-14	-0.09375849306338802
ENSMUST00000000445	Myf5	0.4049541	0.112674339402441	0.220914627	-0.127287368297281	0.974592093	0.892649102394392	0.226673937	-0.142595077904468	0.820677295	0.886609985019014			0.348201995297281
ENSMUST00000000449	Mkrn2	563.1579128	510.105772527535	0.351711197	0.551183905634205	0.116751393	0.137040029988089	3.012479671	4.02206498117457	0.002591228	5.76901361317108e-05	0.00438876	0.000124449872271162	-0.19947270863420508
ENSMUST00000000450	Pparg	46.44979219	42.154451713683	0.778990299	0.722744803416298	0.368457109	0.390355081049456	2.114195329	1.85150607358107	0.034498588	0.0640967817898825	0.04952961	0.0878690058226283	0.056245495583702065
ENSMUST00000000451	Raf1	4406.14153	6596.53628456278	-0.301053216	-0.732952400921981	0.098595897	0.134305204503376	-3.053405113	-5.45736409569712	0.002262603	4.83254771024916e-08	0.003859286	1.43225366448903e-07	0.431899184921981
