symbol	human_pure_cpm	human_purity_ratio	mt_baseMean	mt_lfc	ru_lfc	interaction_n3	interaction_n2	cartilage_enriched
Ggct	28.93	2.263	116.8	-2.33	-1.716	-0.614	-0.186	1
Yipf6	58.25	1.285	626.1	-0.428	0.188	-0.616	-0.563	0
Maml2	52.83	0.051	654.3	-0.646	-0.023	-0.623	-0.436	0
Syt8	133.72	23.576	300.2	-2.816	-2.194	-0.623	-1.097	1
S100a1	1149.8	16.097	1255.6	-2.755	-2.13	-0.625	-1.03	1
Bgn	2518.76	5.308	63837.6	-1.12	-0.495	-0.625	-1.098	1
Cdv3	86.91	0.992	708.7	2.54	3.167	-0.627	-0.756	0
Arhgef9	20.75	0.53	345.2	-0.829	-0.201	-0.628	-0.335	0
Cfap36	39.55	1.264	1735.1	-0.405	0.224	-0.629	-0.386	0
Htatsf1	66.96	3.107	2479.7	-0.928	-0.297	-0.63	-0.492	1
Scarb2	59.5	1.385	1673.6	-0.981	-0.35	-0.631	-0.612	0
Stc2	250.21	11.26	1301.9	-1.515	-0.884	-0.632	-0.822	1
Wnt5b	33.58	0.128	1065.5	-2.442	-1.809	-0.633	-0.67	0
C1galt1	52.02	1.065	384.1	-1.808	-1.175	-0.634	-0.578	0
Slc38a3	148.3	8.866	2673.1	-2.433	-1.791	-0.642	-0.574	1
Il13ra1	80.25	0.79	248.5	1.273	1.917	-0.644	-0.517	0
Apbb2	76.75	0.289	1025.6	1.098	1.743	-0.645	-0.631	0
Igf2	24.1	2.402	47875.9	-0.882	-0.236	-0.646	-0.843	1
Tspan4	113.78	3.077	2405.2	-2.245	-1.595	-0.65	-0.528	1
Sfrp5	48.43	31.831	1033.0	-2.148	-1.497	-0.65	-0.871	1
Skap2	45.67	0.516	328.1	-2.956	-2.302	-0.654	-0.449	0
Crispld1	214.1	2.051	6672.2	-3.343	-2.688	-0.655	-0.6	1
Prss23	86.6	1.918	771.2	1.165	1.822	-0.657	-1.034	0
Lyrm2	31.71	1.794	109.6	-0.819	-0.158	-0.661	-0.677	0
P4ha1	285.62	1.816	12552.6	-1.259	-0.598	-0.662	-0.932	0
Ogfod3	21.25	1.931	686.0	-0.61	0.068	-0.678	-0.865	0
Mpi	22.85	3.676	705.7	-0.935	-0.253	-0.682	-0.857	1
Srpx2	90.5	1.002	3604.5	-1.175	-0.492	-0.683	-1.54	0
Peg3	28.54	1.799	10603.3	-0.486	0.198	-0.683	-0.644	0
Cystm1	81.39	0.816	93.3	-1.642	-0.956	-0.686	-0.851	0
Rnf217	81.15	0.838	377.5	0.446	1.133	-0.687	-0.993	0
Loxl3	174.72	1.886	10027.3	-0.971	-0.283	-0.688	-0.897	0
Morn2	22.13	8.642	53.3	-4.909	-4.221	-0.688	-0.72	1
Stim2	27.25	0.304	775.1	-0.614	0.077	-0.691	-0.851	0
Sec14l2	28.71	0.896	343.9	-2.176	-1.484	-0.693	-0.831	0
Chst11	134.74	0.093	7139.4	-1.2	-0.503	-0.697	-0.711	0
Wwp2	462.76	1.313	14414.0	-2.336	-1.633	-0.703	-0.795	0
Mrpl57	72.26	5.624	565.2	-0.935	-0.227	-0.708	-0.499	1
Cdkn1c	244.25	9.414	17854.4	-0.591	0.123	-0.714	-0.731	1
Aoc2	53.92	6.171	77.1	3.169	3.883	-0.714	-2.035	1
Ghr	21.48	0.407	1497.8	-0.466	0.255	-0.721	-0.659	0
Rnf170	21.73	1.024	136.3	2.65	3.372	-0.722	-0.507	0
Tpst1	56.23	0.356	2175.7	-1.226	-0.504	-0.722	-0.744	0
Col27a1	512.4	1.019	38590.8	-1.977	-1.251	-0.726	-0.803	0
Ssr4	318.93	2.99	5812.7	-2.047	-1.321	-0.726	-0.8	1
Fn1	10528.86	2.105	136856.5	-1.155	-0.426	-0.729	-1.035	1
Errfi1	319.19	1.553	867.8	0.429	1.158	-0.729	-0.289	0
Ldlrad3	37.07	0.317	1465.0	-0.807	-0.076	-0.731	-1.007	0
Plekha3	36.37	0.954	501.3	-1.719	-0.986	-0.733	-0.739	0
Plod2	734.84	0.857	16142.9	-1.119	-0.379	-0.74	-0.953	0
Map3k20	44.72	0.461	318.0	1.434	2.175	-0.741	-1.374	0
Unc5c	50.13	0.121	1269.1	-1.563	-0.819	-0.744	-1.014	0
Hapln3	31.68	0.847	344.2	-1.89	-1.142	-0.748	-1.646	0
Nfkbia	129.86	0.405	615.4	-0.571	0.181	-0.752	-0.532	0
Rcsd1	25.73	0.267	256.2	-1.951	-1.198	-0.752	-0.393	0
Tet1	22.87	1.313	221.1	-1.643	-0.886	-0.757	-0.687	0
Erh	89.38	3.773	1348.0	5.825	6.584	-0.759	-0.103	1
Cobll1	57.37	0.336	2254.5	-2.414	-1.653	-0.761	-0.69	0
Nt5e	153.42	1.716	1172.6	-1.219	-0.457	-0.762	-0.584	0
Fam89a	24.16	1.841	166.7	-4.466	-3.702	-0.764	-0.812	0
Vit	213.02	8.494	2028.1	-5.048	-4.282	-0.766	-2.249	1
Nkx3-2	34.33	8.332	251.4	-1.32	-0.551	-0.769	-0.841	1
Lamb2	252.16	6.346	8325.3	-0.902	-0.127	-0.774	-0.947	1
Pdk3	28.55	0.537	748.1	-1.145	-0.369	-0.776	-0.958	0
Id2	62.09	0.634	1026.1	-1.193	-0.415	-0.778	-1.006	0
Atxn1	35.66	0.06	83.5	0.815	1.61	-0.795	-0.774	0
Ube2d1	37.45	0.752	641.8	0.628	1.424	-0.796	-0.633	0
Meltf	417.0	2.509	8870.8	-1.967	-1.166	-0.8	-0.801	1
Slc14a1	47.93	2.604	118.9	-6.274	-5.472	-0.802	-2.341	1
S100b	296.05	10.013	1789.3	-1.912	-1.103	-0.808	-0.725	1
Sumo2	199.57	3.827	239.9	7.66	8.471	-0.811	-0.297	1
