symbol	human_pure_cpm	human_purity_ratio	mt_baseMean	mt_lfc	ru_lfc	interaction_n3	interaction_n2	cartilage_enriched
Rflnb	54.31	1.458	795.6	2.193	1.342	0.851	0.816	0
Gsto1	79.62	1.813	419.4	0.879	0.029	0.851	0.732	0
Prcp	132.38	3.282	592.7	1.348	0.498	0.85	0.335	1
Crybg1	28.83	0.287	365.0	2.26	1.416	0.845	0.891	0
Muc1	117.4	4.735	70.1	-2.084	-2.918	0.834	0.707	1
Smox	51.81	0.88	677.0	-0.595	-1.429	0.833	0.817	0
Mxra7	69.96	1.178	190.4	1.575	0.744	0.831	1.246	0
Selenop	67.52	1.727	988.1	1.8	0.991	0.809	2.751	0
Npdc1	40.3	5.341	525.1	0.782	-0.019	0.802	1.286	1
Rgs2	84.09	1.149	162.2	1.21	0.41	0.8	0.804	0
Chd3	40.58	0.66	7742.5	1.091	0.297	0.794	0.515	0
Matn2	466.95	3.01	9692.7	1.659	0.87	0.789	0.504	1
Cotl1	20.25	0.256	427.1	-0.47	-1.258	0.787	1.26	0
Ednra	46.92	0.836	282.0	1.937	1.155	0.782	0.996	0
Myo1e	72.11	0.098	1877.0	0.76	-0.019	0.779	0.391	0
Cmtm3	30.15	3.251	578.6	1.729	0.961	0.768	1.094	1
Pdlim7	25.38	0.947	1115.2	0.91	0.142	0.768	1.079	0
Itgb5	143.09	1.025	6259.5	0.639	-0.122	0.761	0.602	0
St3gal1	40.03	0.201	599.5	-0.44	-1.194	0.754	1.035	0
Nrp2	218.45	1.148	2497.4	2.415	1.669	0.746	0.135	0
Dapk2	31.89	0.365	172.7	1.01	0.268	0.741	0.702	0
Fxyd6	187.28	2.728	469.8	0.697	-0.027	0.724	0.884	1
Ano6	28.69	0.185	704.8	1.256	0.533	0.723	1.082	0
Gprc5b	26.36	2.906	289.1	2.805	2.082	0.723	0.608	1
Steap4	182.05	15.718	245.5	-1.579	-2.298	0.719	1.404	1
Rgs10	47.15	1.148	448.0	2.281	1.567	0.714	0.958	0
Cdh11	93.04	0.495	7396.9	2.241	1.528	0.713	1.301	0
Palld	116.36	0.364	2267.7	2.982	2.274	0.708	0.271	0
Lmna	325.05	0.849	10385.3	1.035	0.328	0.706	0.887	0
Arap1	27.87	1.279	2409.5	-0.445	-1.15	0.705	0.922	0
Hmox1	23.2	0.356	506.6	0.84	0.136	0.705	1.514	0
Arhgef2	28.35	0.356	1200.9	0.818	0.117	0.701	0.582	0
Litaf	107.81	0.403	286.4	-0.458	-1.156	0.697	0.763	0
Jpt1	30.61	0.902	1380.6	0.296	-0.402	0.697	0.714	0
Shf	30.44	1.418	443.2	0.831	0.139	0.693	0.618	0
Col18a1	32.79	0.756	3608.8	2.229	1.54	0.689	2.27	0
Thy1	70.49	4.303	785.6	3.696	3.013	0.683	1.175	1
Pfkp	82.34	0.941	1390.4	-1.105	-1.787	0.682	0.532	0
Gadd45b	478.65	3.197	442.0	-0.789	-1.465	0.676	0.366	1
Epb41l2	97.06	0.437	4997.7	1.039	0.375	0.664	0.328	0
Jag1	22.0	0.452	721.4	2.583	1.928	0.655	1.279	0
Larp6	26.76	1.215	218.1	1.763	1.109	0.654	0.419	0
Vstm4	20.47	0.576	299.6	1.823	1.171	0.652	0.968	0
Armc10	25.91	1.001	539.4	3.535	2.883	0.652	0.128	0
Cerk	21.29	0.376	647.3	0.921	0.272	0.648	0.54	0
Zfand2a	21.87	0.873	107.8	-2.293	-2.94	0.647	0.981	0
Mid1	22.97	0.553	256.0	2.438	1.792	0.646	0.09	0
Nrbf2	32.19	1.187	90.9	0.808	0.165	0.643	1.225	0
Lyst	23.96	0.072	1037.0	1.181	0.54	0.641	0.812	0
Tgfb1i1	35.82	4.091	258.9	1.048	0.407	0.641	0.714	1
Perp	26.95	4.016	87.7	1.993	1.354	0.639	0.825	1
Cd320	59.75	5.187	823.3	1.49	0.852	0.638	0.432	1
Arl5b	31.03	0.493	172.6	0.98	0.343	0.637	0.126	0
Foxp1	44.08	0.068	591.3	1.102	0.467	0.635	0.804	0
Atp1b3	124.14	0.369	1912.5	-1.276	-1.908	0.633	0.601	0
Pdlim5	112.16	0.328	831.9	0.825	0.196	0.629	0.538	0
Metrn	75.24	2.8	498.7	-1.776	-2.398	0.621	0.951	1
Ogn	94.24	2.4	6617.5	2.558	1.937	0.621	1.428	1
Jade1	82.95	1.264	419.1	1.977	1.358	0.619	0.615	0
Angptl2	484.89	1.731	10146.9	0.573	-0.045	0.618	0.188	0
Pygb	28.78	0.696	2739.7	1.635	1.021	0.614	0.846	0
Myh9	88.1	0.343	9214.0	1.603	0.991	0.612	0.857	0
Terf1	36.16	0.98	177.9	-0.64	-1.249	0.609	1.198	0
Pole4	30.61	3.692	180.3	1.05	0.441	0.609	0.161	1
Wnt5a	57.22	2.95	448.9	1.228	0.619	0.609	0.692	1
Mxi1	46.66	1.111	281.7	0.94	0.333	0.607	0.353	0
Hmgn2	274.32	3.926	81.6	4.266	3.661	0.605	0.662	1
Wdr82	38.62	0.611	648.5	0.516	-0.089	0.605	0.232	0
Ly6e	81.65	5.281	493.7	0.868	0.265	0.603	0.286	1
Synj2	22.33	0.237	300.4	1.926	1.325	0.601	1.062	0
Dcn	1129.41	9.235	29860.1	1.503	0.904	0.6	0.314	1
Cbfb	48.98	0.276	1318.4	0.456	-0.142	0.598	0.301	0
Zfhx3	89.55	0.279	193.6	1.021	0.425	0.596	0.356	0
Mxra8	74.94	5.415	2450.0	-0.487	-1.082	0.596	0.448	1
Cdkn1a	144.43	1.759	1135.7	-1.507	-2.102	0.596	0.645	0
Tmpo	22.31	0.511	1025.3	2.149	1.555	0.594	0.501	0
Dpysl2	42.16	0.711	1140.9	3.572	2.979	0.593	0.756	0
Igfbp6	26.52	1.805	437.2	1.218	0.628	0.589	3.433	0
Klf6	555.11	1.313	732.0	0.794	0.206	0.588	0.593	0
Timp2	374.42	1.76	4114.8	0.273	-0.315	0.588	0.476	0
Msh3	25.31	0.344	486.7	-0.386	-0.974	0.588	0.442	0
Lzic	33.8	1.633	403.3	-0.875	-1.462	0.587	0.546	0
Rbfox2	60.85	0.38	1721.3	1.367	0.784	0.582	0.547	0
Cln5	38.49	1.985	402.9	1.559	0.977	0.582	0.292	1
Cisd3	25.31	3.625	74.6	0.916	0.334	0.582	0.403	1
Nme4	66.4	7.836	173.0	1.055	0.473	0.582	0.392	1
Fstl1	247.76	2.066	8304.0	1.245	0.663	0.582	0.712	1
Map1lc3b	117.61	1.322	351.2	1.049	0.469	0.58	0.865	0
Mis18bp1	34.5	0.477	486.7	0.975	0.397	0.578	0.688	0
Sun2	64.96	1.054	1460.5	-0.926	-1.503	0.577	0.279	0
Runx1	37.35	0.055	133.9	1.313	0.736	0.577	0.999	0
Abhd2	40.71	0.386	259.4	-0.844	-1.418	0.574	0.942	0
Pxk	23.99	0.425	684.2	1.003	0.432	0.571	0.857	0
Dcun1d4	25.25	0.483	250.1	1.389	0.82	0.57	0.468	0
Igfbp3	148.04	6.471	2029.4	2.554	1.987	0.567	1.882	1
Pdlim2	62.69	6.191	342.0	2.76	2.197	0.563	0.334	1
Pamr1	53.54	0.991	2691.7	1.34	0.777	0.563	0.6	0
Snrpn	52.23	4.394	130.9	-3.446	-4.007	0.561	1.462	1
Kifap3	21.65	0.348	1006.5	0.808	0.254	0.555	0.221	0
Gas2l1	22.17	4.49	678.2	-1.122	-1.676	0.554	0.412	1
Sema4a	22.67	0.095	116.9	-1.875	-2.426	0.551	1.605	0
Nrn1	44.67	4.588	180.0	-2.702	-3.253	0.551	1.088	1
Zcchc24	25.07	0.831	220.0	1.467	0.916	0.55	1.299	0
Col6a3	806.0	0.876	56625.2	0.745	0.195	0.55	0.184	0
Ncald	21.5	0.136	141.2	1.349	0.799	0.55	0.933	0
Limch1	67.4	0.396	1316.8	0.723	0.174	0.549	0.484	0
Hspb8	25.11	0.701	312.2	0.812	0.267	0.544	0.541	0
Midn	173.48	1.36	719.4	-0.657	-1.197	0.54	0.332	0
Sap30	58.8	6.266	217.6	0.816	0.275	0.54	0.594	1
Fam43a	102.53	2.551	536.4	-1.271	-1.808	0.537	0.937	1
Tenm3	26.0	0.164	3919.1	-0.429	-0.965	0.537	0.558	0
Txnrd1	20.77	0.169	1279.3	0.632	0.096	0.536	0.412	0
Axl	39.59	0.925	1823.6	0.907	0.372	0.535	0.912	0
Sertad4	34.31	1.867	490.9	-2.073	-2.609	0.535	0.249	0
Ptprf	31.07	2.656	4028.4	-0.47	-1.005	0.535	0.579	1
Asap1	45.26	0.072	2254.6	1.79	1.259	0.531	0.899	0
Slc39a10	25.91	0.557	848.8	1.018	0.489	0.529	0.388	0
Ldhb	106.58	3.986	976.4	0.943	0.416	0.527	0.169	1
Specc1	25.76	0.211	314.3	0.468	-0.058	0.526	0.884	0
Smc4	68.04	0.802	3413.2	0.463	-0.062	0.526	0.415	0
Utrn	79.79	0.149	4110.6	0.3	-0.224	0.525	0.26	0
Pmepa1	76.65	0.342	943.9	0.454	-0.07	0.524	0.312	0
Ei24	66.15	2.344	675.6	-0.449	-0.973	0.524	0.44	1
Clip2	21.34	0.167	727.3	-1.442	-1.965	0.523	0.319	0
Sgsm2	21.8	0.861	666.5	0.755	0.232	0.522	0.306	0
Svil	38.81	0.141	2124.7	1.583	1.061	0.522	1.356	0
Arhgap42	21.74	0.183	281.4	0.67	0.154	0.516	1.023	0
Trim8	73.69	1.822	893.1	0.71	0.196	0.514	0.19	0
Rassf8	29.98	0.375	485.0	1.078	0.564	0.514	0.382	0
St5	54.89	0.708	1003.2	0.988	0.483	0.505	0.491	0
Paxx	22.37	2.254	384.1	0.848	0.344	0.504	0.463	1
Tmem35b	23.4	7.527	100.9	2.541	2.038	0.503	0.994	1
Slc7a5	45.07	0.211	1396.6	-0.37	-0.872	0.503	0.679	0
Hnrnpa1	481.07	4.358	9726.6	5.503	5.001	0.502	0.311	1
Zeb1	70.81	0.109	787.9	1.228	0.726	0.502	0.616	0
Tagln	27.22	1.102	1257.5	4.129	3.628	0.501	1.301	0
Dync1i1	45.6	0.289	697.8	0.899	0.399	0.5	0.341	0
Rasa3	27.73	0.17	915.8	-0.465	-0.964	0.499	0.059	0
Krt18	21.85	12.088	64.7	4.745	4.246	0.499	0.467	1
Baiap2	33.48	0.349	339.6	0.487	-0.01	0.497	0.248	0
Ccnd2	38.51	0.495	1262.2	0.325	-0.17	0.495	0.335	0
Anp32a	51.64	0.833	1874.0	-0.277	-0.771	0.493	0.274	0
Atp2b4	39.93	0.253	1392.4	0.706	0.215	0.491	0.721	0
Ppm1b	23.86	0.19	824.5	1.129	0.639	0.49	0.161	0
Actn1	128.69	0.898	4505.3	0.481	-0.01	0.49	0.41	0
Mmp14	145.24	2.44	17902.1	0.866	0.376	0.49	0.269	1
Msn	128.07	0.476	4727.9	0.858	0.37	0.488	0.616	0
Amotl1	73.05	0.647	2881.1	0.562	0.075	0.487	0.31	0
Coa5	28.91	2.764	76.7	-1.323	-1.807	0.485	0.158	1
Sbds	71.37	3.64	303.6	-1.219	-1.703	0.484	0.239	1
Dennd4a	20.66	0.043	872.8	0.972	0.493	0.479	0.403	0
Hmgn1	164.29	3.252	288.8	-3.617	-4.095	0.479	0.767	1
Col4a1	85.17	0.799	13936.3	1.006	0.527	0.479	1.972	0
Mtch1	75.73	1.787	4761.6	0.87	0.392	0.478	0.326	0
Aldh1a3	24.48	2.952	2605.2	-1.66	-2.137	0.477	0.505	1
Ntmt1	27.42	1.988	512.3	-0.501	-0.972	0.471	0.465	1
Mmp2	191.9	5.078	38984.1	0.747	0.278	0.469	0.72	1
Cdk6	73.14	0.355	552.1	2.662	2.195	0.467	0.48	0
Zcchc14	24.07	0.251	905.2	-0.358	-0.825	0.467	0.342	0
Scarb1	31.39	0.676	2889.8	-0.989	-1.454	0.466	0.457	0
Rbp4	376.9	6.919	2095.5	-0.545	-1.01	0.466	0.081	1
Atf6	27.66	0.106	659.6	0.659	0.195	0.464	0.507	0
Nup160	22.94	0.317	1514.6	1.174	0.712	0.462	0.34	0
Tpm4	225.99	1.423	3916.5	1.745	1.283	0.461	0.815	0
Nucks1	232.0	1.543	897.5	0.571	0.11	0.461	0.351	0
Lgals8	25.44	0.885	451.6	1.422	0.961	0.461	0.61	0
Zbtb8os	24.69	0.541	154.3	0.742	0.282	0.46	0.079	0
Hes1	70.57	3.185	234.1	0.957	0.498	0.459	1.489	1
Cenpx	33.31	3.014	223.0	-1.058	-1.517	0.458	0.543	1
Atp11b	39.93	0.241	2390.5	0.807	0.351	0.456	0.383	0
Tnip1	36.39	0.369	1543.2	1.419	0.963	0.456	0.525	0
Saraf	115.49	0.798	1850.6	-0.875	-1.329	0.454	0.482	0
Smim4	35.12	0.997	92.5	-1.95	-2.404	0.454	0.693	0
Nudt4	158.83	1.627	232.5	-1.242	-1.692	0.45	0.018	0
Col4a2	58.55	0.733	9940.3	0.743	0.297	0.446	1.884	0
Topors	29.11	0.944	176.5	-4.045	-4.488	0.443	0.283	0
Arl6ip1	75.9	1.057	648.0	0.42	-0.022	0.442	0.344	0
St6galnac4	24.78	1.317	690.5	0.967	0.527	0.439	0.259	0
Rnf24	26.03	0.204	116.8	0.923	0.484	0.439	0.012	0
Traf4	29.65	1.617	1220.5	0.717	0.279	0.438	0.123	0
Akap12	20.49	0.179	660.6	1.294	0.86	0.433	1.702	0
Wee1	31.3	1.345	474.7	1.316	0.883	0.433	0.319	0
Raf1	50.85	0.328	4406.1	-0.301	-0.733	0.432	0.417	0
Hectd2	26.65	0.357	316.3	1.361	0.929	0.432	0.355	0
Trpc1	20.21	0.372	541.3	2.247	1.818	0.43	0.1	0
Gnpda1	31.13	1.633	107.5	1.31	0.881	0.429	1.067	0
Fermt2	102.38	0.584	3871.3	0.443	0.016	0.427	0.463	0
Cfl1	253.83	2.913	6278.0	1.265	0.839	0.426	0.363	1
Ralgds	26.55	0.536	726.5	0.422	-0.002	0.424	0.931	0
Pdlim1	28.31	1.532	420.8	2.669	2.247	0.423	2.263	0
Tubb4b	208.91	2.461	5731.1	1.038	0.616	0.422	0.639	1
Rrm1	30.26	0.873	2495.5	-0.729	-1.15	0.421	0.287	0
Pdxk	49.75	0.557	361.2	1.962	1.543	0.419	0.444	0
Stat1	24.36	0.403	516.2	1.276	0.86	0.416	0.94	0
Hipk2	41.57	0.149	602.5	1.109	0.693	0.416	0.463	0
Socs2	29.4	2.664	50.8	1.765	1.35	0.415	0.975	1
Hacd2	46.39	0.847	425.4	1.161	0.746	0.415	0.22	0
Sntb2	122.89	0.625	456.6	1.102	0.688	0.414	0.415	0
Npm1	661.24	4.088	2551.1	-5.568	-5.98	0.412	0.231	1
Cnrip1	27.51	1.627	128.0	3.104	2.693	0.412	0.854	0
Map4k4	51.83	0.089	5301.9	0.414	0.004	0.41	0.364	0
Rhoq	98.29	0.749	511.3	0.922	0.514	0.408	0.093	0
Klf13	41.47	0.42	65.5	1.356	0.947	0.408	1.017	0
Sema4c	23.29	2.497	999.9	0.369	-0.038	0.407	0.212	1
Sptan1	48.18	0.419	8680.1	0.377	-0.029	0.406	0.718	0
Akap11	35.16	0.641	1738.7	0.41	0.005	0.406	0.326	0
B4galt1	20.33	0.123	795.1	0.613	0.208	0.405	0.66	0
Rnpep	25.7	1.908	2494.9	1.986	1.581	0.404	0.286	0
Ap2a2	24.08	0.446	2516.4	0.795	0.391	0.404	0.396	0
Nudt21	54.48	1.916	1492.6	9.975	9.571	0.404	1.379	0
Spin1	31.79	0.414	938.2	1.052	0.649	0.403	0.23	0
Rpl41	4168.06	5.926	2078.5	5.285	4.882	0.403	0.066	1
Clic3	208.67	4.102	55.1	-2.871	-3.273	0.402	1.142	1
Nop53	181.99	1.789	1821.1	-0.427	-0.828	0.401	0.436	0
Sestd1	33.72	0.233	828.0	1.594	1.197	0.398	0.279	0
Tubb6	35.89	0.389	1245.6	0.656	0.26	0.396	0.456	0
Pim1	66.83	0.899	563.2	-0.444	-0.839	0.395	0.622	0
Numa1	74.48	1.095	6186.0	0.822	0.428	0.394	0.059	0
Camsap2	59.98	0.521	2096.7	0.881	0.488	0.393	0.056	0
Hmga1	51.62	0.739	76.0	7.606	7.213	0.393	0.091	0
Esyt1	23.03	1.476	2107.6	0.832	0.44	0.393	0.427	0
Sms	29.36	0.412	164.7	6.048	5.658	0.391	0.681	0
Dusp14	55.87	1.489	141.7	-1.699	-2.089	0.391	0.788	0
Med28	42.8	1.04	474.4	-4.703	-5.092	0.39	0.417	0
Rbis	89.8	6.867	196.3	0.793	0.403	0.39	0.17	1
Rhob	548.0	9.944	772.0	-0.44	-0.829	0.389	0.718	1
Lgals3	332.99	2.276	5570.3	-0.796	-1.184	0.389	0.495	1
Ier2	136.8	2.086	286.1	-0.775	-1.161	0.386	1.367	1
Csnk2a1	62.34	0.69	981.5	5.068	4.683	0.386	0.808	0
Wasf2	122.34	0.89	1111.8	0.429	0.045	0.385	0.179	0
Rsu1	23.13	0.235	1753.3	0.7	0.316	0.383	0.511	0
Anxa2	556.16	0.992	20879.4	0.489	0.106	0.383	0.421	0
Chp1	41.86	0.729	226.6	-5.921	-6.304	0.383	1.083	0
Rabgap1l	54.63	0.056	482.4	0.425	0.042	0.383	0.193	0
Bicc1	25.14	0.125	2493.0	0.742	0.361	0.382	0.627	0
Cavin1	102.04	1.134	1936.1	-0.417	-0.798	0.381	0.334	0
Shc1	110.86	3.586	2078.9	0.722	0.342	0.38	0.333	1
Ugcg	56.09	0.775	488.9	0.487	0.107	0.38	0.511	0
Ctnnbip1	21.94	1.002	235.5	-0.535	-0.912	0.377	0.33	0
Abl1	22.84	0.131	2608.3	1.032	0.655	0.377	0.34	0
Vim	3568.52	7.262	43829.9	1.681	1.305	0.376	0.417	1
Samd8	24.39	0.388	248.6	0.829	0.458	0.371	0.349	0
Nab1	28.06	0.397	443.0	-0.783	-1.152	0.37	0.595	0
Macf1	113.68	0.185	6372.6	0.834	0.464	0.37	0.273	0
Sfxn3	23.55	1.411	743.7	1.162	0.793	0.369	0.421	0
Pabpc4	159.33	1.666	1954.5	1.818	1.45	0.368	0.126	0
Narf	31.12	0.662	829.9	1.255	0.887	0.368	0.007	0
Golt1b	38.47	0.81	447.7	-2.494	-2.862	0.368	0.224	0
Ehbp1l1	29.79	0.649	1597.2	-0.375	-0.742	0.367	0.764	0
Arrdc3	205.04	2.248	502.3	-0.708	-1.075	0.366	0.455	1
Il10rb	30.85	0.654	296.3	0.717	0.353	0.364	0.49	0
Prdx2	106.83	4.44	2753.8	0.674	0.311	0.364	0.065	1
Crip2	96.77	3.882	1011.6	0.436	0.073	0.363	0.521	1
Gask1a	27.56	1.187	2830.7	3.36	2.997	0.363	0.102	0
Actg1	1392.84	5.048	18094.1	7.786	7.423	0.363	0.346	1
Rpl22l1	112.23	7.756	4452.2	2.066	1.703	0.363	0.347	1
Iah1	28.24	1.624	409.7	1.078	0.717	0.362	0.284	0
Mettl26	93.34	4.729	1311.2	3.597	3.236	0.361	0.515	1
Dyrk2	48.78	1.334	866.9	1.158	0.798	0.361	0.128	0
Ctnna1	100.74	0.331	6013.9	0.401	0.041	0.36	0.448	0
Nudt3	21.75	0.879	771.3	0.822	0.463	0.359	0.099	0
Nono	103.8	2.101	4662.2	1.608	1.25	0.358	0.126	1
Pde4b	80.77	0.211	413.3	-1.597	-1.956	0.358	0.044	0
Rhobtb1	33.09	2.334	653.0	2.961	2.604	0.357	0.212	1
Crebl2	22.53	0.862	129.8	2.435	2.078	0.357	0.139	0
Plxdc2	59.57	0.098	1367.6	0.705	0.35	0.354	1.087	0
Ndufaf8	54.44	3.767	71.1	-3.644	-3.997	0.353	0.37	1
Prr5	20.71	0.47	1204.4	-1.368	-1.721	0.353	0.338	0
Agl	21.11	0.824	1326.2	0.821	0.469	0.353	0.1	0
Sri	83.9	4.814	1020.0	0.368	0.016	0.351	0.375	1
Cdk5rap2	32.81	0.331	1960.7	0.888	0.539	0.35	0.155	0
Prkab2	25.8	1.724	95.9	1.525	1.175	0.349	0.36	0
Suds3	25.94	0.767	669.9	-1.12	-1.469	0.349	0.22	0
Mta3	29.47	0.573	778.1	-0.6	-0.948	0.348	0.225	0
Pon2	28.8	1.237	788.7	1.221	0.874	0.348	0.469	0
Reep3	63.34	0.565	474.7	0.925	0.579	0.345	0.275	0
Ube4b	30.81	0.225	3357.4	-0.309	-0.654	0.345	0.121	0
Rcor1	20.28	0.093	543.7	0.866	0.523	0.343	0.141	0
Ahnak	301.98	1.243	1232.4	0.485	0.143	0.342	0.276	0
Rps9	1227.68	3.614	8368.2	-1.138	-1.479	0.342	0.137	1
Srsf3	209.82	1.396	1130.9	2.086	1.745	0.341	0.134	0
Myl6	603.62	2.953	4739.2	0.911	0.571	0.341	0.492	1
Kidins220	49.83	0.507	3355.1	1.228	0.888	0.34	0.053	0
Bri3bp	24.19	1.5	335.3	-1.323	-1.663	0.34	0.315	0
Med21	20.5	0.678	331.0	-1.828	-2.168	0.34	1.172	0
Zyx	36.36	1.928	1821.5	0.431	0.092	0.339	0.27	0
Igfbp2	26.37	9.229	721.2	4.203	3.866	0.337	0.433	1
Calm3	101.42	3.133	1178.0	-1.221	-1.558	0.336	0.423	1
Trio	39.03	0.061	2429.5	1.602	1.266	0.336	0.137	0
Heca	38.89	0.374	275.8	0.704	0.368	0.336	0.417	0
Pdgfrb	20.23	0.951	2848.8	1.867	1.532	0.335	0.898	0
Tfpi	46.2	0.576	74.8	2.225	1.89	0.335	1.053	0
Ddit3	53.69	2.654	197.7	-0.835	-1.169	0.334	0.575	1
Nfia	134.01	0.883	555.6	0.85	0.518	0.332	0.449	0
Rps10	344.71	2.776	11833.9	3.285	2.954	0.332	0.133	1
Bzw2	43.65	0.839	2669.3	1.072	0.742	0.331	0.349	0
Txnip	161.58	2.817	1976.7	0.383	0.052	0.33	0.869	1
Ptms	299.77	4.257	3810.9	-0.649	-0.978	0.33	0.397	1
Acaa2	31.58	1.925	1512.4	1.953	1.624	0.329	0.489	0
Psme1	38.19	1.854	661.2	0.868	0.539	0.329	0.654	0
Stk17b	21.88	0.171	334.6	1.072	0.743	0.329	0.188	0
Dpy19l1	33.25	0.57	1157.4	-0.6	-0.928	0.328	0.47	0
Ndufc1	146.91	6.546	225.0	-3.567	-3.895	0.328	0.012	1
Fau	809.57	3.652	4640.1	7.332	7.005	0.327	0.452	1
Rps19	1611.89	2.482	15326.2	3.743	3.417	0.326	0.228	1
Pnpla2	42.74	1.543	369.1	0.894	0.568	0.326	0.357	0
Jak1	77.38	0.195	2748.2	0.734	0.409	0.325	0.422	0
Foxn3	40.53	0.074	436.2	1.53	1.207	0.324	0.143	0
Psmd9	42.98	1.52	307.6	-0.517	-0.84	0.323	0.146	0
Tuba1b	265.31	2.518	4152.5	3.031	2.708	0.323	0.59	1
Taf11	22.45	0.894	550.6	0.608	0.285	0.322	0.243	0
Sem1	280.5	2.497	2299.8	-1.036	-1.358	0.321	0.093	1
Ctbs	55.29	1.918	490.5	0.587	0.266	0.321	0.381	0
Rpap2	32.78	0.318	320.7	1.333	1.012	0.321	0.33	0
Ypel5	74.56	0.675	272.9	-0.59	-0.91	0.319	0.049	0
Pdgfra	129.28	1.343	2146.3	0.981	0.662	0.319	0.036	0
Sh3d21	22.66	1.282	155.7	-1.445	-1.764	0.319	1.087	0
Selenow	292.48	5.725	1458.8	-3.143	-3.461	0.318	0.299	1
Mrps33	48.41	5.231	196.2	2.417	2.099	0.318	0.067	1
Zdhhc9	88.23	2.472	911.3	-1.064	-1.382	0.318	0.027	1
Vcan	27.59	0.2	10767.7	2.006	1.691	0.315	1.099	0
Irak1	32.42	1.112	1190.7	-1.038	-1.352	0.314	0.182	0
Cpped1	33.86	0.592	516.2	1.272	0.959	0.314	0.367	0
Tuba1c	93.33	1.137	4206.1	2.345	2.033	0.312	0.58	0
Cd55	43.05	0.179	452.3	2.281	1.969	0.312	1.018	0
Eef2k	20.77	0.467	838.2	0.611	0.299	0.312	0.257	0
Dnajb4	60.28	2.036	416.3	-0.762	-1.074	0.312	0.074	1
Ppp1r14b	86.19	2.921	1026.5	2.574	2.263	0.312	0.271	1
Phf21a	31.09	0.156	797.1	-0.338	-0.649	0.311	0.167	0
Ehmt1	29.74	0.118	2282.4	0.625	0.314	0.311	0.158	0
Dyrk3	21.99	0.611	109.6	3.949	3.638	0.311	0.298	0
Psmd11	46.77	0.761	1516.2	0.326	0.016	0.31	0.418	0
Klf2	1176.16	13.241	678.8	1.43	1.121	0.309	0.721	1
Ube2r2	90.43	0.726	1318.0	-0.963	-1.27	0.307	0.352	0
Tnfrsf1a	101.57	2.599	1070.9	-1.457	-1.763	0.306	0.621	1
Prpf38b	79.27	0.924	791.1	-0.876	-1.181	0.306	0.254	0
Hdac8	31.22	0.207	216.5	0.559	0.256	0.303	0.113	0
Arhgef12	59.35	0.365	2418.5	1.082	0.78	0.302	0.316	0
Rps12	2556.27	4.3	9193.7	7.701	7.399	0.302	0.225	1
Vcl	99.37	0.587	1759.3	0.555	0.254	0.302	0.473	0
Tmem43	70.5	2.069	1520.1	-0.355	-0.656	0.301	0.617	1
Nr2f6	27.85	4.407	275.7	-0.673	-0.974	0.3	0.128	1
Hmgxb4	32.1	0.608	428.2	-0.419	-0.719	0.299	0.226	0
Rnf19a	42.0	0.16	1063.8	0.756	0.459	0.297	0.286	0
Pcna	43.54	4.185	1167.2	0.707	0.412	0.295	0.42	1
Ap2s1	78.84	1.594	1969.7	1.031	0.736	0.295	0.403	0
Urod	26.32	2.369	1265.2	0.284	-0.011	0.294	0.208	1
Anapc11	112.8	5.265	595.2	-1.544	-1.838	0.294	0.211	1
Nol3	41.82	2.691	116.8	1.183	0.889	0.294	1.045	1
Gnl3	57.92	1.004	1492.7	-2.646	-2.939	0.293	0.389	0
Usp46	47.28	1.191	292.6	0.438	0.145	0.293	0.264	0
Eif3k	165.44	2.378	4703.0	0.721	0.428	0.293	0.142	1
Baz1a	26.28	0.099	584.0	0.574	0.282	0.293	0.023	0
Fam76b	23.38	0.836	248.5	-0.695	-0.987	0.292	0.068	0
Rest	50.73	0.792	344.9	-1.571	-1.862	0.291	0.042	0
Vdac3	26.51	1.385	1705.9	2.62	2.33	0.29	0.452	0
Smc2	29.9	1.838	1028.3	0.586	0.297	0.289	0.266	0
Etv6	26.11	0.043	213.0	-0.529	-0.818	0.289	0.321	0
Anxa1	413.8	1.934	5057.8	0.796	0.507	0.289	0.649	0
Tm4sf1	412.96	6.256	431.4	1.119	0.831	0.288	1.308	1
Ckap5	23.11	0.43	5299.3	0.988	0.7	0.288	0.078	0
Hsph1	151.67	0.7	1688.7	0.499	0.212	0.288	0.77	0
Lrpap1	85.46	2.359	3083.2	0.362	0.076	0.286	0.092	1
Krr1	40.38	1.302	451.1	-0.812	-1.098	0.286	0.138	0
Riok3	55.98	0.631	1330.8	-1.059	-1.345	0.286	0.148	0
Cbx1	39.8	1.529	795.0	-1.894	-2.18	0.285	0.185	0
Zdhhc17	24.34	0.341	298.2	0.887	0.602	0.285	0.23	0
Ifngr2	60.41	0.533	420.8	0.458	0.173	0.285	0.454	0
Grb2	31.5	0.256	842.9	1.02	0.737	0.283	0.02	0
Rybp	53.83	0.166	201.9	1.718	1.437	0.281	0.412	0
Eif4a1	457.45	2.971	5950.4	3.549	3.269	0.28	0.132	1
Moxd1	36.71	1.614	3135.6	1.594	1.314	0.28	0.312	0
Imp3	21.09	1.848	348.0	-1.906	-2.186	0.28	0.508	0
Sdcbp	132.5	0.762	3106.5	-0.407	-0.686	0.279	0.378	0
Ube2s	72.51	1.643	520.1	0.404	0.125	0.279	0.357	0
Evi5	20.2	0.108	578.8	0.978	0.7	0.278	0.071	0
Plekha5	35.33	0.081	1971.5	1.159	0.881	0.278	0.225	0
