TOTAL refs 1539 | with pmid 1427 | abstracts retrieved 1420
refs whose ABSTRACT reports a longitudinal LENGTH endpoint: 596
  ... of which the graph has NEVER recorded a quantitative finding: 231

ref_id	pmid	year	quant	score	human	title
gemes2024	38712328	2024	NO	7	Y	Implication of Pappalysins and Stanniocalcins in the Bioavailability of IGF-I in Children With Type 1 Diabetes
giorgino2025	40275369	2025	NO	7	Y	Aesthetic lower limb lengthening techniques: a systematic review of efficacy, complications, and patient satisfaction
guo1992	28524403	1992	NO	7	Y	Mathematical modelling of human growth: A comparative study
isaksson1982	7079756	1982	NO	7	Y	Growth hormone stimulates longitudinal bone growth directly
mohnike2026	41615893	2026	NO	7	Y	The CrescNet Registry Achondroplasia Module: Real-World Demographic Data and Clinical Outcomes in Untreated and
montgomery2014	24591126	2014	NO	7	Y	A novel osteogenic oxysterol compound for therapeutic development to promote bone growth: activation of hedgehog
olney2004	15094393	2004	NO	7	Y	Growth factor regulation of human growth plate chondrocyte proliferation in vitro
stokes2006a	17049077	2006	NO	7	Y	Biomechanical spinal growth modulation and progressive adolescent scoliosis--a test of the ''vicious cycle'' pathogeneti
abseyi2026	41213272	2026	NO	6		Pubertal characteristics, final height, and associated factors in patients with nonclassical congenital adrenal
abubakar2022	35877910	2022	NO	6		Roles of Sodium Hydrogen Exchanger (NHE1) and Anion Exchanger (AE2) across Chondrocytes Plasma Membrane during
aguiaroliveira2021	32935264	2021	NO	6	Y	Disruption of the GHRH receptor and its impact on children and adults: The Itabaianinha syndrome
akyuz2006	17139211	2006	NO	6		Static versus dynamic loading in the mechanical modulation of vertebral growth
aloman2025	41141171	2025	NO	6	Y	Mesenchymal Stem Cells in Pediatric Physeal Growth Arrest: A Systematic Review
altman2015	26254742	2015	NO	6		Quantification of skeletal growth, modeling, and remodeling by in vivo micro computed tomography
balemans2001	11181578	2001	NO	6	Y	Increased bone density in sclerosteosis is due to the deficiency of a novel secreted protein (SOST)
baron1993	8459015	1993	NO	6	Y	Effect of chemotherapy on human growth plate
boudin2018	30032985	2018	NO	6		Bi-allelic Loss-of-Function Mutations in the NPR-C Receptor Result in Enhanced Growth and Connective Tissue Abnormalitie
breur1994	7943757	1994	NO	6		Stereological and serial section analysis of chondrocytic enlargement in the proximal tibial growth plate of the
brjesson2010	20564247	2010	NO	6		The role of estrogen receptor α in growth plate cartilage for longitudinal bone growth
chou2021	34490260	2021	NO	6		G-Protein-Coupled Estrogen Receptor-1 Positively Regulates the Growth Plate Chondrocyte Proliferation in Female
chusho2001	11259675	2001	NO	6	Y	Dwarfism and early death in mice lacking C-type natriuretic peptide
courtland2010	20499371	2010	NO	6	Y	Sex-specific regulation of body size and bone slenderness by the acid labile subunit
dobie2015	25833299	2015	NO	6		Increased linear bone growth by GH in the absence of SOCS2 is independent of IGF-1
egerbacher2002	12207170	2002	NO	6	Y	Estrogen receptor-alpha and estrogen receptor-beta are present in the human growth plate in childhood and adolescence,
emons2011_2	21307122	2011	NO	6	Y	Genome-wide screening in human growth plates during puberty in one patient suggests a role for RUNX2 in epiphyseal
espiner2018	30844819	2018	NO	6	Y	Plasma C-Type Natriuretic Peptide: Emerging Applications in Disorders of Skeletal Growth
farnum1993	8443686	1993	NO	6		Determination of proliferative characteristics of growth plate chondrocytes by labeling with bromodeoxyuridine
farnum2000	11014914	2000	NO	6		Quantitative three-dimensional analysis of chondrocytic kinetic responses to short-term stapling of the rat proximal
farnum2003	12508079	2003	NO	6		Effect of short-term fasting on bone elongation rates: an analysis of catch-up growth in young male rats
galetaki2026	39427650	2026	NO	6	Y	Phase 2 Trial of Vosoritide Use in Patients with Hypochondroplasia: A Pharmacokinetic/Pharmacodynamic Analysis
gatyablonski2004	14525912	2004	NO	6		Leptin reverses the inhibitory effect of caloric restriction on longitudinal growth
hodgson2025	40661739	2025	NO	6	Y	Smaller and thinner long bones in children and adolescents with cerebral palsy and other neuromotor impairments
isgaard1988	3197637	1988	NO	6	Y	Pulsatile intravenous growth hormone (GH) infusion to hypophysectomized rats increases insulin-like growth factor
jin2021	34014834	2021	NO	6		Region-specific effects of blocking estrogen receptors on longitudinal bone growth
karlberg1989	2801108	1989	NO	6	Y	A biologically-oriented mathematical model (ICP) for human growth
klopocki2010	20170896	2010	NO	6		Deletion and point mutations of PTHLH cause brachydactyly type E
kochar2025	41684453	2025	NO	6	Y	Effect of timely diagnosis and treatment on growth and body proportionality of children with congenital hypothyroidism
lango2010	20881960	2010	NO	6	Y	Hundreds of variants clustered in genomic loci and biological pathways affect human height
lim2026	41824265	2026	NO	6	Y	Fixed Dosing of Leuprolide Acetate, a GnRH Agonist, in Children with Central Precocious Puberty: A Population
maffei2007	17547681	2007	NO	6	Y	A novel compound heterozygous mutation of the aromatase gene in an adult man: reinforced evidence on the relationship
malina2013	23743792	2013	NO	6		Role of intensive training in the growth and maturation of artistic gymnasts
matsuoka2025a	40714875	2025	NO	6		A Retinoid Antagonist Attenuates Bone Growth Inhibition Caused by Growth Plate Injury in Mice
mcintosh1994	8004099	1994	NO	6	Y	Additional mutations of type X collagen confirm COL10A1 as the Schmid metaphyseal chondrodysplasia locus
mushtaq2004	14749359	2004	NO	6		Insulin-like growth factor-I augments chondrocyte hypertrophy and reverses glucocorticoid-mediated growth retardation
nevarez2026	41574606	2026	NO	6	Y	Small molecule inhibition rescues the skeletal dysplasia phenotype of Trpv4 mutant mice
nicole2000	11101850	2000	NO	6	Y	Perlecan, the major proteoglycan of basement membranes, is altered in patients with Schwartz-Jampel syndrome (chondrodys
pass2012	22228213	2012	NO	6		SOCS2 is the critical regulator of GH action in murine growth plate chondrogenesis
pineault2015	26500224	2015	NO	6		Hox11 genes regulate postnatal longitudinal bone growth and growth plate proliferation
qian2026	42028063	2026	NO	6	Y	C-Type Natriuretic Peptide Derivatives: Orthopaedic Implications in Achondroplasia
racine2018	29915560	2018	NO	6		Heat-Induced Limb Length Asymmetry Has Functional Impact on Weight Bearing in Mouse Hindlimbs
reincke2025	40134702	2025	NO	6	Y	Real-world Outcome of Vosoritide Treatment in Children With Achondroplasia: A 12-month Retrospective Observational
rochira2009	19707181	2009	NO	6	Y	Aromatase deficiency in men: a clinical perspective
roelen2026	42299327	2026	NO	6	Y	Guided growth: Current concepts and novel techniques for harnessing a child''s growth potential
ruizperez2007	17660199	2007	NO	6	Y	Evc is a positive mediator of Ihh-regulated bone growth that localises at the base of chondrocyte cilia
savarirayan2024	37984383	2024	NO	6	Y	Vosoritide therapy in children with achondroplasia aged 3-59 months: a multinational, randomised, double-blind,
saxena2022	34793695	2022	NO	6		Interspecies transcriptomics identify genes that underlie disproportionate foot growth in jerboas
schlechter1986	3464007	1986	NO	6	Y	Evidence suggesting that the direct growth-promoting effect of growth hormone on cartilage in vivo is mediated
seminara2003	14573733	2003	NO	6	Y	The GPR54 gene as a regulator of puberty
shears1998	9590293	1998	NO	6		Mutation and deletion of the pseudoautosomal gene SHOX cause Leri-Weill dyschondrosteosis
sims2000	11067862	2000	NO	6		Bone homeostasis in growth hormone receptor-null mice is restored by IGF-I but independent of Stat5
sttzle1980	7212638	1980	NO	6	Y	Shape-invariant modelling of human growth
thakore2026	41342396	2026	NO	6		miR-433 targets BMP and Indian hedgehog signaling to coordinate murine postnatal growth plate dynamics
van2002	12052459	2002	NO	6		Gender differences in expression of androgen receptor in tibial growth plate and metaphyseal bone of the rat
victora2008	18206223	2008	NO	6	Y	Maternal and child undernutrition: consequences for adult health and human capital
wang1999	10544181	1999	NO	6		Igf1 promotes longitudinal bone growth by insulin-like actions augmenting chondrocyte hypertrophy
wang2004	14765976	2004	NO	6		Evidence supporting dual, IGF-I-independent and IGF-I-dependent, roles for GH in promoting longitudinal bone growth
wang2014	24423331	2014	NO	6	Y	Effects of denosumab treatment and discontinuation on human growth plates
