dataset,platform,gene,array,value,percentile_within_array,p95,p99,med
GSE18338,Agilent GPL9324,NPPC,Early puberty 2 | epiphyseal growth plate sa,8.15,69.3,1,1,1
GSE18338,Agilent GPL9324,NPPC,Late puberty 1 | epiphyseal growth plate sam,8.105,67.5,1,1,1
GSE18338,Agilent GPL9324,NPPC,Late puberty 2 | epiphyseal growth plate sam,8.062,66.3,1,1,1
GSE18338,Agilent GPL9324,NPPC,Pre-puberty 1 | epiphyseal growth plate samp,8.165,70.1,1,1,1
GSE18338,Agilent GPL9324,NPPC,Pre-puberty 2 | epiphyseal growth plate samp,8.111,68.1,1,1,1
GSE18338,Agilent GPL9324,NPR2,Early puberty 1 | epiphyseal growth plate sa,8.335,73.4,1,1,1
GSE18338,Agilent GPL9324,NPR2,Early puberty 2 | epiphyseal growth plate sa,8.085,67.6,1,1,1
GSE18338,Agilent GPL9324,NPR2,Late puberty 1 | epiphyseal growth plate sam,7.825,58.9,1,1,1
GSE18338,Agilent GPL9324,NPR2,Late puberty 2 | epiphyseal growth plate sam,8.232,70.7,1,1,1
GSE18338,Agilent GPL9324,NPR2,Pre-puberty 1 | epiphyseal growth plate samp,8.351,74.6,1,1,1
GSE18338,Agilent GPL9324,NPR2,Pre-puberty 2 | epiphyseal growth plate samp,8.539,78.9,1,1,1
GSE18338,Agilent GPL9324,NPR3,Early puberty 1 | epiphyseal growth plate sa,6.753,17.9,0,0,0
GSE18338,Agilent GPL9324,NPR3,Early puberty 2 | epiphyseal growth plate sa,6.714,14.8,0,0,0
GSE18338,Agilent GPL9324,NPR3,Late puberty 1 | epiphyseal growth plate sam,6.634,11.8,0,0,0
GSE18338,Agilent GPL9324,NPR3,Late puberty 2 | epiphyseal growth plate sam,6.644,12.7,0,0,0
GSE18338,Agilent GPL9324,NPR3,Pre-puberty 1 | epiphyseal growth plate samp,6.86,20.1,0,0,0
GSE18338,Agilent GPL9324,NPR3,Pre-puberty 2 | epiphyseal growth plate samp,6.621,10.0,0,0,0
GSE18338,Agilent GPL9324,PDE10A,Early puberty 1 | epiphyseal growth plate sa,6.615,11.8,0,0,0
GSE18338,Agilent GPL9324,PDE10A,Early puberty 2 | epiphyseal growth plate sa,6.511,7.6,0,0,0
GSE18338,Agilent GPL9324,PDE10A,Late puberty 1 | epiphyseal growth plate sam,6.539,8.7,0,0,0
GSE18338,Agilent GPL9324,PDE10A,Late puberty 2 | epiphyseal growth plate sam,6.392,4.8,0,0,0
GSE18338,Agilent GPL9324,PDE10A,Pre-puberty 1 | epiphyseal growth plate samp,6.603,9.6,0,0,0
GSE18338,Agilent GPL9324,PDE10A,Pre-puberty 2 | epiphyseal growth plate samp,6.581,8.7,0,0,0
GSE18338,Agilent GPL9324,PDE11A,Early puberty 1 | epiphyseal growth plate sa,7.085,33.9,0,0,0
GSE18338,Agilent GPL9324,PDE11A,Early puberty 2 | epiphyseal growth plate sa,6.995,27.6,0,0,0
GSE18338,Agilent GPL9324,PDE11A,Late puberty 1 | epiphyseal growth plate sam,6.777,17.9,0,0,0
GSE18338,Agilent GPL9324,PDE11A,Late puberty 2 | epiphyseal growth plate sam,6.801,19.7,0,0,0
GSE18338,Agilent GPL9324,PDE11A,Pre-puberty 1 | epiphyseal growth plate samp,7.042,29.0,0,0,0
GSE18338,Agilent GPL9324,PDE11A,Pre-puberty 2 | epiphyseal growth plate samp,6.892,21.0,0,0,0
GSE18338,Agilent GPL9324,PDE1A,Early puberty 1 | epiphyseal growth plate sa,6.691,15.2,0,0,0
GSE18338,Agilent GPL9324,PDE1A,Early puberty 2 | epiphyseal growth plate sa,6.618,11.2,0,0,0
GSE18338,Agilent GPL9324,PDE1A,Late puberty 1 | epiphyseal growth plate sam,6.681,13.7,0,0,0
GSE18338,Agilent GPL9324,PDE1A,Late puberty 2 | epiphyseal growth plate sam,7.017,29.4,0,0,0
GSE18338,Agilent GPL9324,PDE1A,Pre-puberty 1 | epiphyseal growth plate samp,6.532,7.5,0,0,0
GSE18338,Agilent GPL9324,PDE1A,Pre-puberty 2 | epiphyseal growth plate samp,6.608,9.5,0,0,0
GSE18338,Agilent GPL9324,PDE1B,Early puberty 1 | epiphyseal growth plate sa,7.187,38.4,0,0,0
GSE18338,Agilent GPL9324,PDE1B,Early puberty 2 | epiphyseal growth plate sa,7.277,39.3,0,0,0
GSE18338,Agilent GPL9324,PDE1B,Late puberty 1 | epiphyseal growth plate sam,7.267,38.9,0,0,0
GSE18338,Agilent GPL9324,PDE1B,Late puberty 2 | epiphyseal growth plate sam,6.992,28.4,0,0,0
GSE18338,Agilent GPL9324,PDE1B,Pre-puberty 1 | epiphyseal growth plate samp,7.422,45.9,0,0,0
GSE18338,Agilent GPL9324,PDE1B,Pre-puberty 2 | epiphyseal growth plate samp,7.35,41.3,1,0,0
GSE18338,Agilent GPL9324,PDE1C,Early puberty 1 | epiphyseal growth plate sa,6.598,11.2,0,0,0
GSE18338,Agilent GPL9324,PDE1C,Early puberty 2 | epiphyseal growth plate sa,6.644,12.0,0,0,0
GSE18338,Agilent GPL9324,PDE1C,Late puberty 1 | epiphyseal growth plate sam,6.703,14.6,0,0,0
GSE18338,Agilent GPL9324,PDE1C,Late puberty 2 | epiphyseal growth plate sam,6.667,13.6,0,0,0
GSE18338,Agilent GPL9324,PDE1C,Pre-puberty 1 | epiphyseal growth plate samp,6.656,11.4,0,0,0
GSE18338,Agilent GPL9324,PDE1C,Pre-puberty 2 | epiphyseal growth plate samp,6.728,13.9,0,0,0
GSE18338,Agilent GPL9324,PDE2A,Early puberty 1 | epiphyseal growth plate sa,7.699,56.6,1,1,1
GSE18338,Agilent GPL9324,PDE2A,Early puberty 2 | epiphyseal growth plate sa,8.394,75.2,1,1,1
GSE18338,Agilent GPL9324,PDE2A,Late puberty 1 | epiphyseal growth plate sam,8.68,80.8,1,1,1
GSE18338,Agilent GPL9324,PDE2A,Late puberty 2 | epiphyseal growth plate sam,8.659,80.2,1,1,1
GSE18338,Agilent GPL9324,PDE2A,Pre-puberty 1 | epiphyseal growth plate samp,7.313,41.4,0,0,0
GSE18338,Agilent GPL9324,PDE2A,Pre-puberty 2 | epiphyseal growth plate samp,8.207,70.6,1,1,1
GSE18338,Agilent GPL9324,PDE3A,Early puberty 1 | epiphyseal growth plate sa,6.677,14.5,0,0,0
GSE18338,Agilent GPL9324,PDE3A,Early puberty 2 | epiphyseal growth plate sa,6.568,9.5,0,0,0
GSE18338,Agilent GPL9324,PDE3A,Late puberty 1 | epiphyseal growth plate sam,6.603,10.8,0,0,0
GSE18338,Agilent GPL9324,PDE3A,Late puberty 2 | epiphyseal growth plate sam,6.602,11.1,0,0,0
GSE18338,Agilent GPL9324,PDE3A,Pre-puberty 1 | epiphyseal growth plate samp,6.758,15.4,0,0,0
GSE18338,Agilent GPL9324,PDE3A,Pre-puberty 2 | epiphyseal growth plate samp,6.786,16.2,0,0,0
GSE18338,Agilent GPL9324,PDE3B,Early puberty 1 | epiphyseal growth plate sa,7.412,47.1,1,1,0
GSE18338,Agilent GPL9324,PDE3B,Early puberty 2 | epiphyseal growth plate sa,7.601,51.8,1,1,1
GSE18338,Agilent GPL9324,PDE3B,Late puberty 1 | epiphyseal growth plate sam,7.498,47.9,1,0,0
GSE18338,Agilent GPL9324,PDE3B,Late puberty 2 | epiphyseal growth plate sam,7.756,56.9,1,1,1
GSE18338,Agilent GPL9324,PDE3B,Pre-puberty 1 | epiphyseal growth plate samp,7.762,58.2,1,1,1
GSE18338,Agilent GPL9324,PDE3B,Pre-puberty 2 | epiphyseal growth plate samp,7.595,50.8,1,1,1
GSE18338,Agilent GPL9324,PDE4A,Early puberty 1 | epiphyseal growth plate sa,7.338,44.4,1,0,0
GSE18338,Agilent GPL9324,PDE4A,Early puberty 2 | epiphyseal growth plate sa,7.194,36.1,0,0,0
GSE18338,Agilent GPL9324,PDE4A,Late puberty 1 | epiphyseal growth plate sam,7.222,37.1,0,0,0
GSE18338,Agilent GPL9324,PDE4A,Late puberty 2 | epiphyseal growth plate sam,7.244,39.0,0,0,0
GSE18338,Agilent GPL9324,PDE4A,Pre-puberty 1 | epiphyseal growth plate samp,7.454,47.2,0,0,0
GSE18338,Agilent GPL9324,PDE4A,Pre-puberty 2 | epiphyseal growth plate samp,7.426,44.4,1,0,0
GSE18338,Agilent GPL9324,PDE4B,Early puberty 1 | epiphyseal growth plate sa,8.584,78.5,1,1,1
GSE18338,Agilent GPL9324,PDE4B,Early puberty 2 | epiphyseal growth plate sa,8.361,74.6,1,1,1
GSE18338,Agilent GPL9324,PDE4B,Late puberty 1 | epiphyseal growth plate sam,7.659,53.6,1,1,1
GSE18338,Agilent GPL9324,PDE4B,Late puberty 2 | epiphyseal growth plate sam,7.921,62.3,1,1,1
GSE18338,Agilent GPL9324,PDE4B,Pre-puberty 1 | epiphyseal growth plate samp,9.016,86.0,1,1,1
GSE18338,Agilent GPL9324,PDE4B,Pre-puberty 2 | epiphyseal growth plate samp,8.166,69.6,1,1,1
GSE18338,Agilent GPL9324,PDE4C,Early puberty 1 | epiphyseal growth plate sa,7.211,39.4,1,0,0
GSE18338,Agilent GPL9324,PDE4C,Early puberty 2 | epiphyseal growth plate sa,7.282,39.5,0,0,0
GSE18338,Agilent GPL9324,PDE4C,Late puberty 1 | epiphyseal growth plate sam,7.386,43.7,1,0,0
GSE18338,Agilent GPL9324,PDE4C,Late puberty 2 | epiphyseal growth plate sam,7.275,40.2,0,0,0
GSE18338,Agilent GPL9324,PDE4C,Pre-puberty 1 | epiphyseal growth plate samp,7.329,42.1,0,0,0
GSE18338,Agilent GPL9324,PDE4C,Pre-puberty 2 | epiphyseal growth plate samp,7.333,40.5,1,0,0
GSE18338,Agilent GPL9324,PDE5A,Early puberty 1 | epiphyseal growth plate sa,7.101,34.5,0,0,0
GSE18338,Agilent GPL9324,PDE5A,Early puberty 2 | epiphyseal growth plate sa,7.332,41.6,0,0,0
GSE18338,Agilent GPL9324,PDE5A,Late puberty 1 | epiphyseal growth plate sam,7.207,36.6,0,0,0
GSE18338,Agilent GPL9324,PDE5A,Late puberty 2 | epiphyseal growth plate sam,7.262,39.6,0,0,0
GSE18338,Agilent GPL9324,PDE5A,Pre-puberty 1 | epiphyseal growth plate samp,7.076,30.5,0,0,0
GSE18338,Agilent GPL9324,PDE5A,Pre-puberty 2 | epiphyseal growth plate samp,7.277,37.9,0,0,0
GSE18338,Agilent GPL9324,PDE9A,Early puberty 1 | epiphyseal growth plate sa,7.152,36.9,0,0,0
GSE18338,Agilent GPL9324,PDE9A,Early puberty 2 | epiphyseal growth plate sa,7.81,58.8,1,1,1
GSE18338,Agilent GPL9324,PDE9A,Late puberty 1 | epiphyseal growth plate sam,7.626,52.3,1,1,1
GSE18338,Agilent GPL9324,PDE9A,Late puberty 2 | epiphyseal growth plate sam,8.088,67.0,1,1,1
GSE18338,Agilent GPL9324,PDE9A,Pre-puberty 1 | epiphyseal growth plate samp,7.01,27.4,0,0,0
GSE18338,Agilent GPL9324,PDE9A,Pre-puberty 2 | epiphyseal growth plate samp,7.917,62.2,1,1,1
GSE18338,Agilent GPL9324,SLC16A10,Early puberty 1 | epiphyseal growth plate sa,8.447,75.8,1,1,1
GSE18338,Agilent GPL9324,SLC16A10,Early puberty 2 | epiphyseal growth plate sa,8.242,71.8,1,1,1
GSE18338,Agilent GPL9324,SLC16A10,Late puberty 1 | epiphyseal growth plate sam,7.922,61.9,1,1,1
GSE18338,Agilent GPL9324,SLC16A10,Late puberty 2 | epiphyseal growth plate sam,8.237,70.9,1,1,1
GSE18338,Agilent GPL9324,SLC16A10,Pre-puberty 1 | epiphyseal growth plate samp,8.067,67.5,1,1,1
GSE18338,Agilent GPL9324,SLC16A10,Pre-puberty 2 | epiphyseal growth plate samp,7.349,41.2,1,0,0
GSE18338,Agilent GPL9324,SLC16A2,Early puberty 1 | epiphyseal growth plate sa,7.945,63.8,1,1,1
GSE18338,Agilent GPL9324,SLC16A2,Early puberty 2 | epiphyseal growth plate sa,7.837,59.7,1,1,1
GSE18338,Agilent GPL9324,SLC16A2,Late puberty 1 | epiphyseal growth plate sam,7.432,45.5,1,0,0
GSE18338,Agilent GPL9324,SLC16A2,Late puberty 2 | epiphyseal growth plate sam,7.496,48.1,1,1,0
GSE18338,Agilent GPL9324,SLC16A2,Pre-puberty 1 | epiphyseal growth plate samp,8.421,76.2,1,1,1
GSE18338,Agilent GPL9324,SLC16A2,Pre-puberty 2 | epiphyseal growth plate samp,7.853,60.0,1,1,1
GSE18338,Agilent GPL9324,SLC7A5,Early puberty 1 | epiphyseal growth plate sa,8.493,76.8,1,1,1
GSE18338,Agilent GPL9324,SLC7A5,Early puberty 2 | epiphyseal growth plate sa,8.677,80.9,1,1,1
GSE18338,Agilent GPL9324,SLC7A5,Late puberty 1 | epiphyseal growth plate sam,8.677,80.7,1,1,1
GSE18338,Agilent GPL9324,SLC7A5,Late puberty 2 | epiphyseal growth plate sam,8.207,70.2,1,1,1
GSE18338,Agilent GPL9324,SLC7A5,Pre-puberty 1 | epiphyseal growth plate samp,8.313,73.7,1,1,1
GSE18338,Agilent GPL9324,SLC7A5,Pre-puberty 2 | epiphyseal growth plate samp,8.671,81.5,1,1,1
GSE18338,Agilent GPL9324,SLCO1C1,Early puberty 1 | epiphyseal growth plate sa,7.0,29.9,0,0,0
GSE18338,Agilent GPL9324,SLCO1C1,Early puberty 2 | epiphyseal growth plate sa,7.377,43.6,1,0,0
GSE18338,Agilent GPL9324,SLCO1C1,Late puberty 1 | epiphyseal growth plate sam,7.892,60.9,1,1,1
GSE18338,Agilent GPL9324,SLCO1C1,Late puberty 2 | epiphyseal growth plate sam,8.037,65.5,1,1,1
GSE18338,Agilent GPL9324,SLCO1C1,Pre-puberty 1 | epiphyseal growth plate samp,6.95,24.5,0,0,0
GSE18338,Agilent GPL9324,SLCO1C1,Pre-puberty 2 | epiphyseal growth plate samp,7.339,40.7,1,0,0
GSE18338,Agilent GPL9324,SOX9,Early puberty 1 | epiphyseal growth plate sa,10.985,97.8,1,1,1
GSE18338,Agilent GPL9324,SOX9,Early puberty 2 | epiphyseal growth plate sa,10.204,95.8,1,1,1
GSE18338,Agilent GPL9324,SOX9,Late puberty 1 | epiphyseal growth plate sam,8.728,81.6,1,1,1
GSE18338,Agilent GPL9324,SOX9,Late puberty 2 | epiphyseal growth plate sam,9.462,91.0,1,1,1
GSE18338,Agilent GPL9324,SOX9,Pre-puberty 1 | epiphyseal growth plate samp,11.348,98.5,1,1,1
GSE18338,Agilent GPL9324,SOX9,Pre-puberty 2 | epiphyseal growth plate samp,11.41,98.9,1,1,1
GSE18338,Agilent GPL9324,THRA,Early puberty 1 | epiphyseal growth plate sa,7.459,48.6,1,1,0
GSE18338,Agilent GPL9324,THRA,Early puberty 2 | epiphyseal growth plate sa,7.435,45.8,1,0,0
GSE18338,Agilent GPL9324,THRA,Late puberty 1 | epiphyseal growth plate sam,7.337,41.8,1,0,0
GSE18338,Agilent GPL9324,THRA,Late puberty 2 | epiphyseal growth plate sam,7.351,43.0,1,0,0
GSE18338,Agilent GPL9324,THRA,Pre-puberty 1 | epiphyseal growth plate samp,7.601,52.9,1,0,1
GSE18338,Agilent GPL9324,THRA,Pre-puberty 2 | epiphyseal growth plate samp,7.707,54.9,1,1,1
GSE18338,Agilent GPL9324,THRB,Early puberty 1 | epiphyseal growth plate sa,9.679,92.1,1,1,1
GSE18338,Agilent GPL9324,THRB,Early puberty 2 | epiphyseal growth plate sa,8.848,83.8,1,1,1
GSE18338,Agilent GPL9324,THRB,Late puberty 1 | epiphyseal growth plate sam,8.573,78.7,1,1,1
GSE18338,Agilent GPL9324,THRB,Late puberty 2 | epiphyseal growth plate sam,8.837,83.3,1,1,1
GSE18338,Agilent GPL9324,THRB,Pre-puberty 1 | epiphyseal growth plate samp,9.496,91.1,1,1,1
GSE18338,Agilent GPL9324,THRB,Pre-puberty 2 | epiphyseal growth plate samp,9.2,89.6,1,1,1
