gene,GP1_2_stem__donor1,GP1_2_stem__donor2,GP1_2_stem__donor3,GP1_2_stem__donor4,GP3_proliferative__donor1,GP3_proliferative__donor2,GP3_proliferative__donor3,GP4_prehypertrophic__donor1,GP4_prehypertrophic__donor2,GP4_prehypertrophic__donor3,GP4_prehypertrophic__donor4,GP5_hypertrophic__donor1,GP5_hypertrophic__donor2,GP5_hypertrophic__donor3,GP5_hypertrophic__donor4
LCOR,54.28,49.12,14.71,27.27,65.72,57.33,33.00,61.09,59.15,38.05,50.00,51.79,49.75,27.80,47.06
SLIT1,1.86,0.73,0.00,0.00,0.67,0.23,0.00,2.01,1.38,0.06,0.00,2.01,0.84,0.07,0.00
ARHGAP19,8.92,7.45,3.56,6.82,10.98,12.08,5.57,7.99,10.99,4.66,9.68,7.81,8.08,3.93,9.80
FRAT1,0.00,2.81,1.03,2.27,0.83,3.52,0.56,1.16,3.49,1.97,1.61,1.56,3.39,1.47,7.84
FRAT2,1.49,3.58,3.10,11.36,2.50,7.85,4.69,1.69,4.96,8.30,11.29,2.46,5.15,5.00,7.84
AL355490.1,1.12,0.81,0.00,0.00,1.00,1.06,0.08,0.64,1.07,0.24,0.00,1.12,0.54,0.10,0.00
RRP12,29.37,11.77,13.79,6.82,45.09,13.83,20.04,31.39,12.13,27.54,27.42,23.21,9.09,18.60,9.80
AL355490.2,1.49,1.02,0.00,0.00,3.99,0.94,0.00,2.44,0.39,0.00,0.00,2.01,0.59,0.00,0.00
PGAM1,13.01,18.41,36.32,25.00,25.46,30.36,76.98,12.23,18.06,81.96,64.52,8.71,18.38,56.73,43.14
EXOSC1,8.92,10.31,9.08,6.82,17.80,13.60,20.91,12.28,11.96,32.44,32.26,6.92,9.21,16.49,29.41
ZDHHC16,8.55,4.56,4.71,0.00,13.98,6.80,14.79,8.63,5.33,20.73,17.74,5.36,3.64,10.97,7.84
MMS19,18.59,15.07,14.71,15.91,30.78,20.16,35.03,21.65,15.06,39.78,33.87,13.39,11.81,26.78,17.65
UBTD1,13.38,7.29,8.16,2.27,30.78,10.79,27.59,20.12,5.18,29.21,25.81,10.04,2.55,18.20,3.92
ANKRD2,1.12,0.41,0.11,0.00,3.33,0.35,0.87,1.27,0.19,0.54,0.00,0.89,0.21,0.32,0.00
