gene,GP1_2_stem__donor1,GP1_2_stem__donor2,GP1_2_stem__donor3,GP1_2_stem__donor4,GP3_proliferative__donor1,GP3_proliferative__donor2,GP3_proliferative__donor3,GP4_prehypertrophic__donor1,GP4_prehypertrophic__donor2,GP4_prehypertrophic__donor3,GP4_prehypertrophic__donor4,GP5_hypertrophic__donor1,GP5_hypertrophic__donor2,GP5_hypertrophic__donor3,GP5_hypertrophic__donor4
AL627309.1,2.97,1.96,0.00,0.00,3.33,1.99,0.56,2.17,2.47,0.54,0.00,1.34,1.59,0.27,1.96
AL627309.5,1.49,2.57,1.49,0.00,8.15,3.05,2.23,4.45,2.49,1.97,6.45,3.57,2.18,1.57,1.96
LINC01409,18.96,9.82,12.30,11.36,27.29,12.66,14.23,22.39,11.43,15.05,14.52,19.42,9.92,11.09,21.57
FAM87B,0.37,0.12,0.11,0.00,0.00,0.00,0.04,0.11,0.12,0.30,0.00,0.22,0.17,0.25,1.96
LINC01128,11.15,6.07,4.94,2.27,13.64,9.50,6.52,12.12,7.34,9.68,14.52,13.39,6.78,4.85,19.61
LINC00115,1.12,1.06,0.92,0.00,1.50,0.35,0.64,1.59,0.87,0.54,1.61,0.45,0.63,0.45,0.00
FAM41C,0.37,0.57,0.46,0.00,0.83,0.70,0.91,0.58,0.63,1.25,1.61,0.22,0.59,0.82,5.88
AL645608.6,3.72,2.40,0.00,0.00,1.00,0.23,0.08,1.43,0.27,0.00,0.00,3.79,0.84,0.00,0.00
AL645608.2,2.23,1.47,0.69,2.27,0.67,0.23,0.56,0.85,0.27,0.54,0.00,3.12,0.21,0.65,1.96
LINC02593,2.60,2.28,2.07,2.27,2.16,0.59,2.15,1.27,0.36,1.31,0.00,2.01,1.09,1.22,11.76
SAMD11,10.04,5.17,1.95,2.27,4.33,1.88,1.99,5.40,1.21,2.57,4.84,5.13,2.14,1.82,15.69
NOC2L,6.69,12.02,14.48,13.64,16.47,14.30,32.37,12.12,11.89,40.92,35.48,6.92,11.10,27.18,25.49
KLHL17,1.12,2.32,2.76,2.27,1.33,2.58,6.04,1.06,2.20,8.24,4.84,1.12,2.51,5.32,7.84
PLEKHN1,1.12,0.90,0.46,2.27,2.50,1.41,2.39,2.44,1.50,2.45,1.61,3.57,1.34,1.59,1.96
PERM1,0.37,0.45,0.23,0.00,0.17,0.12,0.64,0.53,0.22,1.91,0.00,0.00,0.21,0.75,0.00
AL645608.7,1.49,1.06,0.80,0.00,0.50,0.59,0.04,1.16,0.80,0.36,3.23,1.34,0.29,0.10,0.00
HES4,9.67,12.14,4.14,6.82,2.33,3.63,1.31,5.51,5.30,1.85,27.42,2.46,4.36,1.99,9.80
ISG15,4.83,27.82,2.18,2.27,3.16,26.73,1.11,6.35,33.49,1.61,22.58,5.58,26.38,1.37,3.92
AGRN,2.60,4.07,3.22,4.55,4.99,3.05,8.79,4.82,4.07,9.62,9.68,2.68,2.72,7.11,13.73
C1orf159,10.78,11.69,3.68,2.27,21.46,11.02,8.11,12.44,12.42,8.66,9.68,10.04,8.17,5.94,9.80
AL390719.3,0.74,0.98,0.00,0.00,1.00,1.17,0.00,0.58,1.36,0.00,0.00,0.00,0.84,0.00,0.00
LINC01342,0.00,0.08,0.00,0.00,0.17,0.47,0.00,0.58,1.09,0.00,0.00,0.00,0.25,0.02,0.00
TTLL10-AS1,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.05,0.10,0.00,1.61,0.00,0.00,0.05,0.00
TTLL10,0.37,0.65,0.00,0.00,0.33,0.82,0.08,0.48,1.60,0.06,1.61,0.45,0.59,0.07,1.96
TNFRSF18,2.60,3.54,5.98,0.00,2.83,5.98,3.94,1.69,7.19,2.09,4.84,1.34,3.94,3.28,0.00
TNFRSF4,1.12,2.57,4.71,0.00,1.16,4.57,3.82,0.95,4.72,4.12,14.52,0.67,3.06,3.81,0.00
SDF4,16.73,27.33,56.44,40.91,29.78,34.82,78.13,20.06,26.73,89.67,67.74,13.39,22.91,67.15,58.82
B3GALT6,4.46,4.52,10.00,11.36,3.83,5.86,21.31,3.34,5.18,25.99,24.19,2.46,3.60,15.20,11.76
C1QTNF12,0.00,0.24,0.57,2.27,0.00,0.35,0.24,0.05,0.22,0.42,1.61,0.00,0.17,0.57,0.00
UBE2J2,19.33,14.58,13.56,11.36,24.46,19.46,31.93,16.36,15.74,39.01,24.19,13.39,13.99,25.22,29.41
LINC01786,1.12,0.81,0.00,0.00,2.33,1.17,0.08,1.48,0.36,0.06,0.00,0.67,0.50,0.07,0.00
SCNN1D,1.49,1.75,2.18,4.55,2.00,1.76,2.58,0.74,0.99,3.46,0.00,1.34,0.96,3.83,1.96
ACAP3,13.38,9.78,9.54,6.82,15.97,7.97,23.90,11.49,10.41,24.67,11.29,9.82,6.66,18.10,13.73
PUSL1,1.12,1.75,3.91,2.27,1.83,3.05,13.12,1.32,2.06,14.28,11.29,0.22,1.84,7.39,5.88
INTS11,8.92,14.54,19.31,9.09,18.47,20.75,35.59,12.71,14.62,42.47,37.10,10.71,14.07,28.48,41.18
AL139287.1,0.00,0.04,0.00,2.27,0.17,0.00,0.00,0.11,0.02,0.18,0.00,0.00,0.04,0.00,0.00
CPTP,2.23,2.81,6.90,13.64,1.33,5.04,11.33,1.22,4.75,13.26,19.35,1.34,2.81,8.98,5.88
TAS1R3,0.00,0.24,1.15,0.00,0.00,0.59,0.32,0.42,1.99,0.30,0.00,0.00,0.25,0.35,0.00
DVL1,7.81,8.35,24.60,29.55,8.99,8.68,29.82,6.56,6.39,35.48,48.39,6.70,5.36,24.25,35.29
MXRA8,24.54,30.59,77.59,72.73,10.32,13.95,30.82,7.41,6.71,19.06,30.65,16.29,17.88,30.61,70.59
AURKAIP1,7.06,17.47,37.70,20.45,17.97,29.19,73.12,11.01,24.21,84.35,59.68,8.71,18.51,57.90,50.98
CCNL2,41.64,36.01,41.72,47.73,50.25,36.93,58.97,39.54,34.38,64.76,58.06,37.28,28.73,51.50,56.86
MRPL20-AS1,1.86,2.28,3.22,0.00,2.50,3.40,6.44,1.16,2.57,8.36,9.68,0.67,2.05,5.25,7.84
MRPL20,15.99,23.71,31.95,36.36,19.80,29.07,58.61,15.78,28.91,75.69,75.81,10.49,24.08,50.41,56.86
AL391244.2,0.74,0.45,0.34,0.00,1.33,0.35,0.95,0.42,0.51,0.96,0.00,0.00,0.17,0.57,1.96
ANKRD65,1.86,2.04,9.43,11.36,2.00,2.34,13.92,1.11,0.73,12.07,16.13,2.46,0.92,9.95,19.61
VWA1,3.72,5.34,10.69,6.82,3.66,5.16,21.15,3.81,2.62,21.68,24.19,3.79,4.86,15.72,23.53
ATAD3C,2.23,1.63,2.76,2.27,5.16,1.64,5.17,3.12,2.23,7.29,0.00,2.23,1.42,3.76,3.92
ATAD3B,13.01,7.54,6.55,0.00,22.30,12.19,20.52,15.62,8.57,28.61,20.97,14.06,6.78,17.91,21.57
ATAD3A,5.95,4.40,10.23,0.00,20.30,9.96,34.59,8.36,6.20,39.84,19.35,4.69,4.27,23.92,17.65
TMEM240,1.12,2.00,4.94,0.00,0.67,1.52,3.54,0.53,0.68,2.69,0.00,0.45,0.84,2.59,5.88
SSU72,13.01,23.95,34.83,27.27,24.29,30.25,55.15,18.53,29.54,70.43,62.90,15.85,24.33,47.20,43.14
AL645728.1,0.37,1.22,1.84,0.00,1.83,1.76,1.07,1.27,1.04,1.37,6.45,0.67,0.96,1.27,1.96
FNDC10,0.37,0.86,2.87,0.00,1.33,1.52,5.92,0.48,0.80,2.33,4.84,0.22,0.75,2.81,0.00
AL691432.2,1.49,1.71,4.14,4.55,1.83,1.52,2.31,1.38,0.90,2.69,0.00,0.89,0.80,2.71,3.92
MIB2,7.43,9.69,17.47,2.27,14.31,12.08,37.18,9.42,8.09,42.71,32.26,6.47,7.54,29.10,17.65
MMP23B,0.37,2.24,0.80,0.00,1.33,3.87,4.77,0.90,1.60,3.11,8.06,0.89,3.06,3.21,19.61
CDK11B,20.07,18.04,4.02,6.82,25.62,25.44,10.70,22.98,23.34,12.78,25.81,18.75,20.35,8.53,19.61
FO704657.1,0.37,0.73,0.92,2.27,1.00,0.35,0.83,0.69,0.75,0.66,0.00,0.89,0.71,0.80,3.92
SLC35E2B,13.75,13.48,5.98,6.82,19.63,17.58,9.98,16.94,15.88,10.16,29.03,12.95,13.61,8.13,13.73
CDK11A,18.96,20.24,8.16,13.64,26.79,25.21,14.79,20.38,22.91,17.26,20.97,22.10,22.82,11.71,11.76
SLC35E2A,13.01,12.18,4.83,6.82,15.81,13.60,7.04,12.97,13.00,9.50,20.97,10.04,11.43,7.44,11.76
NADK,11.15,13.40,11.26,13.64,14.81,15.59,23.50,13.39,18.64,29.15,35.48,10.04,10.09,17.61,21.57
GNB1,63.20,60.86,46.44,38.64,77.87,72.22,76.98,72.10,69.56,87.40,79.03,66.07,60.59,64.21,60.78
CALML6,0.37,0.08,0.23,0.00,0.17,0.35,0.40,0.32,0.17,0.30,3.23,0.00,0.04,0.15,0.00
TMEM52,0.74,0.12,0.11,0.00,0.00,0.23,0.28,0.21,0.82,1.02,0.00,0.00,0.34,0.45,1.96
CFAP74,0.00,0.37,0.00,2.27,0.67,0.59,0.04,0.48,0.27,0.30,3.23,0.00,0.50,0.07,0.00
GABRD,0.37,0.08,0.46,0.00,0.17,0.47,0.48,0.53,0.27,0.36,4.84,0.00,0.04,0.20,0.00
PRKCZ,22.30,9.94,36.44,22.73,46.59,20.16,50.78,25.78,9.64,66.25,25.81,14.29,8.92,43.50,5.88
AL590822.2,0.37,0.77,1.38,6.82,1.50,0.82,3.78,1.27,0.85,4.66,17.74,0.89,0.46,2.36,3.92
FAAP20,14.87,18.57,40.69,25.00,22.80,22.27,54.87,15.25,18.31,54.42,48.39,12.28,15.37,40.96,50.98
AL590822.1,4.83,2.04,0.11,0.00,5.49,1.06,0.16,4.02,0.58,0.12,0.00,2.68,1.26,0.20,0.00
SKI,63.20,37.39,32.87,29.55,75.21,44.55,38.09,63.53,32.01,40.92,50.00,62.05,40.16,31.43,50.98
AL590822.3,4.83,1.18,1.95,0.00,3.33,1.29,4.65,2.81,0.92,5.85,6.45,1.79,0.25,3.83,3.92
MORN1,8.18,6.72,4.71,2.27,15.64,6.45,4.41,9.79,5.42,6.03,6.45,6.47,3.98,3.81,0.00
AL513477.2,0.00,0.69,0.57,2.27,0.00,0.70,1.15,0.05,0.44,0.84,4.84,0.00,0.21,0.85,0.00
RER1,14.50,29.29,40.57,38.64,29.62,39.62,76.70,17.95,33.17,86.80,59.68,15.85,29.23,60.46,64.71
PEX10,2.60,5.05,10.34,6.82,8.65,8.44,19.52,4.66,5.84,25.51,20.97,2.90,4.23,15.87,9.80
PLCH2,0.74,3.87,0.00,0.00,2.00,5.51,0.00,0.58,2.35,0.12,0.00,2.90,7.08,0.05,0.00
PANK4,0.74,3.75,1.95,4.55,2.66,4.45,6.04,1.69,4.43,7.65,16.13,3.12,3.52,4.10,13.73
HES5,0.00,0.04,0.23,0.00,0.17,0.35,0.04,0.11,0.17,0.18,1.61,0.00,0.04,0.07,0.00
AL139246.5,0.74,1.91,0.11,2.27,0.50,2.58,0.08,0.90,3.34,0.12,0.00,1.56,2.14,0.12,0.00
TNFRSF14-AS1,0.37,4.64,0.23,0.00,1.83,4.92,0.04,2.75,5.54,0.12,6.45,1.34,5.03,0.10,1.96
TNFRSF14,4.83,24.73,7.01,4.55,3.83,21.10,1.75,10.06,32.74,2.57,30.65,8.48,24.12,3.31,23.53
AL139246.3,0.37,1.02,0.11,0.00,0.50,1.17,0.00,1.01,2.20,0.00,0.00,1.34,0.50,0.10,0.00
PRXL2B,0.37,2.32,1.61,0.00,1.33,2.81,3.38,1.27,2.91,3.52,14.52,1.34,2.05,1.77,13.73
MMEL1,0.00,0.12,0.11,0.00,0.17,0.12,0.00,0.00,0.24,0.06,1.61,0.00,0.13,0.05,0.00
TTC34,2.23,0.65,0.69,0.00,1.16,0.47,0.40,0.79,0.51,0.54,1.61,0.67,0.63,0.62,0.00
PRDM16-DT,0.00,0.53,0.57,0.00,0.17,0.35,0.00,0.74,0.53,0.06,14.52,0.22,0.38,0.15,0.00
PRDM16,12.64,6.07,1.15,4.55,4.83,2.58,0.28,10.11,2.64,0.84,12.90,3.35,2.05,0.80,1.96
MEGF6,2.97,4.28,0.80,0.00,3.83,5.16,1.07,4.13,3.46,0.60,11.29,3.35,4.52,0.65,1.96
TPRG1L,5.95,4.89,14.60,6.82,6.16,7.15,26.72,5.08,6.22,40.92,35.48,2.01,5.32,24.87,29.41
WRAP73,1.86,5.54,4.48,4.55,4.33,7.62,7.51,4.08,7.43,11.71,11.29,2.68,6.37,6.84,19.61
TP73,0.37,0.37,0.00,0.00,3.66,1.52,1.59,1.48,1.94,0.12,0.00,0.22,0.38,0.25,0.00
SMIM1,0.00,1.30,2.76,4.55,0.33,2.58,1.91,0.16,2.45,5.68,3.23,0.45,0.92,3.33,0.00
LRRC47,9.29,9.45,13.68,6.82,12.48,12.54,27.91,6.72,9.01,36.32,25.81,5.36,8.67,22.58,23.53
CEP104,18.96,14.54,14.14,11.36,25.29,16.18,29.38,20.43,15.67,38.65,33.87,16.74,13.11,23.35,23.53
DFFB,4.09,6.03,2.64,4.55,6.99,5.39,5.69,5.93,6.76,8.06,11.29,6.03,5.86,5.35,11.76
C1orf174,2.23,8.15,5.52,2.27,3.66,9.03,13.68,2.91,9.13,15.95,29.03,2.01,8.08,8.80,13.73
LINC01134,0.00,0.12,0.23,0.00,1.00,1.06,0.40,0.74,0.48,0.84,1.61,0.67,0.08,0.20,3.92
AL805961.1,0.00,0.12,0.23,0.00,0.00,0.12,0.20,0.11,0.10,0.06,1.61,0.00,0.04,0.10,0.00
AJAP1,1.49,0.33,0.00,0.00,3.83,0.47,0.00,5.51,1.60,0.42,8.06,1.79,0.38,0.22,1.96
NPHP4,20.07,7.66,4.02,6.82,33.28,14.30,10.50,25.15,9.83,11.53,9.68,13.84,4.86,8.65,3.92
KCNAB2,10.78,23.87,2.64,0.00,16.14,34.11,3.66,18.63,28.74,3.17,4.84,15.85,33.33,2.29,3.92
CHD5,0.37,0.37,0.11,0.00,1.00,0.23,0.12,0.74,0.99,0.18,0.00,0.45,0.50,0.10,3.92
RPL22,46.10,78.09,94.94,79.55,61.40,91.21,97.61,49.02,84.38,98.92,96.77,50.67,89.15,92.56,92.16
RNF207,4.46,1.30,4.71,4.55,5.66,1.76,9.26,4.39,1.96,11.17,9.68,1.79,0.80,6.54,3.92
ICMT,4.83,4.60,8.39,11.36,10.32,7.62,30.38,5.45,4.77,32.74,24.19,2.46,3.22,18.90,27.45
LINC00337,0.00,0.12,0.00,0.00,0.00,0.35,0.24,0.21,0.12,0.18,1.61,0.00,0.08,0.17,0.00
GPR153,7.43,6.84,3.68,2.27,18.14,3.28,8.43,10.96,1.79,19.95,12.90,10.94,5.36,9.03,35.29
ACOT7,17.10,6.52,5.63,4.55,27.95,12.19,12.29,20.06,6.97,15.71,12.90,14.73,6.45,9.60,9.80
AL031848.2,1.49,0.53,0.80,0.00,0.17,0.70,0.56,0.69,0.58,0.90,3.23,0.22,0.54,0.85,1.96
HES2,0.37,0.24,0.00,0.00,0.50,0.23,0.68,0.26,0.22,0.36,1.61,1.34,0.21,0.30,3.92
ESPN,0.00,0.57,0.23,0.00,1.16,1.06,0.56,0.74,0.39,0.36,0.00,0.22,0.21,0.57,1.96
TNFRSF25,1.12,8.02,3.91,2.27,3.66,8.68,2.39,3.07,6.49,2.51,16.13,4.69,9.25,3.01,17.65
PLEKHG5,3.35,4.52,1.49,0.00,6.82,3.28,2.19,5.88,4.02,2.15,14.52,5.13,1.84,1.89,9.80
NOL9,11.90,11.04,11.49,6.82,22.63,14.07,22.98,15.35,13.68,30.23,25.81,11.16,10.09,20.32,29.41
TAS1R1,0.74,1.14,0.34,0.00,1.50,0.94,1.39,1.06,1.38,2.15,1.61,0.45,0.50,1.47,0.00
ZBTB48,5.95,6.27,10.34,4.55,9.82,9.14,11.13,6.46,8.35,14.40,12.90,6.47,6.07,10.67,11.76
KLHL21,18.59,9.65,32.64,13.64,28.29,15.71,53.08,18.21,7.99,72.10,43.55,15.40,6.74,46.68,23.53
PHF13,6.32,4.56,11.38,6.82,7.15,6.10,12.56,4.98,3.34,13.74,20.97,6.47,2.76,11.84,11.76
THAP3,6.69,5.25,6.55,2.27,4.99,5.39,10.38,5.13,5.21,12.54,22.58,3.12,4.31,8.73,11.76
DNAJC11,19.33,13.97,5.98,6.82,26.12,16.53,16.42,20.22,15.62,20.67,20.97,14.51,12.19,11.09,11.76
LINC01672,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.00,0.00,0.00,0.02,1.96
AL591163.1,1.12,1.43,0.11,0.00,0.50,2.46,0.24,0.64,1.89,0.06,0.00,0.00,1.21,0.10,0.00
CAMTA1-DT,1.12,0.81,0.00,0.00,2.16,1.17,0.16,2.12,1.86,0.36,0.00,1.34,0.71,0.22,0.00
CAMTA1,52.79,32.91,23.45,31.82,58.90,39.86,40.16,54.26,44.14,48.39,53.23,48.88,31.37,30.94,54.90
CAMTA1-IT1,0.00,0.00,0.11,0.00,0.00,0.00,0.16,0.00,0.02,0.12,1.61,0.00,0.00,0.05,0.00
AL359881.1,0.00,0.04,0.11,0.00,0.00,0.12,0.20,0.16,0.12,0.06,1.61,0.00,0.04,0.17,0.00
VAMP3,8.55,11.08,18.05,18.18,13.14,14.07,33.60,10.11,12.64,46.12,59.68,7.14,9.72,27.28,33.33
PER3,71.38,42.20,47.13,31.82,72.88,33.41,63.58,58.81,28.21,64.93,66.13,40.62,19.68,50.96,49.02
Z98884.1,2.60,3.22,0.00,0.00,2.50,2.58,0.08,2.38,1.62,0.18,1.61,0.89,1.42,0.05,1.96
UTS2,0.37,1.02,0.11,0.00,0.33,0.82,0.08,0.21,0.53,0.00,1.61,0.45,1.42,0.07,0.00
TNFRSF9,0.74,2.85,0.11,0.00,3.99,3.87,0.24,1.80,1.62,0.54,0.00,6.03,3.94,0.52,0.00
PARK7,17.47,33.20,50.23,47.73,34.78,47.71,83.58,22.23,35.21,93.01,70.97,17.86,36.22,68.66,70.59
AL034417.4,4.83,4.68,0.34,0.00,6.16,4.34,1.55,3.02,2.98,2.57,1.61,6.03,4.82,1.82,5.88
AL034417.3,7.43,2.61,1.26,0.00,3.16,3.05,1.23,2.96,1.89,2.51,1.61,7.59,2.68,2.16,7.84
ERRFI1,54.65,28.11,29.43,45.45,43.26,19.23,39.56,35.68,14.58,58.12,40.32,45.98,22.49,42.03,84.31
AL034417.2,11.15,8.80,1.03,0.00,5.49,1.76,0.52,6.09,1.33,0.42,0.00,10.94,2.26,0.75,7.84
SLC45A1,1.12,1.38,0.57,0.00,2.50,1.76,0.64,1.01,1.77,0.36,4.84,0.89,0.96,0.55,0.00
RERE,80.67,73.56,28.05,34.09,88.02,78.55,33.20,84.60,84.43,39.49,51.61,67.86,66.37,30.02,39.22
RERE-AS1,1.86,2.36,0.69,0.00,1.66,2.34,0.12,0.79,2.98,0.18,0.00,1.56,1.84,0.27,0.00
ENO1,30.86,33.97,77.47,56.82,55.74,48.18,97.50,30.65,32.42,97.73,67.74,25.89,34.00,88.46,50.98
ENO1-AS1,0.00,0.37,1.03,0.00,0.00,0.23,0.76,0.37,0.44,0.78,0.00,0.00,0.17,0.47,0.00
CA6,0.00,0.37,1.03,0.00,0.50,0.35,0.36,0.26,0.22,0.00,0.00,0.00,0.34,0.25,1.96
SLC2A5,1.86,0.57,0.00,0.00,0.50,0.59,0.40,0.95,2.35,0.66,0.00,0.89,0.54,0.32,0.00
GPR157,7.81,4.44,6.90,2.27,11.31,7.85,10.78,9.48,5.42,13.98,9.68,4.91,3.77,9.52,5.88
MIR34AHG,8.55,4.81,4.02,0.00,7.49,2.93,1.87,6.19,2.98,1.02,0.00,2.68,0.75,1.34,0.00
LNCTAM34A,1.12,0.65,0.11,0.00,1.00,0.35,0.44,0.42,0.48,0.18,0.00,0.22,0.08,0.25,0.00
H6PD,17.10,17.47,30.46,29.55,23.29,18.99,21.03,16.62,14.14,25.33,30.65,16.96,13.19,20.59,33.33
SPSB1,42.38,11.77,20.80,15.91,56.74,17.94,30.97,36.58,5.96,42.77,27.42,20.09,4.19,27.88,15.69
LINC02606,1.49,0.45,0.57,2.27,1.33,0.70,0.52,0.42,0.17,0.60,0.00,0.00,0.29,0.35,1.96
SLC25A33,27.88,13.44,14.94,11.36,31.78,17.70,11.29,27.21,17.02,13.50,11.29,25.45,11.43,9.77,3.92
TMEM201,3.35,2.97,4.48,6.82,4.66,3.87,11.61,2.59,2.76,9.20,9.68,2.01,1.63,6.99,11.76
PIK3CD,8.55,26.48,5.63,2.27,17.30,33.41,7.08,13.82,31.19,8.54,9.68,14.29,31.32,6.34,3.92
PIK3CD-AS2,1.12,3.95,3.91,4.55,3.33,5.28,12.60,1.54,6.37,14.10,4.84,1.34,3.94,10.35,3.92
CLSTN1,31.23,31.98,48.74,54.55,42.76,37.87,63.34,27.05,29.47,66.31,61.29,21.88,27.14,51.21,35.29
CTNNBIP1,15.99,14.58,14.25,11.36,21.30,19.81,22.78,17.31,14.31,31.06,43.55,16.74,11.85,18.58,31.37
AL357140.1,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,1.61,0.00,0.04,0.00,0.00
LZIC,15.99,17.03,23.10,22.73,21.30,19.34,34.19,12.71,12.81,41.22,58.06,11.16,13.48,26.81,35.29
AL357140.2,0.00,0.12,0.00,0.00,0.17,0.00,0.16,0.16,0.17,0.12,1.61,0.00,0.08,0.07,0.00
NMNAT1,7.43,6.76,4.83,0.00,12.98,5.63,7.99,9.48,6.34,10.81,12.90,6.47,3.22,7.24,9.80
RBP7,0.37,4.11,0.46,0.00,4.49,5.51,1.03,3.97,9.71,1.02,30.65,1.12,1.97,0.52,1.96
UBE4B,42.75,37.35,17.93,6.82,57.07,40.80,27.95,47.11,41.55,33.93,41.94,36.83,30.19,24.02,33.33
KIF1B,53.16,34.46,19.20,9.09,61.90,34.82,29.58,53.15,31.55,35.19,45.16,37.72,24.20,25.22,23.53
AL139424.3,0.00,0.41,0.00,0.00,1.16,0.82,0.20,0.64,0.56,0.42,1.61,0.00,0.42,0.30,0.00
PGD,13.01,9.00,12.07,6.82,14.48,12.08,19.36,12.81,12.28,28.91,27.42,10.71,6.57,17.86,15.69
CENPS,4.83,2.32,4.71,0.00,7.15,4.34,12.45,3.07,2.37,13.44,6.45,1.56,1.63,7.83,11.76
CORT,0.37,0.33,0.11,0.00,0.67,0.59,1.19,0.21,0.36,1.31,0.00,0.67,0.34,0.97,9.80
DFFA,18.96,11.89,18.05,9.09,25.96,16.76,28.67,17.31,10.65,32.86,32.26,13.84,10.80,20.99,29.41
PEX14,27.51,26.27,3.45,2.27,30.95,30.13,6.52,29.17,27.19,8.12,11.29,23.21,22.49,5.52,13.73
CASZ1,2.23,2.61,0.34,2.27,6.32,4.45,0.48,5.24,3.15,0.48,8.06,4.24,4.52,0.52,1.96
TARDBP,26.02,21.83,30.00,40.91,36.27,27.78,55.15,24.14,23.75,60.22,59.68,18.30,17.17,43.12,54.90
MASP2,0.37,0.90,0.11,0.00,1.00,1.64,0.28,0.95,1.65,0.48,1.61,0.45,0.67,0.20,0.00
AL109811.2,1.86,5.62,3.33,4.55,2.16,5.74,5.88,1.48,3.80,5.62,6.45,1.12,3.89,4.28,3.92
SRM,5.95,12.55,27.59,15.91,18.14,19.70,74.43,13.66,19.81,87.40,51.61,8.71,11.81,57.65,41.18
EXOSC10,17.47,14.22,11.72,9.09,22.96,17.35,20.72,17.73,13.27,24.31,30.65,14.06,12.90,17.28,29.41
AL109811.1,0.37,2.73,0.46,0.00,2.83,3.17,0.20,1.22,2.52,0.24,0.00,0.67,1.93,0.15,0.00
EXOSC10-AS1,0.00,0.04,0.00,0.00,0.33,0.12,1.95,0.21,0.05,2.81,0.00,0.22,0.17,1.22,1.96
MTOR,22.30,20.08,7.36,11.36,37.10,24.62,17.50,30.76,26.63,23.12,27.42,22.10,20.90,13.28,19.61
UBIAD1,2.97,5.13,4.37,0.00,7.15,6.45,12.49,5.66,7.02,13.44,19.35,5.36,5.78,7.81,11.76
AL031731.1,0.00,1.06,0.46,0.00,1.00,1.52,0.44,0.64,0.61,0.42,0.00,0.22,0.29,0.35,0.00
FBXO2,12.27,9.69,58.97,29.55,24.46,21.22,79.01,11.59,4.29,85.54,32.26,2.68,3.77,64.66,7.84
FBXO44,4.46,7.62,13.91,4.55,7.15,10.55,18.37,3.86,5.98,19.77,9.68,1.56,5.95,13.26,17.65
FBXO6,1.49,4.68,3.22,0.00,1.83,5.16,5.65,1.80,6.30,7.53,6.45,2.01,4.82,5.74,9.80
MAD2L2,3.35,4.77,7.59,2.27,6.99,10.55,19.80,2.75,7.58,19.35,20.97,2.23,6.24,13.68,25.49
DRAXIN,0.37,0.37,0.34,2.27,0.67,0.94,0.24,0.53,0.48,0.30,0.00,0.22,0.25,0.47,3.92
AGTRAP,6.32,12.99,14.48,13.64,10.15,14.77,35.75,6.46,8.57,39.43,35.48,4.24,12.65,26.68,25.49
C1orf167,0.37,1.22,0.11,0.00,0.67,1.41,0.04,1.01,3.58,0.36,3.23,0.22,0.84,0.60,1.96
MTHFR,13.01,13.97,5.75,6.82,14.48,13.83,10.06,18.95,22.59,15.35,27.42,9.15,11.98,11.09,19.61
CLCN6,14.50,11.81,5.63,9.09,17.30,8.79,11.41,19.43,16.05,17.56,17.74,8.48,7.83,12.14,21.57
NPPA,0.00,0.53,0.00,0.00,0.33,0.82,0.04,0.58,1.23,0.00,0.00,0.45,0.59,0.02,0.00
AL021155.5,3.72,4.85,9.89,20.45,4.83,4.81,6.28,7.46,7.05,7.83,38.71,6.25,3.18,7.36,7.84
KIAA2013,10.04,15.15,26.21,25.00,14.14,19.93,44.37,9.69,14.43,56.87,50.00,6.03,11.06,36.98,37.25
PLOD1,17.84,15.56,64.83,45.45,40.93,25.44,89.38,22.18,9.69,91.58,53.23,10.71,6.57,75.93,39.22
MFN2,12.27,12.02,11.84,9.09,22.96,14.07,23.02,16.15,12.71,28.79,35.48,12.50,9.09,20.14,31.37
MIIP,5.20,6.88,10.23,2.27,8.49,9.61,18.65,5.13,6.78,26.70,14.52,3.35,4.94,17.81,15.69
TNFRSF8,2.23,1.26,0.46,0.00,5.32,2.70,1.11,2.54,1.48,1.25,4.84,2.68,0.63,0.85,0.00
TNFRSF1B,14.13,29.90,1.84,0.00,17.64,30.01,0.48,22.87,36.17,0.96,37.10,26.12,27.14,0.95,0.00
VPS13D,59.85,54.87,12.87,27.27,71.88,52.87,21.47,65.80,59.32,27.78,38.71,57.59,49.08,18.83,45.10
DHRS3,24.91,31.85,30.92,18.18,41.60,31.18,41.91,29.22,18.11,45.28,43.55,22.10,23.66,36.56,43.14
AC254633.1,0.00,0.24,0.11,0.00,0.00,0.12,0.32,0.16,0.05,0.24,0.00,0.45,0.21,0.32,3.92
AADACL4,0.00,0.16,0.23,2.27,0.50,0.12,0.16,0.16,0.02,0.18,0.00,0.00,0.04,0.37,0.00
C1orf158,1.49,0.57,3.22,2.27,3.83,0.47,2.23,1.59,0.02,2.15,3.23,1.12,0.08,3.16,0.00
LRRC38,0.00,0.04,0.69,0.00,1.16,0.23,2.82,0.64,0.12,6.27,1.61,0.22,0.04,2.06,1.96
PDPN,21.56,11.53,73.56,47.73,55.07,24.50,96.86,26.73,5.42,97.73,41.94,12.95,5.99,90.23,23.53
PRDM2,61.34,51.28,27.82,27.27,71.38,60.02,26.88,63.84,61.77,28.14,50.00,59.15,51.76,22.18,54.90
