gene,pct_donor1,pct_donor2,pct_donor3,pct_donor4,n_donors_detected
VLDLR,1.21,0.77,3.31,2.61,3
AL450467.1,0.06,0.02,0.07,0.00,0
KCNV2,0.08,0.70,0.00,0.00,0
PUM3,34.73,31.13,30.37,24.28,4
LINC01231,0.34,0.15,0.43,0.00,0
RFX3,54.56,52.29,15.49,16.45,4
RFX3-AS1,20.00,34.70,0.53,1.31,3
AL354977.2,0.47,1.02,0.54,0.52,1
AL354977.1,0.04,0.34,0.00,0.00,0
GLIS3,31.78,9.83,8.61,6.01,4
AL137071.1,0.04,0.03,0.00,0.00,0
GLIS3-AS1,0.04,0.04,0.00,0.00,0
AL359095.1,0.64,0.06,0.47,0.26,0
AL162419.1,0.28,0.02,0.01,0.00,0
SLC1A1,7.67,2.51,8.51,3.39,4
SPATA6L,5.55,3.86,1.37,2.09,4
PLPP6,0.87,1.98,3.51,4.18,3
CDC37L1-DT,1.02,1.45,2.42,1.31,4
CDC37L1,14.88,11.60,19.51,12.79,4
AK3,26.23,22.24,22.48,29.77,4
AL353151.2,1.23,0.69,0.38,0.26,1
RCL1,29.24,16.06,40.45,15.14,4
JAK2,51.09,46.46,66.65,24.54,4
IGHEP2,0.85,0.50,1.96,0.52,1
INSL6,2.55,5.62,1.58,2.61,4
INSL4,0.00,0.00,0.05,0.26,0
RLN2,0.04,0.17,0.22,0.26,0
RLN1,0.06,0.21,0.02,0.00,0
AL135786.2,0.09,0.09,0.07,0.00,0
PLGRKT,8.05,9.54,9.59,10.70,4
CD274,0.91,2.08,0.16,0.52,1
AL162253.2,11.54,18.26,0.90,1.04,3
PDCD1LG2,1.44,3.52,0.01,0.78,2
AL162253.1,0.08,0.27,0.00,0.26,0
RIC1,40.51,38.11,9.53,13.58,4
AL136980.1,0.13,0.27,0.36,0.26,0
ERMP1,11.03,15.17,3.84,8.88,4
KIAA2026,52.67,52.33,35.03,31.07,4
MLANA,0.59,2.77,0.05,0.26,1
RANBP6,4.93,7.07,12.48,14.10,4
AL162384.1,0.04,0.01,0.00,0.00,0
IL33,2.89,3.33,2.01,7.83,4
UHRF2,36.00,37.95,29.25,37.34,4
AL133480.1,1.91,5.02,0.00,0.00,2
GLDC,2.12,2.72,0.24,2.09,3
AL162411.1,0.38,0.61,0.00,0.00,0
LINC02851,0.30,0.90,0.01,0.00,0
AL354707.1,1.13,1.36,2.39,1.57,4
