gene,pct_donor1,pct_donor2,pct_donor3,pct_donor4,n_donors_detected
AL627309.1,1.91,1.94,0.37,0.78,2
AL627309.3,0.00,0.02,0.01,0.00,0
AL627309.2,0.04,0.00,0.00,0.00,0
AL627309.5,3.78,2.33,1.82,1.83,4
AL627309.4,0.02,0.15,0.00,0.00,0
AP006222.2,0.00,0.03,0.00,0.00,0
AC114498.1,0.00,0.01,0.00,0.00,0
AL669831.2,0.00,0.12,0.01,0.00,0
LINC01409,18.58,9.85,12.78,7.83,4
FAM87B,0.09,0.14,0.19,0.26,0
LINC01128,10.97,6.85,6.20,7.83,4
LINC00115,1.15,0.77,0.57,0.52,1
FAM41C,0.42,0.56,0.89,2.61,1
AL645608.6,1.44,0.75,0.02,0.26,1
AL645608.2,0.91,0.43,0.60,1.31,1
AL645608.4,0.13,0.09,0.08,0.00,0
LINC02593,1.21,0.88,1.57,2.87,3
SAMD11,4.02,2.09,2.01,5.22,4
NOC2L,9.27,11.14,29.87,17.49,4
KLHL17,0.85,2.22,5.80,2.61,3
PLEKHN1,2.02,1.26,1.85,1.31,4
PERM1,0.32,0.21,0.88,0.00,0
AL645608.7,0.96,0.61,0.20,0.52,0
HES4,3.81,5.63,1.99,14.36,4
ISG15,5.50,28.92,1.43,9.14,4
AL645608.1,0.08,0.15,0.00,0.00,0
AGRN,3.15,3.34,7.65,6.79,4
AL645608.8,0.00,0.00,0.01,0.00,0
RNF223,0.02,0.02,0.09,0.00,0
C1orf159,11.31,10.39,6.82,5.48,4
AL390719.3,0.42,1.05,0.00,0.00,1
LINC01342,0.25,0.49,0.01,0.00,0
AL390719.2,0.00,0.01,0.05,0.00,0
TTLL10-AS1,0.02,0.05,0.02,0.26,0
TTLL10,0.36,0.95,0.07,0.52,0
TNFRSF18,2.38,5.30,3.50,2.61,4
TNFRSF4,0.94,3.59,3.94,3.39,3
SDF4,16.73,24.99,73.15,37.08,4
B3GALT6,2.53,4.31,18.33,10.18,4
C1QTNF12,0.04,0.19,0.45,0.52,0
AL162741.1,0.11,0.06,0.15,0.00,0
UBE2J2,14.92,14.76,28.41,15.14,4
LINC01786,1.15,0.53,0.07,0.00,1
SCNN1D,0.85,1.11,3.25,1.31,3
ACAP3,9.97,8.40,20.03,7.05,4
PUSL1,0.94,1.89,9.87,4.96,3
INTS11,10.44,14.27,32.08,18.02,4
AL139287.1,0.09,0.02,0.03,0.26,0
CPTP,1.11,3.49,10.18,7.83,4
TAS1R3,0.15,0.81,0.42,0.00,0
DVL1,5.44,6.08,27.81,23.24,4
MXRA8,8.03,13.76,33.06,37.34,4
AURKAIP1,9.25,20.17,64.86,33.68,4
CCNL2,34.01,31.52,54.99,36.03,4
MRPL20-AS1,1.13,2.34,5.94,3.39,4
MRPL20,13.24,25.54,55.41,40.21,4
AL391244.2,0.43,0.37,0.72,0.52,0
ANKRD65,1.17,1.07,11.38,8.62,4
AL391244.1,0.00,0.01,0.01,0.00,0
TMEM88B,0.02,0.00,0.00,0.00,0
LINC01770,0.11,0.02,0.12,0.00,0
VWA1,2.68,3.43,17.81,13.84,4
ATAD3C,2.53,1.67,4.68,2.35,4
ATAD3B,14.24,7.70,19.50,8.09,4
ATAD3A,7.63,5.08,28.44,7.57,4
TMEM240,0.49,0.98,3.08,1.57,2
SSU72,15.85,26.50,52.34,28.46,4
AL645728.1,1.11,1.23,1.29,1.31,4
FNDC10,0.49,0.89,3.59,1.31,2
AL691432.4,0.08,0.12,0.03,0.00,0
AL691432.2,0.93,0.98,2.73,1.57,2
MIB2,7.52,8.53,32.68,12.27,4
MMP23B,0.87,2.51,3.39,6.27,3
CDK11B,20.60,21.34,9.47,11.75,4
FO704657.1,0.45,0.67,0.79,0.78,0
SLC35E2B,14.32,14.34,8.80,11.75,4
CDK11A,20.43,22.19,13.23,11.75,4
SLC35E2A,11.01,11.94,7.44,9.40,4
NADK,10.35,13.94,20.72,14.10,4
GNB1,67.69,64.32,70.16,43.86,4
AL109917.1,0.06,0.07,0.13,0.00,0
CALML6,0.19,0.11,0.25,0.52,0
TMEM52,0.17,0.41,0.47,0.52,0
CFAP74,0.28,0.33,0.10,0.78,0
AL391845.2,0.02,0.02,0.04,0.00,0
GABRD,0.30,0.16,0.33,1.31,1
AL391845.1,0.00,0.01,0.00,0.00,0
PRKCZ,22.63,10.57,48.94,8.09,4
AL590822.2,0.96,0.67,3.08,4.70,2
PRKCZ-AS1,0.36,0.31,0.60,0.26,0
FAAP20,12.39,16.70,47.19,27.42,4
AL590822.1,3.15,1.05,0.16,0.26,2
SKI,64.46,36.43,35.09,29.50,4
AL590822.3,2.32,0.82,4.23,2.09,3
MORN1,8.12,4.95,4.45,1.57,4
AL589739.1,0.00,0.02,0.09,0.00,0
AL513477.2,0.04,0.49,0.90,1.57,1
RER1,15.60,30.55,67.80,37.34,4
PEX10,3.66,5.01,18.09,5.74,4
PLCH2,2.21,4.79,0.04,0.52,2
AL139246.1,0.09,0.02,0.01,0.00,0
AL139246.4,0.02,0.01,0.01,0.00,0
PANK4,1.76,3.87,5.07,7.31,4
HES5,0.09,0.09,0.10,0.26,0
AL139246.5,0.98,2.46,0.11,0.78,1
TNFRSF14-AS1,2.30,5.38,0.10,3.39,3
TNFRSF14,7.99,26.82,3.09,17.75,4
AL139246.3,0.70,1.30,0.05,0.52,1
PRXL2B,0.94,2.50,2.52,6.27,3
MMEL1,0.06,0.16,0.04,0.52,0
TTC34,0.77,0.59,0.55,0.52,0
AL589702.1,0.02,0.00,0.00,0.00,0
PRDM16-DT,0.30,0.44,0.13,2.87,1
PRDM16,6.31,3.01,0.71,3.39,3
AL590438.1,0.08,0.01,0.21,0.00,0
AL354743.2,0.06,0.04,0.02,0.00,0
AL354743.1,0.04,0.08,0.02,0.00,0
ARHGEF16,0.13,0.26,0.10,0.00,0
MEGF6,3.80,4.14,0.77,2.87,3
AL513320.1,0.23,0.14,0.10,0.00,0
TPRG1L,3.89,5.20,27.28,16.45,4
WRAP73,2.83,6.68,7.67,9.14,4
TP73,1.25,1.01,0.57,0.00,2
AL136528.1,0.06,0.09,0.00,0.00,0
CCDC27,0.09,0.15,0.04,0.00,0
SMIM1,0.15,1.53,3.30,2.35,3
LRRC47,6.50,8.72,25.67,12.79,4
AL365330.1,0.02,0.04,0.03,0.00,0
CEP104,17.51,14.21,26.86,13.58,4
DFFB,4.99,6.03,5.67,6.27,4
C1orf174,2.25,8.07,11.12,9.66,4
LINC01134,0.64,0.31,0.37,0.78,0
LINC01346,0.00,0.02,0.01,0.00,0
LINC02780,0.08,0.05,0.00,0.00,0
AL805961.1,0.08,0.09,0.13,0.26,0
AL355602.1,0.00,0.02,0.00,0.00,0
LINC01646,0.00,0.02,0.00,0.00,0
AJAP1,3.46,0.81,0.18,2.87,2
Z98886.1,0.11,0.05,0.03,0.00,0
LINC02781,0.04,0.02,0.01,0.00,0
LINC02782,0.06,0.00,0.00,0.00,0
AL139823.1,0.08,0.01,0.00,0.00,0
Z98259.3,0.00,0.01,0.48,0.00,0
Z98259.1,0.00,0.00,0.04,0.00,0
AL365255.1,0.21,0.12,0.01,0.00,0
NPHP4,19.92,7.57,9.22,3.92,4
KCNAB2,19.55,31.35,2.85,2.87,4
CHD5,0.49,0.64,0.12,0.52,0
RPL22,44.89,84.78,95.33,84.33,4
AL031847.1,0.06,0.08,0.37,0.00,0
RNF207,3.19,1.28,7.95,3.39,4
ICMT,4.40,4.30,23.54,13.58,4
LINC00337,0.08,0.11,0.18,0.26,0
HES3,0.00,0.02,0.00,0.00,0
GPR153,8.99,3.74,10.32,10.18,4
ACOT7,17.70,6.99,11.06,5.48,4
AL031848.2,0.53,0.53,0.77,1.57,1
HES2,0.34,0.20,0.38,0.78,0
ESPN,0.77,0.50,0.50,0.26,0
AL031848.1,0.02,0.03,0.00,0.00,0
TNFRSF25,3.44,8.09,2.82,7.31,4
PLEKHG5,4.19,3.13,1.97,4.44,4
NOL9,12.50,11.53,21.99,16.45,4
TAS1R1,0.79,0.91,1.47,0.52,1
ZBTB48,5.55,6.88,11.42,6.01,4
KLHL21,15.77,8.17,51.72,16.97,4
PHF13,4.38,3.42,12.30,7.83,4
THAP3,3.70,4.79,9.65,8.09,4
DNAJC11,16.54,13.46,13.79,8.88,4
LINC01672,0.00,0.04,0.02,0.52,0
AL591163.1,0.57,1.60,0.13,0.00,1
CAMTA1-DT,1.44,1.08,0.21,0.00,2
CAMTA1,45.31,34.84,35.91,30.81,4
AL512330.1,0.00,0.09,0.00,0.00,0
CAMTA1-IT1,0.00,0.01,0.10,0.26,0
Z97987.1,0.04,0.02,0.00,0.00,0
AL359881.3,0.04,0.00,0.03,0.00,0
AL359881.2,0.04,0.02,0.05,0.00,0
AL359881.1,0.08,0.06,0.15,0.26,0
VAMP3,8.25,10.77,31.51,26.37,4
Z98884.2,0.06,0.09,0.24,0.00,0
PER3,47.61,26.57,56.56,33.42,4
Z98884.1,1.81,1.99,0.08,0.52,2
UTS2,0.36,0.98,0.07,0.52,0
TNFRSF9,4.06,3.06,0.41,0.52,2
PARK7,19.91,34.97,75.35,45.95,4
AL034417.4,3.55,3.86,1.73,1.57,4
AL034417.3,3.27,2.29,1.88,2.61,4
ERRFI1,33.79,19.00,43.01,37.60,4
AL034417.2,5.31,3.00,0.65,2.09,3
LINC01714,0.17,0.10,0.02,0.00,0
AL358876.2,0.00,0.01,0.00,0.00,0
SLC45A1,0.85,1.33,0.54,1.31,2
RERE,75.54,73.92,32.40,34.46,4
RERE-AS1,0.94,2.26,0.26,0.00,1
AL357552.2,0.04,0.05,0.04,0.00,0
ENO1,27.88,33.53,91.51,40.47,4
ENO1-AS1,0.25,0.33,0.66,0.00,0
CA6,0.28,0.33,0.31,0.26,0
SLC2A7,0.17,0.09,0.00,0.00,0
SLC2A5,0.94,1.09,0.37,0.00,1
GPR157,7.42,4.58,10.40,3.66,4
MIR34AHG,4.72,2.45,1.69,0.00,3
LNCTAM34A,0.45,0.36,0.27,0.00,0
H6PD,14.50,13.93,22.47,18.80,4
SPSB1,31.07,6.91,30.71,9.66,4
BX323043.1,0.00,0.01,0.11,0.00,0
LINC02606,0.42,0.27,0.46,1.04,1
AL928921.1,0.00,0.01,0.00,0.00,0
SLC25A33,24.66,13.96,11.38,4.70,4
TMEM201,2.19,2.31,8.40,4.44,4
PIK3CD,16.45,31.34,6.91,4.70,4
PIK3CD-AS1,0.08,0.15,0.00,0.00,0
PIK3CD-AS2,1.68,4.87,11.03,2.87,4
CLSTN1,25.31,28.77,56.99,33.94,4
CTNNBIP1,14.01,13.15,21.57,15.40,4
AL357140.1,0.00,0.04,0.00,0.26,0
AL357140.4,0.13,0.44,0.00,0.00,0
LZIC,11.31,13.71,31.11,23.76,4
AL357140.2,0.09,0.13,0.10,0.26,0
NMNAT1,7.40,4.99,7.87,5.22,4
RBP7,2.70,5.34,0.75,11.75,3
UBE4B,40.40,35.71,26.28,17.23,4
KIF1B,45.23,28.58,27.67,15.93,4
AL139424.3,0.53,0.50,0.26,0.26,0
AL139424.2,0.40,0.30,0.39,0.26,0
PGD,11.26,9.12,19.69,12.27,4
AL139424.1,0.00,0.00,0.02,0.00,0
CENPS,2.91,2.08,9.82,3.92,4
CORT,0.28,0.36,1.01,1.31,2
DFFA,14.84,11.02,24.99,14.36,4
AL354956.1,0.08,0.08,0.02,0.00,0
PEX14,25.78,25.59,6.08,4.96,4
AL139423.2,0.06,0.20,0.00,0.00,0
CASZ1,4.97,3.63,0.48,2.87,3
AL139423.1,0.40,0.56,0.01,0.00,0
C1orf127,0.21,0.54,0.03,0.00,0
TARDBP,21.40,20.95,48.23,32.64,4
MASP2,0.62,1.15,0.26,0.26,1
AL109811.2,1.36,4.22,4.86,3.92,4
SRM,9.90,14.85,64.73,21.67,4
EXOSC10,14.73,12.93,18.95,14.88,4
AL109811.1,1.13,2.35,0.21,0.26,2
EXOSC10-AS1,0.15,0.09,1.59,0.52,1
MTOR,24.87,22.75,15.67,11.23,4
MTOR-AS1,0.11,0.43,0.37,0.00,0
ANGPTL7,0.04,0.54,0.38,0.00,0
UBIAD1,4.82,5.86,9.79,6.53,4
AL031291.1,0.06,0.13,0.00,0.00,0
DISP3,0.26,0.26,0.08,0.00,0
AL590989.1,0.00,0.01,0.00,0.00,0
LINC01647,0.04,0.01,0.01,0.00,0
AL031731.1,0.45,0.62,0.39,0.00,0
FBXO2,9.25,6.07,71.80,11.75,4
FBXO44,3.59,6.53,15.91,5.48,4
FBXO6,1.59,5.32,5.78,3.66,4
MAD2L2,2.64,6.30,15.79,10.44,4
DRAXIN,0.51,0.43,0.36,0.78,0
AGTRAP,5.55,11.09,30.29,14.88,4
C1orf167,0.70,1.87,0.35,1.04,2
AL953897.1,0.06,0.07,0.01,0.00,0
MTHFR,13.52,15.41,11.06,14.36,4
CLCN6,13.20,11.04,12.27,8.36,4
NPPA,0.34,0.79,0.02,0.00,0
NPPB,0.00,0.01,0.00,0.00,0
AL021155.5,5.87,5.02,7.37,13.84,4
KIAA2013,7.67,13.07,41.55,23.24,4
PLOD1,17.92,10.04,81.33,24.28,4
AL096840.2,0.19,0.19,0.22,0.00,0
MFN2,12.90,10.98,21.67,16.45,4
MIIP,4.40,6.28,18.94,6.27,4
TNFRSF8,2.40,1.16,0.98,0.78,2
AL357835.1,0.06,0.01,0.00,0.00,0
TNFRSF1B,27.42,31.76,0.91,13.84,3
VPS13D,59.28,53.83,20.58,26.11,4
LINC02766,0.00,0.02,0.00,0.00,0
DHRS3,26.84,23.71,39.05,27.42,4
AC254633.1,0.19,0.12,0.29,0.78,0
AADACL4,0.15,0.06,0.26,0.26,0
AADACL3,0.02,0.01,0.00,0.00,0
C1orf158,1.28,0.16,2.72,0.78,2
PRAMEF11,0.00,0.00,0.01,0.00,0
HNRNPCL1,0.00,0.00,0.01,0.00,0
HNRNPCL2,0.00,0.00,0.01,0.00,0
PRAMEF8,0.02,0.00,0.00,0.00,0
PRAMEF15,0.02,0.00,0.00,0.00,0
PRAMEF20,0.00,0.01,0.00,0.00,0
LRRC38,0.38,0.12,2.92,1.04,2
AL354712.1,0.02,0.00,0.22,0.00,0
PDPN,22.15,7.67,91.75,19.06,4
AL359771.1,0.00,0.02,0.00,0.00,0
PRDM2,61.91,55.73,25.06,32.11,4
KAZN,40.91,23.79,20.90,14.88,4
AL357873.1,2.29,5.94,0.00,0.00,2
KAZN-AS1,2.76,4.93,0.00,0.00,2
AL031293.1,0.26,0.61,0.24,0.78,0
TMEM51-AS1,1.76,1.18,0.27,0.26,2
TMEM51,8.08,7.79,1.70,4.70,4
C1orf195,0.23,0.50,0.00,0.00,0
FHAD1,3.74,3.29,0.19,2.61,3
AL031283.2,0.91,0.91,0.02,0.52,0
AL031283.3,0.02,0.02,0.00,0.00,0
AL031283.1,1.13,0.34,2.48,0.52,2
EFHD2,14.56,24.03,34.33,21.93,4
CTRC,0.85,1.11,0.31,0.00,1
CELA2A,0.23,0.29,0.05,0.00,0
CELA2B,0.91,1.15,0.00,0.00,1
CASP9,11.27,6.44,4.96,4.44,4
DNAJC16,14.13,12.79,22.37,16.19,4
AL121992.3,0.08,0.07,0.12,0.00,0
AGMAT,1.00,2.25,3.61,2.61,4
AL121992.1,0.51,0.46,0.23,0.52,0
DDI2,19.06,16.25,21.01,15.67,4
AL121992.2,0.00,0.02,0.02,0.00,0
PLEKHM2,24.21,20.87,19.69,16.19,4
AL450998.3,0.17,0.53,0.01,0.00,0
SLC25A34,1.53,1.58,1.26,1.04,4
SLC25A34-AS1,0.09,0.41,0.02,1.04,1
TMEM82,0.47,0.71,0.00,0.00,0
FBLIM1,4.68,5.46,1.79,14.10,4
UQCRHL,0.79,0.47,0.69,1.04,1
AL450998.2,7.14,6.10,3.65,5.22,4
SPEN,50.99,38.46,25.73,35.25,4
ZBTB17,7.03,7.68,8.61,6.79,4
SRARP,0.02,0.03,0.02,0.00,0
HSPB7,0.43,0.61,0.48,3.66,1
CLCNKA,0.04,0.06,0.12,0.00,0
CLCNKB,0.04,0.02,0.16,0.52,0
FAM131C,0.15,0.12,0.66,0.26,0
EPHA2,4.46,3.01,4.43,13.58,4
AL451042.2,0.04,0.03,0.02,0.00,0
AL451042.1,0.57,0.08,0.05,0.26,0
ARHGEF19-AS1,0.00,0.01,0.00,0.00,0
ARHGEF19,6.25,4.86,22.22,12.53,4
AL109627.1,0.55,0.70,1.68,1.83,2
CPLANE2,0.79,0.94,2.38,1.57,2
FBXO42,34.13,27.63,14.91,16.19,4
SZRD1,15.26,18.33,37.27,30.55,4
SPATA21,1.27,4.62,0.20,0.52,2
NECAP2,7.31,13.93,22.95,17.23,4
LINC01772,2.19,2.51,1.42,0.52,3
AL137802.2,0.53,0.40,0.63,0.78,0
AL137802.1,0.00,0.05,0.02,0.00,0
LINC01783,0.64,0.25,0.07,0.26,0
NBPF1,15.34,8.72,18.37,9.14,4
AL137798.1,0.00,0.03,0.07,0.00,0
AL137798.2,0.04,0.06,0.00,0.00,0
AL021920.1,0.02,0.00,0.00,0.00,0
AL021920.3,0.02,0.24,0.00,0.00,0
CROCC,24.14,19.17,6.90,8.36,4
BX284668.2,0.62,0.13,0.02,0.00,0
BX284668.5,0.68,2.95,8.10,10.97,3
BX284668.6,0.32,0.29,0.53,1.57,1
MFAP2,1.02,2.64,12.19,11.49,4
AL049569.2,0.00,0.00,0.02,0.00,0
AL049569.1,1.02,1.89,0.00,0.00,2
ATP13A2,6.44,7.47,16.68,7.05,4
SDHB,11.52,14.55,23.47,16.19,4
PADI2,2.80,0.77,0.03,0.00,1
LINC02783,0.02,0.02,0.02,0.00,0
PADI1,0.08,0.02,0.00,0.00,0
PADI3,0.00,0.06,0.00,0.00,0
PADI4,0.26,0.68,0.02,0.00,0
PADI6,0.04,0.56,0.00,0.00,0
RCC2-AS1,0.00,0.02,0.00,0.00,0
RCC2,17.79,18.42,23.72,17.75,4
ARHGEF10L,18.68,7.98,3.98,5.48,4
LINC02810,0.34,0.27,0.00,0.00,0
ACTL8,0.04,0.05,0.00,0.00,0
AL357509.1,0.04,0.01,0.00,0.00,0
LINC01654,0.00,0.05,0.00,0.00,0
IGSF21,2.95,4.71,0.23,0.00,2
IGSF21-AS1,0.04,0.09,0.00,0.00,0
AL591896.1,0.06,0.07,0.00,0.00,0
KLHDC7A,0.00,0.00,0.13,0.00,0
PAX7,0.11,0.12,0.00,0.00,0
TAS1R2,0.04,0.05,0.00,0.00,0
ALDH4A1,1.59,1.37,2.24,2.35,4
IFFO2,15.71,10.19,3.61,5.48,4
AL137127.1,0.23,0.19,0.42,0.00,0
UBR4,46.93,25.89,12.75,15.93,4
EMC1-AS1,22.36,20.90,3.54,2.61,4
EMC1,10.59,13.63,49.08,20.89,4
MRTO4,7.04,6.80,24.73,13.58,4
AKR7A3,0.45,0.31,0.57,0.00,0
AKR7A2,4.42,8.42,32.87,16.97,4
SLC66A1,1.98,2.80,4.03,4.18,4
CAPZB,53.65,59.79,50.52,41.78,4
MICOS10,9.42,25.90,52.80,42.04,4
AL031727.2,1.51,1.82,0.00,0.00,2
NBL1,10.01,7.57,10.37,19.32,4
HTR6,0.17,0.15,0.01,0.00,0
TMCO4,18.64,16.21,5.18,4.44,4
AL391883.1,0.00,0.00,0.01,0.00,0
OTUD3,10.67,6.59,9.90,7.31,4
PLA2G2E,0.00,0.01,0.00,0.00,0
PLA2G2A,2.95,0.42,11.53,2.09,3
PLA2G5,1.51,1.62,0.90,3.13,3
PLA2G2D,0.02,0.89,0.02,0.26,0
PLA2G2F,0.00,0.02,0.00,0.00,0
Z98257.1,0.08,0.03,0.03,0.26,0
PLA2G2C,0.11,0.10,0.03,0.00,0
UBXN10-AS1,0.19,0.18,1.33,0.00,1
UBXN10,1.19,0.21,3.57,1.57,3
VWA5B1,0.04,0.26,0.00,0.00,0
AL020998.1,0.08,0.18,0.00,0.00,0
LINC01141,0.02,0.05,0.01,0.00,0
AL139254.3,0.02,0.00,0.00,0.00,0
CAMK2N1,6.70,2.99,16.18,9.66,4
MUL1,2.87,3.68,17.33,9.14,4
FAM43B,0.85,0.56,14.73,4.44,2
CDA,0.98,0.49,4.02,2.61,2
PINK1,5.85,7.63,36.48,22.98,4
PINK1-AS,3.55,3.69,1.83,1.31,4
DDOST,8.42,16.89,47.98,26.89,4
KIF17,1.02,0.94,0.22,1.83,2
SH2D5,0.11,0.05,0.69,0.26,0
AL663074.1,0.00,0.02,0.00,0.00,0
HP1BP3,56.22,49.59,70.46,55.09,4
EIF4G3,63.68,58.03,32.06,27.42,4
AL031005.2,0.09,0.01,0.04,0.00,0
ECE1,24.99,20.66,2.68,16.19,4
AL031005.1,0.00,0.04,0.02,0.00,0
AL031728.1,0.42,0.46,0.01,0.26,0
AL592309.2,0.06,0.00,0.00,0.00,0
NBPF3,6.38,3.26,3.75,3.92,4
ALPL,10.76,7.24,46.69,31.33,4
LINC02596,2.80,0.81,1.12,3.39,3
RAP1GAP,1.79,1.63,2.27,0.00,3
USP48,41.85,40.91,36.88,25.07,4
LDLRAD2,1.47,1.98,4.43,4.44,4
HSPG2,41.42,19.77,92.18,45.95,4
CELA3B,0.08,0.06,0.00,0.00,0
CELA3A,0.04,0.04,0.00,0.00,0
LINC01635,0.04,0.10,0.02,0.26,0
LINC00339,1.98,4.62,9.33,4.70,4
CDC42,43.53,48.52,68.74,53.52,4
CDC42-AS1,5.00,2.25,0.53,0.78,2
CDC42-IT1,2.98,1.57,2.07,2.09,4
WNT4,2.93,1.61,15.16,3.66,4
AL445253.1,0.98,0.82,1.74,1.31,2
ZBTB40,18.45,16.07,13.64,9.14,4
ZBTB40-IT1,0.00,0.01,0.02,0.00,0
EPHA8,0.09,0.10,0.02,0.00,0
C1QA,3.80,19.66,1.46,2.09,4
C1QC,1.23,10.68,0.92,0.78,2
C1QB,1.74,13.52,1.12,1.04,4
EPHB2,3.15,3.56,0.58,0.00,2
LACTBL1,0.02,0.02,0.00,0.00,0
TEX46,0.11,0.09,0.02,0.00,0
KDM1A,21.25,18.04,40.95,22.45,4
AL031428.1,8.78,10.28,0.00,0.00,2
LUZP1,39.28,26.11,26.63,13.84,4
HTR1D,0.02,0.00,0.00,0.00,0
LINC01355,8.78,5.36,12.44,4.70,4
AL109936.6,0.87,2.01,0.10,0.00,1
HNRNPR,40.45,36.81,63.61,43.08,4
ZNF436,2.47,2.08,4.45,6.53,4
ZNF436-AS1,1.23,0.98,1.42,1.57,3
AL109936.2,0.25,0.08,0.99,0.00,0
TCEA3,14.07,6.50,29.85,16.71,4
ASAP3,13.88,3.87,9.15,7.05,4
E2F2,0.72,0.84,1.02,0.26,1
AL021154.1,0.13,0.22,0.04,0.00,0
ID3,8.05,15.58,35.48,37.08,4
AL450043.1,0.08,0.17,0.03,0.00,0
MDS2,0.60,1.02,0.01,0.26,1
RPL11,51.69,93.95,97.81,91.91,4
ELOA-AS1,9.92,11.13,3.54,1.83,4
ELOA,11.86,10.35,31.11,15.67,4
PITHD1,11.88,18.05,29.19,21.67,4
LYPLA2,3.53,8.05,20.61,11.75,4
GALE,5.04,3.44,26.10,8.09,4
HMGCL,7.52,9.35,14.27,14.10,4
FUCA1,4.34,7.37,17.19,10.44,4
CNR2,3.80,8.66,0.09,0.52,2
AL590609.3,0.04,0.09,0.00,0.00,0
PNRC2,17.45,19.31,30.43,24.02,4
SRSF10,37.49,34.09,67.23,42.30,4
AL591178.1,0.09,0.11,0.00,0.00,0
MYOM3,1.04,0.19,0.07,0.00,1
IL22RA1,0.09,0.67,0.03,0.00,0
IFNLR1,4.08,5.82,2.23,1.04,4
LINC02800,0.02,0.04,0.01,0.00,0
AL138902.1,0.17,0.06,0.00,0.00,0
GRHL3,0.30,0.23,0.02,0.00,0
STPG1,5.50,2.66,5.22,5.48,4
NIPAL3,15.88,14.64,14.31,13.05,4
RCAN3AS,2.83,2.87,0.45,0.26,2
RCAN3,17.64,13.21,17.65,11.75,4
NCMAP-DT,0.55,1.56,0.80,1.57,2
NCMAP,1.27,1.19,0.37,0.00,2
SRRM1,41.79,46.98,68.94,53.00,4
AL445648.1,0.15,0.13,0.00,0.00,0
CLIC4,52.77,30.18,64.85,43.34,4
RUNX3,47.40,45.17,74.47,20.89,4
AL445471.1,0.08,0.04,0.04,0.00,0
AL445471.2,0.11,0.13,0.70,1.57,1
LINC02793,0.00,0.06,0.00,0.00,0
AL050344.1,0.51,1.86,0.01,0.00,1
AL031432.1,0.08,0.24,0.05,0.00,0
SYF2,11.31,25.52,29.24,35.77,4
AL031432.4,2.02,1.26,2.39,1.57,4
AL031432.5,0.09,0.08,0.08,0.26,0
RSRP1,55.66,69.16,62.38,53.00,4
AL031432.3,0.09,0.16,0.27,0.52,0
RHD,1.70,7.49,0.09,0.26,2
TMEM50A,14.45,27.36,39.74,40.47,4
RHCE,1.40,2.06,1.08,0.26,3
MACO1,30.59,24.06,27.92,18.28,4
LDLRAP1,10.27,10.64,31.53,13.05,4
AL606491.1,1.02,1.42,0.24,0.26,2
MAN1C1,19.21,17.43,9.27,9.66,4
AL031280.1,0.94,3.04,0.60,1.57,2
SELENON,7.04,9.74,17.82,28.72,4
AL020996.1,0.38,0.93,1.01,1.04,2
MTFR1L,4.89,6.90,22.61,10.70,4
AUNIP,0.77,0.84,0.45,0.00,0
AL033528.2,0.66,1.08,0.02,0.00,1
PAQR7,3.04,3.16,9.30,7.31,4
STMN1,7.08,15.90,20.07,22.72,4
PAFAH2,7.89,6.85,15.22,11.75,4
EXTL1,9.22,3.49,64.73,17.23,4
SLC30A2,0.21,0.33,0.80,0.78,0
AL391650.2,0.25,0.13,0.31,0.26,0
TRIM63,0.09,0.48,0.25,1.04,1
PDIK1L,3.55,4.59,3.31,7.31,4
FAM110D,0.43,0.50,1.13,4.18,2
AL391650.1,0.00,0.02,0.07,0.00,0
ZNF593,4.63,5.30,36.82,18.28,4
CNKSR1,1.45,0.70,4.00,1.04,3
CATSPER4,0.11,0.09,0.05,0.00,0
CEP85,7.27,4.07,13.33,5.74,4
SH3BGRL3,11.35,51.48,62.74,45.69,4
UBXN11,3.63,6.51,7.27,4.70,4
CD52,4.29,34.32,0.19,7.31,3
CRYBG2,0.26,1.29,0.00,0.00,1
ZNF683,0.42,4.59,0.00,0.00,1
LIN28A,0.13,0.07,0.18,0.26,0
DHDDS,13.58,8.89,26.30,11.23,4
AL513365.2,2.29,1.98,0.09,0.26,2
HMGN2,21.34,45.33,75.68,56.92,4
RPS6KA1,6.27,14.31,6.21,3.66,4
AL512408.1,0.26,0.17,0.22,0.26,0
ARID1A,44.29,52.16,42.21,32.90,4
PIGV,2.51,4.07,7.79,3.92,4
ZDHHC18,7.93,10.71,10.70,5.74,4
SFN,0.38,0.21,1.11,0.26,1
GPN2,10.27,9.12,11.30,7.31,4
AL034380.1,0.00,0.02,0.00,0.00,0
GPATCH3,2.87,2.71,4.89,6.53,4
NUDC,34.26,37.72,60.03,24.54,4
NR0B2,0.02,0.01,0.03,0.00,0
KDF1,0.60,2.92,0.39,0.26,1
TRNP1,3.19,1.53,5.23,1.57,4
TENT5B,1.06,0.61,0.97,0.26,1
SLC9A1,23.76,15.51,7.55,6.01,4
AL590640.1,0.09,0.02,0.00,0.00,0
WDTC1,16.07,16.29,12.78,14.36,4
TMEM222,7.29,10.39,19.08,11.75,4
SYTL1,5.76,16.28,27.67,8.62,4
MAP3K6,5.89,5.52,15.49,11.49,4
FCN3,0.47,0.97,0.46,1.04,1
CD164L2,0.45,0.53,4.15,0.78,1
GPR3,0.25,0.12,0.45,0.26,0
WASF2,46.01,55.36,55.64,42.30,4
FO393419.2,0.32,1.66,0.01,0.00,1
BX293535.1,0.08,0.24,0.02,0.00,0
AHDC1,33.47,16.44,29.26,24.28,4
FGR,6.48,12.38,0.38,3.39,3
